Precinct	total_votes	votes|Lori Lightfoot	votes|Toni Preckwinkle
23015	108	77	31
23016	239	216	23
23017	96	71	25
23018	205	185	20
23019	119	92	27
23020	63	51	12
23021	261	231	30
23022	219	186	33
23023	228	200	28
23024	114	81	33
23025	141	113	28
23026	165	138	27
23027	226	195	31
23028	211	187	24
23029	195	172	23
23030	172	139	33
23031	126	88	38
23032	120	92	28
23033	130	100	30
23034	122	86	36
23035	168	140	28
23036	238	207	31
23037	230	208	22
23038	200	166	34
23039	160	125	35
24001	167	118	49
24002	178	120	58
24003	179	129	50
24004	136	101	35
24005	96	66	30
24006	204	124	80
24007	105	68	37
24008	90	62	28
24009	148	111	37
24010	82	66	16
24011	190	119	71
24012	120	75	45
24013	99	58	41
24014	145	99	46
24015	98	64	34
24016	278	171	107
24017	162	115	47
24018	219	165	54
24019	228	155	73
24020	130	87	43
24021	79	66	13
24022	218	161	57
24023	153	103	50
24024	199	153	46
24025	156	116	40
24026	293	181	112
24027	207	141	66
24028	159	106	53
24029	158	113	45
24030	104	76	28
24031	210	154	56
24032	98	66	32
24033	113	79	34
24034	168	132	36
24035	152	112	40
24036	216	149	67
24037	113	82	31
24038	187	113	74
24039	210	155	55
24040	179	129	50
24041	159	116	43
25001	285	190	95
25002	341	207	134
25003	302	266	36
25004	239	175	64
25005	366	279	87
25006	115	87	28
25007	305	186	119
25008	335	234	101
25009	296	193	103
25010	359	311	48
25011	305	207	98
25012	315	211	104
25013	339	219	120
25014	184	112	72
25015	260	182	78
25016	326	289	37
25017	359	253	106
25018	241	182	59
25019	340	226	114
25020	201	144	57
25021	409	317	92
25022	297	196	101
25023	369	246	123
25024	330	224	106
25025	287	219	68
25026	334	231	103
25027	228	178	50
25028	319	218	101
25029	273	192	81
25030	321	213	108
25031	356	314	42
25032	249	182	67
26001	198	123	75
26002	189	106	83
26003	209	129	80
26004	137	103	34
26005	193	111	82
26006	160	115	45
26007	196	120	76
26008	83	60	23
26009	147	102	45
26010	175	106	69
26011	185	120	65
26012	191	122	69
26013	88	69	19
26014	128	76	52
26015	90	68	22
26016	82	62	20
26017	175	137	38
26018	96	66	30
26019	93	72	21
26020	167	117	50
26021	209	129	80
26022	69	51	18
26023	106	79	27
26024	148	104	44
26025	166	105	61
26026	119	63	56
26027	223	128	95
26028	287	227	60
26029	117	69	48
26030	158	112	46
26031	83	51	32
26032	242	200	42
26033	205	138	67
26034	237	128	109
26035	186	107	79
26036	181	127	54
26037	179	109	70
26038	89	65	24
26039	206	130	76
26040	112	73	39
26041	170	103	67
26042	137	83	54
26043	107	71	36
26044	96	70	26
26045	76	58	18
26046	126	84	42
26047	95	68	27
26048	144	92	52
26049	95	59	36
27001	353	292	61
27002	258	203	55
27003	135	86	49
27004	130	87	43
27005	188	120	68
27006	227	169	58
27007	307	219	88
27008	171	111	60
27009	121	88	33
27010	313	187	126
27011	257	204	53
27012	149	127	22
27013	350	215	135
27014	93	64	29
27015	127	82	45
27016	211	178	33
27017	216	136	80
27018	179	109	70
27019	113	74	39
27020	154	107	47
27021	238	211	27
27022	118	89	29
27023	198	136	62
27024	146	98	48
27025	212	145	67
27026	203	134	69
27027	250	178	72
27028	182	133	49
27029	139	117	22
27030	129	80	49
27031	189	127	62
27032	203	131	72
27033	237	196	41
27034	182	124	58
27035	254	208	46
27036	181	113	68
27037	303	211	92
27038	369	252	117
27039	203	125	78
27040	309	217	92
27041	246	150	96
27042	169	120	49
27043	153	104	49
27044	155	112	43
27045	347	288	59
27046	174	147	27
27047	204	132	72
27048	347	219	128
27049	149	92	57
27050	234	167	67
28001	124	81	43
28002	194	138	56
28003	141	96	45
28004	159	116	43
28005	135	101	34
28006	143	108	35
28007	170	118	52
28008	189	164	25
28009	188	138	50
28010	247	183	64
28011	354	249	105
28012	166	113	53
28013	255	175	80
28014	175	122	53
28015	51	35	16
28016	118	82	36
28017	141	94	47
28018	176	127	49
28019	162	129	33
28020	183	130	53
28021	158	118	40
28022	161	111	50
28023	205	127	78
28024	172	122	50
28025	278	184	94
28026	190	130	60
28027	223	157	66
28028	257	187	70
28029	71	52	19
28030	30	19	11
28031	324	239	85
28032	176	138	38
28033	198	128	70
28034	296	204	92
28035	194	140	54
28036	110	78	32
28037	225	157	68
28038	78	56	22
28039	127	94	33
28040	222	154	68
28041	134	101	33
28042	174	135	39
28043	227	174	53
28044	136	102	34
28045	172	139	33
28046	352	259	93
29001	340	256	84
29002	322	216	106
29003	229	158	71
29004	285	211	74
29005	178	137	41
29006	193	143	50
29007	270	179	91
29008	165	131	34
29009	328	254	74
29010	364	277	87
29011	156	108	48
29012	311	234	77
29013	286	207	79
29014	238	165	73
29015	289	211	78
29016	231	182	49
29017	235	181	54
29018	232	162	70
29019	261	199	62
29020	268	175	93
29021	261	189	72
29022	187	135	52
29023	272	211	61
29024	224	174	50
29025	311	237	74
29026	283	189	94
29027	236	169	67
29028	284	206	78
29029	252	203	49
29030	375	267	108
29031	204	161	43
29032	195	173	22
29033	204	141	63
29034	178	123	55
29035	183	132	51
29036	224	166	58
29037	242	174	68
29038	210	159	51
29039	236	181	55
29040	296	196	100
29041	191	143	48
29042	256	186	70
29043	333	254	79
29044	312	214	98
30001	263	200	63
30002	296	228	68
30003	235	166	69
30004	258	194	64
30005	171	143	28
30006	245	181	64
30007	301	223	78
30008	337	229	108
30009	232	173	59
30010	303	244	59
30011	216	166	50
30012	232	175	57
30013	253	182	71
30014	168	120	48
30015	323	240	83
30016	151	117	34
30017	272	198	74
30018	285	187	98
30019	229	177	52
30020	294	231	63
30021	232	167	65
30022	311	210	101
30023	238	172	66
30024	334	221	113
30025	323	201	122
30026	194	155	39
30027	198	142	56
30028	281	201	80
30029	137	116	21
30030	109	91	18
30031	218	171	47
30032	220	169	51
31001	137	112	25
31002	134	94	40
31003	175	139	36
31004	255	164	91
31005	209	159	50
31006	130	87	43
31007	243	147	96
31008	131	92	39
31009	119	86	33
31010	140	110	30
31011	128	98	30
31012	169	141	28
31013	170	125	45
31014	154	110	44
31015	163	132	31
31016	221	137	84
31017	175	136	39
31018	147	126	21
31019	168	124	44
31020	129	105	24
31021	164	123	41
31022	123	80	43
31023	167	126	41
31024	202	143	59
31025	126	101	25
31026	196	146	50
31027	209	141	68
31028	120	95	25
31029	188	144	44
31030	124	84	40
31031	146	101	45
31032	111	94	17
31033	140	111	29
31034	151	113	38
31035	184	141	43
31036	223	175	48
31037	152	98	54
31038	125	94	31
31039	170	105	65
31040	181	122	59
31041	141	105	36
32001	313	238	75
32002	262	221	41
32003	341	238	103
32004	287	235	52
32005	292	237	55
32006	296	253	43
32007	272	229	43
32008	301	262	39
32009	265	223	42
32010	291	235	56
32011	302	190	112
32012	254	141	113
32013	280	231	49
32014	313	202	111
32015	276	216	60
32016	321	244	77
32017	324	219	105
32018	274	252	22
32019	268	221	47
32020	287	189	98
32021	374	305	69
32022	389	265	124
32023	307	251	56
32024	208	177	31
32025	291	243	48
32026	344	233	111
32027	278	227	51
32028	286	180	106
32029	325	264	61
32030	293	257	36
32031	299	260	39
32032	325	279	46
32033	298	256	42
32034	297	239	58
32035	254	206	48
32036	308	268	40
32037	239	196	43
32038	251	198	53
32039	339	299	40
32040	339	272	67
32041	332	275	57
32042	240	202	38
32043	272	199	73
33001	352	228	124
33002	500	305	195
33003	490	360	130
33004	486	332	154
33005	316	252	64
33006	322	244	78
33007	386	263	123
33008	610	474	136
33009	448	362	86
33010	430	328	102
33011	446	326	120
33012	371	275	96
33013	352	232	120
33014	156	105	51
33015	347	250	97
33016	483	350	133
33017	413	306	107
33018	429	275	154
33019	404	299	105
33020	436	290	146
33021	390	260	130
33022	385	279	106
33023	428	316	112
33024	616	446	170
33025	469	363	106
33026	269	150	119
33027	394	275	119
33028	329	182	147
34001	270	188	82
34002	236	147	89
34003	230	162	68
34004	157	111	46
34005	226	165	61
34006	286	190	96
34007	315	218	97
34008	195	129	66
34009	169	119	50
34010	235	168	67
34011	176	117	59
34012	276	185	91
34013	242	169	73
34014	184	138	46
34015	181	128	53
34016	207	154	53
34017	311	224	87
34018	180	133	47
34019	264	174	90
34020	318	208	110
34021	325	220	105
34022	291	193	98
34023	184	122	62
34024	199	133	66
34025	357	227	130
34026	239	170	69
34027	211	142	69
34028	140	102	38
34029	191	139	52
34030	262	176	86
34031	202	124	78
34032	217	158	59
34033	180	122	58
34034	280	179	101
34035	270	193	77
34036	261	169	92
34037	146	105	41
34038	100	76	24
34039	165	119	46
34040	245	186	59
34041	146	104	42
34042	247	159	88
34043	239	159	80
34044	267	185	82
34045	274	200	74
34046	183	126	57
34047	226	162	64
34048	283	180	103
34049	243	166	77
34050	187	127	60
34051	285	203	82
34052	220	144	76
34053	151	107	44
35001	250	142	108
35002	373	275	98
35003	193	110	83
35004	245	167	78
35005	218	143	75
35006	198	114	84
35007	245	137	108
35008	241	138	103
35009	243	172	71
35010	338	210	128
35011	277	165	112
35012	120	80	40
35013	105	71	34
35014	164	119	45
35015	277	144	133
35016	102	78	24
35017	290	177	113
35018	136	95	41
35019	115	86	29
35020	212	151	61
35021	237	165	72
35022	281	180	101
35023	270	204	66
35024	239	185	54
35025	256	154	102
35026	230	169	61
35027	190	124	66
35028	268	203	65
35029	184	120	64
35030	192	146	46
35031	275	208	67
36001	197	166	31
36002	175	141	34
36003	177	135	42
36004	163	128	35
36005	143	109	34
36006	146	110	36
36007	302	261	41
36008	129	103	26
36009	117	94	23
36010	242	195	47
36011	119	95	24
36012	90	67	23
36013	117	87	30
36014	250	206	44
36015	218	185	33
36016	230	197	33
36017	275	235	40
36018	249	195	54
36019	209	177	32
36020	232	201	31
36021	141	111	30
36022	131	103	28
36023	138	113	25
36024	194	162	32
36025	139	110	29
36026	205	178	27
36027	196	160	36
36028	187	157	30
36029	257	218	39
36030	192	158	34
37001	190	111	79
37002	128	101	27
37003	133	101	32
37004	133	92	41
37005	246	187	59
37006	218	168	50
37007	149	121	28
37008	120	87	33
37009	210	156	54
37010	226	147	79
37011	133	94	39
37012	125	85	40
37013	136	88	48
37014	205	143	62
37015	239	167	72
37016	211	137	74
37017	170	136	34
37018	199	154	45
37019	127	97	30
37020	139	104	35
37021	172	129	43
37022	167	112	55
37023	207	159	48
37024	225	171	54
37025	189	146	43
37026	273	194	79
37027	213	136	77
37028	144	95	49
37029	208	156	52
37030	188	155	33
37031	205	132	73
37032	189	140	49
37033	234	165	69
37034	201	141	60
37035	244	183	61
37036	181	132	49
37037	249	181	68
37038	247	194	53
37039	190	138	52
37040	257	190	67
37041	199	161	38
38001	222	179	43
38002	337	301	36
38003	221	188	33
38004	242	203	39
38005	220	181	39
38006	213	182	31
38007	237	215	22
38008	220	168	52
38009	294	260	34
38010	196	173	23
38011	197	157	40
38012	240	218	22
38013	262	224	38
38014	266	221	45
38015	204	165	39
38016	280	240	40
38017	319	289	30
38018	272	245	27
38019	296	234	62
38020	257	233	24
38021	204	153	51
38022	260	224	36
38023	270	215	55
38024	261	228	33
38025	198	167	31
38026	247	203	44
38027	230	194	36
38028	313	280	33
38029	208	181	27
38030	240	199	41
