Precinct	total_votes	votes|Janice D. Schakowsky
Elk Grove 16	262	262
Elk Grove 19	197	197
Elk Grove 23	194	194
Elk Grove 24	106	106
Elk Grove 25	177	177
Elk Grove 26	112	112
Elk Grove 27	163	163
Elk Grove 30	125	125
Elk Grove 34	380	380
Elk Grove 37	52	52
Elk Grove 41	104	104
Elk Grove 44	91	91
Elk Grove 46	87	87
Elk Grove 48	131	131
Evanston Ward 1 Precinct 1	155	155
Evanston Ward 1 Precinct 2	342	342
Evanston Ward 1 Precinct 3	359	359
Evanston Ward 1 Precinct 4	566	566
Evanston Ward 2 Precinct 1	547	547
Evanston Ward 2 Precinct 2	273	273
Evanston Ward 2 Precinct 3	281	281
Evanston Ward 2 Precinct 4	403	403
Evanston Ward 2 Precinct 5	304	304
Evanston Ward 3 Precinct 1	382	382
Evanston Ward 3 Precinct 2	456	456
Evanston Ward 3 Precinct 3	421	421
Evanston Ward 3 Precinct 4	215	215
Evanston Ward 3 Precinct 5	315	315
Evanston Ward 3 Precinct 6	366	366
Evanston Ward 3 Precinct 7	342	342
Evanston Ward 4 Precinct 1	211	211
Evanston Ward 4 Precinct 2	340	340
Evanston Ward 4 Precinct 3	201	201
Evanston Ward 4 Precinct 4	563	563
Evanston Ward 4 Precinct 5	248	248
Evanston Ward 4 Precinct 6	476	476
Evanston Ward 5 Precinct 1	244	244
Evanston Ward 5 Precinct 2	391	391
Evanston Ward 5 Precinct 3	289	289
Evanston Ward 5 Precinct 4	135	135
Evanston Ward 6 Precinct 1	622	622
Evanston Ward 6 Precinct 2	336	336
Evanston Ward 6 Precinct 3	337	337
Evanston Ward 6 Precinct 4	412	412
Evanston Ward 6 Precinct 5	529	529
Evanston Ward 6 Precinct 6	270	270
Evanston Ward 6 Precinct 7	545	545
Evanston Ward 7 Precinct 1	604	604
Evanston Ward 7 Precinct 2	598	598
Evanston Ward 7 Precinct 3	84	84
Evanston Ward 7 Precinct 4	344	344
Evanston Ward 7 Precinct 5	520	520
Evanston Ward 7 Precinct 6	21	21
Evanston Ward 8 Precinct 1	412	412
Evanston Ward 8 Precinct 2	258	258
Evanston Ward 8 Precinct 3	230	230
Evanston Ward 8 Precinct 4	392	392
Evanston Ward 8 Precinct 5	394	394
Evanston Ward 9 Precinct 1	285	285
Evanston Ward 9 Precinct 2	348	348
Evanston Ward 9 Precinct 3	507	507
Evanston Ward 9 Precinct 4	474	474
Evanston Ward 9 Precinct 5	282	282
Evanston Ward 9 Precinct 6	338	338
Leyden 23	216	216
Maine 6	239	239
Maine 7	115	115
Maine 8	143	143
Maine 10	137	137
Maine 11	100	100
Maine 12	135	135
Maine 13	154	154
Maine 14	218	218
Maine 16	137	137
Maine 17	147	147
Maine 18	134	134
Maine 19	88	88
Maine 20	103	103
Maine 21	191	191
Maine 22	198	198
Maine 24	249	249
Maine 25	190	190
Maine 26	157	157
Maine 27	141	141
Maine 29	221	221
Maine 30	377	377
Maine 32	86	86
Maine 34	176	176
Maine 35	10	10
Maine 36	142	142
Maine 37	148	148
Maine 38	97	97
Maine 39	139	139
Maine 41	102	102
Maine 42	231	231
Maine 43	100	100
Maine 44	124	124
Maine 46	129	129
Maine 47	164	164
Maine 48	213	213
Maine 49	129	129
Maine 50	122	122
Maine 52	189	189
Maine 53	104	104
Maine 54	185	185
Maine 55	132	132
Maine 58	148	148
Maine 59	135	135
Maine 60	230	230
Maine 61	72	72
Maine 62	81	81
Maine 63	119	119
Maine 65	81	81
Maine 67	185	185
Maine 68	112	112
Maine 71	81	81
Maine 72	130	130
Maine 74	152	152
Maine 75	138	138
Maine 76	84	84
Maine 77	207	207
Maine 79	131	131
Maine 80	157	157
Maine 82	140	140
Maine 83	90	90
Maine 85	70	70
Maine 87	86	86
Maine 88	72	72
Maine 90	66	66
Maine 91	215	215
New Trier 3	279	279
New Trier 8	146	146
New Trier 9	199	199
New Trier 10	182	182
New Trier 11	213	213
New Trier 12	193	193
New Trier 13	326	326
New Trier 14	208	208
New Trier 15	288	288
New Trier 16	235	235
New Trier 17	289	289
New Trier 18	178	178
New Trier 19	74	74
New Trier 20	323	323
New Trier 21	348	348
New Trier 22	141	141
New Trier 23	186	186
New Trier 24	322	322
New Trier 25	202	202
New Trier 26	263	263
New Trier 27	315	315
New Trier 28	211	211
New Trier 29	210	210
New Trier 30	291	291
New Trier 31	295	295
New Trier 32	248	248
New Trier 33	344	344
New Trier 34	187	187
New Trier 35	180	180
New Trier 36	371	371
New Trier 37	304	304
New Trier 38	304	304
New Trier 39	213	213
New Trier 40	120	120
New Trier 41	146	146
Niles 1	206	206
Niles 2	188	188
Niles 3	253	253
Niles 4	109	109
Niles 5	111	111
Niles 6	134	134
Niles 7	276	276
Niles 8	134	134
Niles 9	129	129
Niles 10	205	205
Niles 11	118	118
Niles 12	137	137
Niles 13	152	152
Niles 14	312	312
Niles 15	234	234
Niles 16	258	258
Niles 17	301	301
Niles 18	174	174
Niles 19	241	241
Niles 20	174	174
Niles 21	396	396
Niles 22	207	207
Niles 23	233	233
Niles 24	256	256
Niles 25	162	162
Niles 26	202	202
Niles 27	155	155
Niles 28	289	289
Niles 29	141	141
Niles 30	151	151
Niles 31	279	279
Niles 32	104	104
Niles 33	273	273
Niles 34	208	208
Niles 35	241	241
Niles 36	160	160
Niles 37	238	238
Niles 38	344	344
Niles 39	240	240
Niles 40	105	105
Niles 41	243	243
Niles 42	204	204
Niles 43	205	205
Niles 44	295	295
Niles 45	219	219
Niles 46	204	204
Niles 47	145	145
Niles 48	188	188
Niles 49	472	472
Niles 50	217	217
Niles 51	101	101
Niles 52	162	162
Niles 53	302	302
Niles 54	138	138
Niles 55	191	191
Niles 56	234	234
Niles 57	245	245
Niles 58	200	200
Niles 59	316	316
Niles 60	312	312
Niles 61	289	289
Niles 62	162	162
Niles 63	354	354
Niles 64	301	301
Northfield 6	151	151
Northfield 7	286	286
Northfield 8	153	153
Northfield 9	123	123
Northfield 12	349	349
Northfield 14	186	186
Northfield 19	231	231
Northfield 20	195	195
Northfield 21	330	330
Northfield 23	122	122
Northfield 24	192	192
Northfield 30	257	257
Northfield 31	211	211
Northfield 35	171	171
Northfield 37	177	177
Northfield 42	157	157
Northfield 44	185	185
Northfield 45	220	220
Northfield 46	268	268
Northfield 52	227	227
Northfield 56	255	255
Norwood Park 3	163	163
Norwood Park 10	138	138
Norwood Park 11	240	240
Norwood Park 14	128	128
Wheeling 2	102	102
Wheeling 3	146	146
Wheeling 5	151	151
Wheeling 7	237	237
Wheeling 8	105	105
Wheeling 10	201	201
Wheeling 13	109	109
Wheeling 14	129	129
Wheeling 15	157	157
Wheeling 18	229	229
Wheeling 19	225	225
Wheeling 20	187	187
Wheeling 21	80	80
Wheeling 22	177	177
Wheeling 23	132	132
Wheeling 24	131	131
Wheeling 25	311	311
Wheeling 26	246	246
Wheeling 27	256	256
Wheeling 28	73	73
Wheeling 30	202	202
Wheeling 31	115	115
Wheeling 32	82	82
Wheeling 34	188	188
Wheeling 35	146	146
Wheeling 36	238	238
Wheeling 39	292	292
Wheeling 40	146	146
Wheeling 41	260	260
Wheeling 44	167	167
Wheeling 45	222	222
Wheeling 46	221	221
Wheeling 47	105	105
Wheeling 52	2	2
Wheeling 53	138	138
Wheeling 54	153	153
Wheeling 57	159	159
Wheeling 58	116	116
Wheeling 59	208	208
Wheeling 60	0	0
Wheeling 61	88	88
Wheeling 62	175	175
Wheeling 68	82	82
Wheeling 69	161	161
Wheeling 71	210	210
Wheeling 73	169	169
Wheeling 78	262	262
Wheeling 82	217	217
Wheeling 86	164	164
Wheeling 87	135	135
Wheeling 90	170	170
Wheeling 92	132	132
