Precinct	total_votes	votes|Jesse White	votes|Jason Helland	votes|Steve Dutner
02044	368	291	66	11
02045	677	541	114	22
02046	325	240	74	11
03001	648	628	10	10
03002	612	594	7	11
03003	456	422	28	6
03004	551	537	7	7
03005	316	307	3	6
03006	738	599	109	30
03007	335	327	3	5
03008	421	412	6	3
03009	518	488	14	16
03010	237	231	4	2
03011	523	507	5	11
03012	509	494	5	10
03013	629	537	77	15
03014	609	539	58	12
03015	476	467	2	7
03016	441	428	4	9
03017	752	669	53	30
03018	751	712	26	13
03019	642	523	103	16
03020	527	515	6	6
03021	619	528	75	16
03022	744	629	89	26
03023	445	424	14	7
03024	429	419	4	6
03025	955	790	152	13
03026	628	546	69	13
03027	718	582	116	20
03028	339	328	7	4
03029	507	490	11	6
03030	446	426	8	12
03031	562	550	4	8
03032	672	574	81	17
03033	675	572	79	24
03034	704	605	74	25
03035	243	233	5	5
03036	272	265	5	2
03037	457	443	4	10
03038	414	405	1	8
03039	900	765	112	23
03040	563	520	30	13
03041	361	330	22	9
04001	800	750	39	11
04002	713	616	77	20
04003	429	418	4	7
04004	710	695	6	9
04005	523	505	10	8
04006	628	592	27	9
04007	626	600	9	17
04008	570	558	3	9
04009	602	594	2	6
04010	662	641	14	7
04011	553	537	10	6
04012	601	577	8	16
04013	680	590	62	28
04014	555	537	12	6
04015	659	633	13	13
04016	936	830	84	22
04017	713	633	59	21
04018	518	498	8	12
04019	414	406	4	4
04020	526	459	53	14
04021	773	672	68	33
04022	553	521	24	8
04023	724	693	22	9
04024	513	481	22	10
04025	648	545	82	21
04026	516	504	4	8
04027	708	681	15	12
04028	449	426	12	11
04029	458	446	4	8
04030	724	707	11	6
04031	562	543	12	7
04032	591	562	8	21
04033	553	530	13	10
04034	462	452	7	3
04035	624	601	13	10
04036	613	588	9	16
04037	1029	901	94	34
04038	570	544	14	12
05001	412	404	3	5
05002	341	339	1	1
05003	583	553	24	6
05004	699	672	14	13
05005	463	453	4	6
05006	399	390	5	4
05007	542	514	16	12
05008	545	514	23	8
05009	621	599	16	6
05010	391	383	4	4
05011	549	523	16	10
05012	336	321	8	7
05013	422	413	5	4
05014	391	380	5	6
05015	477	444	29	4
05016	466	457	4	5
05017	420	402	5	13
05018	496	470	16	10
05019	495	465	20	10
05020	595	576	13	6
05021	572	547	17	8
05022	587	556	25	6
05023	904	851	41	12
05024	583	548	24	11
05025	454	442	6	6
05026	494	480	8	6
05027	616	559	46	11
05028	532	518	7	7
05029	509	491	11	7
05030	339	329	3	7
05031	389	379	4	6
05032	612	591	14	7
05033	550	538	3	9
05034	616	572	31	13
05035	633	598	24	11
05036	297	291	5	1
05037	570	544	17	9
05038	444	434	6	4
05039	427	399	20	8
05040	345	336	0	9
05041	296	284	10	2
06001	449	442	2	5
06002	425	415	2	8
06003	452	442	8	2
06004	321	312	5	4
06005	278	276	1	1
06006	432	414	10	8
06007	370	364	4	2
06008	395	386	5	4
06009	370	358	7	5
06010	249	238	5	6
06011	359	349	5	5
06012	296	287	6	3
06013	317	314	1	2
06014	374	363	3	8
06015	345	336	4	5
06016	418	397	8	13
06017	272	262	4	6
06018	304	296	6	2
06019	368	356	3	9
06020	240	234	4	2
06021	222	216	2	4
06022	243	235	7	1
06023	214	205	4	5
06024	215	206	7	2
06025	215	207	3	5
06026	299	291	2	6
06027	229	222	3	4
06028	200	193	1	6
06029	435	430	3	2
06030	321	307	5	9
06031	411	400	3	8
06032	368	360	4	4
06033	402	383	15	4
06034	410	404	3	3
06035	364	357	1	6
06036	470	463	4	3
06037	412	390	9	13
06038	423	409	8	6
06039	335	325	3	7
06040	363	348	6	9
06041	398	394	1	3
06042	416	404	6	6
06043	363	359	0	4
06044	401	394	3	4
06045	426	415	2	9
06046	274	269	0	5
06047	289	279	5	5
06048	429	421	3	5
07001	358	351	6	1
07002	369	362	4	3
07003	405	396	4	5
07004	396	380	6	10
07005	325	315	3	7
07006	489	470	9	10
07007	383	375	5	3
07008	321	308	8	5
07009	674	652	12	10
07010	429	416	4	9
07011	415	403	6	6
07012	360	353	2	5
07013	244	232	5	7
07014	415	398	10	7
07015	370	357	2	11
07016	293	286	5	2
07017	321	308	9	4
07018	344	325	9	10
07019	359	347	6	6
07020	294	289	1	4
07021	288	275	6	7
07022	323	307	6	10
07023	370	362	3	5
07024	311	305	4	2
07025	312	293	13	6
07026	309	301	4	4
07027	314	308	4	2
07028	285	278	2	5
07029	317	308	4	5
07030	277	265	4	8
07031	255	248	4	3
07032	508	494	4	10
07033	495	483	8	4
07034	446	438	2	6
07035	412	398	8	6
07036	448	435	6	7
07037	402	385	9	8
07038	324	320	2	2
07039	346	333	4	9
07040	333	325	1	7
07041	375	363	4	8
07042	316	307	3	6
07043	383	370	11	2
07044	321	317	2	2
07045	359	352	4	3
07046	162	159	2	1
08001	346	334	6	6
08002	359	351	6	2
08003	449	436	3	10
08004	447	438	1	8
08005	443	432	6	5
08006	409	399	4	6
08007	457	447	2	8
08008	398	395	3	0
08009	270	262	2	6
08010	502	484	4	14
08011	338	324	7	7
08012	356	348	3	5
08013	457	443	7	7
08014	289	285	1	3
08015	360	348	6	6
08016	121	118	3	0
08017	353	351	1	1
08018	380	372	4	4
08019	430	423	4	3
08020	452	439	4	9
08021	499	482	6	11
08022	369	361	3	5
08023	340	330	2	8
08024	244	237	3	4
08025	396	383	7	6
08026	376	365	5	6
08027	437	426	4	7
08028	415	405	5	5
08029	467	452	6	9
08030	422	409	8	5
08031	302	298	2	2
08032	328	324	0	4
08033	386	376	1	9
08034	384	374	3	7
08035	435	418	7	10
08036	424	417	2	5
08037	334	326	4	4
08038	274	265	1	8
08039	406	397	2	7
08040	311	302	3	6
08041	458	450	3	5
08042	486	473	5	8
08043	221	215	4	2
08044	275	271	1	3
08045	391	379	7	5
08046	317	310	4	3
08047	331	323	5	3
08048	375	364	2	9
08049	373	364	3	6
08050	410	399	4	7
08051	440	429	4	7
08052	495	484	1	10
08053	230	221	3	6
08054	328	322	0	6
08055	325	317	3	5
08056	402	396	1	5
09001	379	369	5	5
09002	339	331	4	4
09003	304	295	3	6
09004	287	284	2	1
09005	371	369	1	1
09006	349	339	2	8
09007	317	306	6	5
09008	373	366	2	5
09009	404	387	5	12
09010	305	300	3	2
09011	250	242	3	5
09012	432	420	3	9
09013	428	421	3	4
09014	456	451	3	2
09015	418	411	2	5
09016	326	314	2	10
09017	256	252	3	1
09018	280	273	2	5
09019	353	346	1	6
09020	375	365	2	8
09021	321	315	5	1
09022	378	372	2	4
09023	440	430	4	6
09024	382	374	4	4
09025	379	369	4	6
09026	416	407	5	4
09027	329	324	3	2
09028	226	214	4	8
09029	350	342	4	4
09030	298	287	7	4
09031	290	280	5	5
09032	375	361	10	4
09033	281	277	2	2
09034	273	269	3	1
09035	377	372	2	3
09036	314	309	2	3
09037	526	470	42	14
09038	401	388	5	8
09039	395	388	2	5
09040	410	401	4	5
09041	310	308	2	0
09042	382	371	5	6
09043	339	334	3	2
09044	326	318	1	7
09045	299	291	4	4
09046	373	359	10	4
09047	392	388	3	1
09048	428	421	3	4
09049	409	399	4	6
09050	494	481	3	10
09051	365	353	4	8
10001	345	327	12	6
10002	386	282	85	19
10003	384	293	78	13
10004	283	264	12	7
10005	302	227	63	12
10006	306	262	31	13
10007	268	226	28	14
10008	237	224	9	4
10009	352	264	80	8
10010	375	314	49	12
10011	423	369	38	16
10012	241	201	31	9
10013	335	316	14	5
10014	457	385	61	11
10015	687	665	10	12
10016	279	223	49	7
10017	486	382	89	15
10018	235	223	8	4
10019	380	303	64	13
10020	405	342	49	14
10021	370	311	45	14
10022	211	190	12	9
10023	320	289	19	12
10024	372	282	84	6
10025	106	101	3	2
10026	279	255	14	10
10027	357	330	17	10
10028	403	348	42	13
10029	327	284	32	11
10030	309	275	19	15
10031	274	255	13	6
10032	371	305	55	11
10033	251	227	17	7
10034	254	236	12	6
10035	434	332	89	13
10036	98	90	6	2
11001	439	356	55	28
11002	33	26	5	2
11003	443	399	24	20
11004	378	323	43	12
11005	559	489	51	19
11006	731	632	72	27
11007	687	616	50	21
11008	437	375	48	14
11009	358	286	56	16
11010	407	355	38	14
11011	486	385	80	21
11012	596	466	114	16
11013	530	390	121	19
11014	254	212	34	8
11015	175	148	21	6
11016	312	245	57	10
11017	545	459	62	24
11018	339	287	48	4
11019	552	474	62	16
11020	305	265	29	11
11021	563	491	60	12
11022	509	426	64	19
11023	276	242	29	5
11024	513	451	56	6
11025	577	486	79	12
11026	522	436	74	12
11027	150	127	19	4
11028	200	152	42	6
11029	499	418	69	12
11030	235	189	40	6
11031	436	346	81	9
11032	220	182	33	5
11033	571	477	75	19
11034	173	142	23	8
11035	128	107	20	1
11036	187	164	20	3
11037	131	114	14	3
11038	243	207	21	15
12001	368	313	27	28
12002	346	317	24	5
12003	498	442	37	19
12004	410	358	30	22
12005	342	278	52	12
12006	385	335	29	21
12007	348	318	22	8
12008	413	349	44	20
12009	332	289	32	11
12010	436	391	19	26
12011	384	354	17	13
12012	384	337	26	21
12013	373	339	21	13
12014	334	311	11	12
12015	283	264	11	8
12016	335	312	14	9
12017	378	336	26	16
12018	330	301	10	19
12019	385	344	27	14
12020	454	409	30	15
12021	365	325	26	14
12022	311	295	7	9
12023	388	334	38	16
13001	301	246	47	8
13002	310	244	57	9
13003	285	261	19	5
13004	364	271	81	12
13005	405	363	30	12
13006	354	269	78	7
13007	270	242	18	10
13008	289	230	47	12
13009	363	321	31	11
13010	330	226	94	10
13011	384	319	56	9
13012	310	265	38	7
13013	356	332	16	8
13014	357	310	38	9
13015	473	432	26	15
13016	235	216	14	5
13017	298	235	53	10
13018	279	215	54	10
13019	373	351	12	10
13020	211	164	45	2
13021	409	303	100	6
13022	398	300	79	19
13023	257	238	15	4
13024	360	300	43	17
13025	345	305	36	4
13026	331	273	48	10
13027	321	263	48	10
13028	272	249	18	5
13029	263	234	26	3
13030	278	260	12	6
13031	383	287	84	12
13032	294	220	71	3
13033	360	277	76	7
13034	418	392	15	11
13035	315	291	19	5
13036	213	191	17	5
13037	392	354	24	14
13038	314	240	65	9
13039	346	316	20	10
13040	360	320	32	8
13041	381	356	17	8
13042	349	258	81	10
13043	356	304	40	12
13044	355	334	16	5
13045	399	314	73	12
13046	400	365	25	10
13047	373	342	19	12
13048	315	239	69	7
14001	440	317	114	9
14002	465	412	38	15
14003	368	341	18	9
14004	391	296	84	11
14005	502	464	21	17
14006	170	162	2	6
14007	426	383	37	6
14008	412	359	41	12
14009	452	358	83	11
14010	261	227	24	10
14011	224	211	7	6
14012	403	354	42	7
14013	324	300	17	7
14014	333	294	23	16
14015	401	371	15	15
14016	261	239	15	7
14017	300	280	15	5
14018	160	128	26	6
14019	319	291	15	13
14020	256	239	14	3
14021	353	317	24	12
14022	493	408	65	20
14023	307	261	41	5
14024	467	346	108	13
14025	212	197	10	5
14026	274	247	16	11
14027	353	316	32	5
14028	283	253	17	13
14029	293	276	12	5
14030	199	187	7	5
14031	207	194	8	5
15001	328	294	22	12
15002	221	217	2	2
15003	235	228	2	5
15004	335	305	16	14
15005	311	279	22	10
15006	326	280	34	12
15007	242	238	1	3
15008	286	267	15	4
15009	429	396	21	12
15010	454	407	27	20
15011	370	330	27	13
15012	386	348	25	13
15013	306	287	11	8
15014	287	269	12	6
15015	271	237	22	12
15016	364	340	13	11
15017	271	260	3	8
15018	218	216	2	0
15019	300	282	13	5
15020	261	257	2	2
15021	216	210	1	5
15022	283	277	4	2
15023	271	266	2	3
15024	217	211	2	4
16001	381	354	20	7
16002	290	279	8	3
16003	239	233	2	4
16004	300	293	3	4
16005	204	200	3	1
16006	292	287	1	4
16007	262	252	6	4
16008	192	185	3	4
16009	297	287	5	5
16010	277	266	3	8
16011	278	269	5	4
16012	247	236	4	7
16013	273	258	9	6
16014	217	212	2	3
16015	302	294	3	5
16016	281	277	2	2
16017	342	325	12	5
16018	322	305	5	12
16019	246	240	3	3
16020	239	233	4	2
16021	247	238	5	4
16022	239	232	4	3
16023	331	309	18	4
16024	155	150	1	4
16025	337	318	9	10
16026	226	220	3	3
16027	245	238	5	2
16028	267	261	3	3
16029	274	269	1	4
16030	237	232	1	4
16031	296	292	4	0
16032	306	282	16	8
16033	271	262	6	3
16034	255	249	4	2
16035	344	332	7	5
16036	226	218	3	5
17001	346	326	14	6
17002	352	344	4	4
17003	357	343	9	5
17004	438	431	4	3
17005	263	256	4	3
17006	298	290	4	4
17007	282	264	9	9
17008	291	286	3	2
17009	276	273	0	3
17010	469	449	8	12
17011	273	270	2	1
17012	447	422	12	13
17013	307	301	3	3
17014	404	382	14	8
17015	374	365	5	4
17016	336	319	9	8
17017	324	308	9	7
17018	388	378	4	6
17019	206	201	2	3
17020	442	441	0	1
17021	459	453	0	6
17022	304	297	6	1
17023	234	224	8	2
17024	373	365	3	5
17025	269	263	2	4
17026	370	359	8	3
17027	330	325	3	2
17028	279	273	2	4
17029	358	349	3	6
17030	271	255	15	1
17031	220	218	0	2
17032	275	267	5	3
17033	230	225	3	2
17034	264	259	2	3
17035	248	243	1	4
17036	335	330	1	4
17037	300	292	3	5
17038	334	329	2	3
17039	336	327	5	4
17040	357	356	1	0
17041	429	420	4	5
18001	342	326	8	8
18002	350	312	33	5
18003	350	298	43	9
18004	410	393	8	9
18005	241	235	2	4
18006	323	259	57	7
18007	373	340	21	12
18008	389	369	8	12
18009	377	365	9	3
18010	493	477	8	8
18011	324	302	14	8
18012	388	370	10	8
18013	404	387	6	11
18014	406	395	2	9
18015	425	377	29	19
18016	366	352	8	6
18017	376	353	16	7
18018	323	315	2	6
18019	373	366	7	0
18020	307	303	2	2
18021	467	452	7	8
18022	464	448	7	9
18023	383	356	16	11
18024	379	318	47	14
18025	378	330	40	8
18026	468	456	10	2
18027	313	302	9	2
18028	372	309	59	4
18029	415	386	20	9
18030	448	383	57	8
18031	400	387	9	4
18032	388	377	5	6
18033	309	301	1	7
18034	460	443	10	7
18035	456	436	9	11
18036	407	377	23	7
18037	445	429	11	5
18038	369	359	3	7
18039	288	277	7	4
18040	417	379	26	12
18041	442	424	12	6
18042	335	321	6	8
18043	288	248	28	12
18044	338	277	55	6
18045	345	317	20	8
18046	414	367	38	9
18047	291	279	5	7
18048	316	306	4	6
18049	232	220	7	5
18050	296	288	2	6
19001	410	288	107	15
19002	615	559	44	12
19003	350	203	136	11
19004	488	322	153	13
19005	490	429	47	14
19006	466	321	130	15
19007	400	309	78	13
19008	483	292	183	8
19009	329	228	94	7
19010	546	463	69	14
19011	418	249	159	10
19012	364	219	138	7
19013	524	502	9	13
19014	528	473	45	10
19015	551	357	176	18
19016	466	298	154	14
19017	394	288	93	13
19018	416	351	54	11
19019	584	501	69	14
19020	375	342	22	11
19021	409	257	142	10
19022	485	404	74	7
19023	457	328	119	10
19024	318	198	114	6
19025	438	343	84	11
19026	462	354	91	17
19027	459	409	35	15
19028	500	477	8	15
19029	454	283	156	15
19030	412	266	135	11
19031	408	328	71	9
19032	409	305	92	12
19033	465	291	162	12
19034	415	341	67	7
19035	406	347	51	8
19036	613	564	35	14
19037	435	399	25	11
19038	395	361	23	11
19039	172	160	10	2
19040	475	397	63	15
19041	406	244	151	11
19042	388	337	38	13
19043	593	574	8	11
19044	482	304	162	16
19045	444	322	113	9
19046	463	347	103	13
19047	624	570	39	15
19048	506	496	9	1
19049	527	487	28	12
19050	374	277	82	15
19051	495	374	100	21
19052	468	279	169	20
19053	417	330	79	8
19054	365	212	135	18
19055	370	239	123	8
19056	483	422	55	6
19057	374	329	35	10
20001	371	360	6	5
20002	161	157	2	2
20003	329	323	2	4
20004	175	173	0	2
20005	449	434	7	8
20006	181	176	2	3
20007	401	391	4	6
20008	366	354	3	9
20009	546	538	2	6
20010	260	257	1	2
20011	515	502	3	10
20012	306	300	2	4
20013	417	412	2	3
20014	195	191	2	2
20015	307	284	14	9
20016	440	419	14	7
20017	225	211	8	6
20018	253	250	0	3
20019	398	393	3	2
20020	246	229	9	8
20021	266	257	4	5
20022	482	465	11	6
20023	420	404	7	9
20024	443	418	14	11
20025	282	269	8	5
20026	401	382	10	9
20027	202	195	5	2
20028	237	232	1	4
20029	449	441	4	4
20030	176	175	1	0
20031	459	448	5	6
20032	374	363	6	5
20033	227	222	1	4
20034	642	609	23	10
20035	275	266	5	4
20036	127	123	1	3
20037	116	116	0	0
20038	133	126	4	3
20039	25	25	0	0
21001	423	407	7	9
21002	293	288	2	3
21003	427	413	6	8
21004	358	348	4	6
21005	427	416	6	5
21006	317	312	3	2
21007	395	388	2	5
21008	401	390	6	5
21009	433	427	3	3
21010	345	334	6	5
21011	367	358	4	5
21012	361	355	4	2
21013	381	370	6	5
21014	406	397	4	5
21015	339	331	4	4
21016	362	354	6	2
21017	346	339	3	4
21018	434	425	3	6
21019	384	377	3	4
21020	341	338	2	1
21021	326	315	5	6
21022	336	333	2	1
21023	336	327	6	3
21024	377	369	7	1
21025	334	324	4	6
21026	386	375	5	6
21027	379	370	5	4
21028	475	467	3	5
21029	442	441	0	1
21030	318	301	6	11
21031	281	274	3	4
21032	346	342	0	4
21033	341	338	1	2
21034	351	343	4	4
21035	446	437	8	1
21036	357	349	3	5
21037	282	274	2	6
21038	370	366	2	2
21039	325	317	4	4
21040	354	346	4	4
21041	389	380	4	5
21042	424	412	8	4
21043	372	368	0	4
21044	383	375	5	3
21045	359	353	1	5
21046	419	415	3	1
21047	368	361	4	3
21048	384	374	6	4
21049	421	414	3	4
21050	303	293	7	3
21051	358	350	2	6
21052	364	358	4	2
21053	328	317	6	5
21054	338	334	3	1
22001	213	205	2	6
22002	421	354	52	15
22003	471	434	24	13
22004	270	255	8	7
22005	330	297	21	12
22006	321	299	9	13
22007	250	234	7	9
22008	468	413	37	18
22009	282	263	5	14
22010	437	408	18	11
22011	276	260	9	7
22012	324	272	38	14
22013	336	310	14	12
22014	251	232	10	9
22015	274	261	6	7
22016	286	268	11	7
22017	355	311	18	26
22018	298	282	9	7
22019	186	178	6	2
22020	298	276	10	12
22021	368	361	2	5
22022	303	270	18	15
22023	466	454	6	6
22024	352	324	17	11
22025	338	316	14	8
23001	356	243	106	7
23002	382	284	84	14
23003	369	259	104	6
23004	406	316	74	16
23005	369	334	26	9
23006	384	335	36	13
23007	292	258	22	12
23008	421	349	56	16
23009	293	260	25	8
23010	398	350	37	11
23011	361	328	21	12
23012	379	272	99	8
23013	306	272	27	7
23014	348	259	79	10
23015	307	281	15	11
23016	364	264	84	16
23017	232	205	15	12
23018	300	224	71	5
23019	282	259	14	9
23020	210	182	25	3
23021	377	252	121	4
23022	377	302	62	13
23023	363	291	64	8
23024	294	262	24	8
23025	296	253	37	6
23026	370	329	34	7
23027	315	229	73	13
23028	378	274	92	12
23029	315	261	43	11
23030	390	341	36	13
23031	289	247	33	9
23032	341	300	30	11
23033	362	321	29	12
23034	330	291	29	10
23035	266	185	78	3
23036	352	257	85	10
23037	377	270	100	7
23038	334	250	72	12
23039	363	333	21	9
24001	292	288	0	4
24002	306	303	1	2
24003	337	331	5	1
24004	257	250	5	2
24005	181	177	2	2
24006	324	320	1	3
24007	213	198	7	8
24008	164	160	3	1
24009	306	299	4	3
24010	142	135	2	5
24011	372	357	6	9
24012	193	183	7	3
24013	178	173	1	4
24014	303	296	2	5
24015	169	158	5	6
24016	454	409	23	22
24017	260	251	2	7
24018	371	366	3	2
24019	385	382	2	1
24020	268	262	2	4
24021	151	149	1	1
24022	397	391	3	3
24023	259	250	3	6
24024	353	342	3	8
24025	274	267	3	4
24026	448	442	2	4
24027	337	328	4	5
24028	212	209	0	3
24029	258	252	1	5
24030	189	186	2	1
24031	352	347	2	3
24032	172	167	1	4
24033	194	189	1	4
24034	307	302	3	2
24035	300	294	3	3
24036	381	371	6	4
24037	189	186	2	1
24038	268	258	5	5
24039	343	315	15	13
24040	381	372	4	5
24041	227	220	3	4
25001	359	323	20	16
25002	530	492	20	18
25003	801	628	135	38
25004	398	368	22	8
25005	484	437	28	19
25006	154	127	23	4
25007	483	442	26	15
25008	500	463	18	19
25009	440	408	14	18
25010	761	617	115	29
25011	490	443	30	17
25012	449	407	17	25
25013	526	498	14	14
25014	298	259	29	10
25015	408	365	26	17
25016	774	596	154	24
25017	523	472	33	18
25018	294	254	34	6
25019	493	461	10	22
25020	311	301	4	6
25021	886	752	91	43
25022	443	411	17	15
25023	526	481	22	23
25024	462	417	20	25
25025	495	401	65	29
25026	405	362	22	21
25027	611	516	71	24
25028	476	428	28	20
25029	375	357	13	5
25030	437	407	14	16
25031	919	728	161	30
25032	378	331	33	14
26001	408	364	20	24
26002	332	308	15	9
26003	444	385	43	16
26004	239	229	5	5
26005	345	315	15	15
26006	326	301	18	7
26007	378	346	21	11
26008	197	172	16	9
26009	265	241	16	8
26010	321	298	12	11
26011	328	303	16	9
26012	411	373	21	17
26013	191	177	7	7
26014	278	252	10	16
26015	215	192	19	4
26016	197	182	12	3
26017	323	252	61	10
26018	275	249	17	9
26019	232	215	13	4
26020	329	292	21	16
26021	445	410	25	10
26022	181	169	7	5
26023	241	218	14	9
26024	298	272	18	8
26025	348	322	18	8
26026	261	237	14	10
26027	452	410	29	13
26028	549	480	54	15
26029	233	206	17	10
26030	288	271	10	7
26031	160	144	11	5
26032	446	391	34	21
26033	426	381	27	18
26034	473	439	20	14
26035	321	294	13	14
26036	383	333	33	17
26037	392	373	10	9
26038	164	151	11	2
26039	414	360	47	7
26040	255	237	11	7
26041	433	401	23	9
26042	304	284	12	8
26043	199	184	8	7
26044	220	200	16	4
26045	172	158	9	5
26046	271	216	44	11
26047	243	217	20	6
26048	355	309	27	19
26049	208	188	13	7
27001	928	764	125	39
27002	480	395	62	23
27003	251	236	7	8
27004	226	211	6	9
27005	326	311	11	4
27006	523	450	57	16
27007	635	558	50	27
27008	317	303	9	5
27009	240	193	43	4
27010	447	432	8	7
27011	618	503	91	24
27012	342	271	63	8
27013	584	546	26	12
27014	205	197	3	5
27015	219	213	3	3
27016	514	423	75	16
27017	409	382	17	10
27018	296	286	8	2
27019	208	194	8	6
27020	326	320	0	6
27021	477	397	68	12
27022	196	193	1	2
27023	293	289	2	2
27024	292	279	10	3
27025	381	357	18	6
27026	316	302	8	6
27027	504	464	26	14
27028	429	345	76	8
27029	268	254	6	8
27030	192	189	2	1
27031	320	309	8	3
27032	371	340	18	13
27033	485	407	57	21
27034	296	289	6	1
27035	527	442	71	14
27036	338	317	8	13
27037	552	459	74	19
27038	671	570	78	23
27039	295	280	7	8
27040	639	535	75	29
27041	351	345	4	2
27042	310	255	44	11
27043	271	256	10	5
27044	276	267	2	7
27045	989	793	161	35
27046	381	292	74	15
27047	297	277	12	8
27048	857	740	95	22
27049	292	284	4	4
27050	385	375	6	4
28001	236	228	4	4
28002	311	300	5	6
28003	276	271	5	0
28004	350	296	38	16
28005	231	216	9	6
28006	202	183	12	7
28007	318	313	3	2
28008	441	361	60	20
28009	326	322	1	3
28010	465	416	36	13
28011	699	634	38	27
28012	326	319	3	4
28013	382	374	6	2
28014	254	251	2	1
28015	75	71	3	1
28016	205	202	2	1
28017	284	279	2	3
28018	288	283	2	3
28019	300	271	19	10
28020	309	299	3	7
28021	275	266	3	6
28022	303	280	8	15
28023	377	371	6	0
28024	276	269	5	2
28025	450	441	7	2
28026	321	310	3	8
28027	383	305	69	9
28028	455	382	52	21
28029	172	166	4	2
28030	53	51	1	1
28031	434	417	9	8
28032	305	297	6	2
28033	346	335	4	7
28034	577	555	10	12
28035	386	376	1	9
28036	184	184	0	0
28037	414	406	5	3
28038	163	158	3	2
28039	241	235	4	2
28040	439	432	3	4
28041	241	235	3	3
28042	333	323	5	5
28043	399	392	0	7
28044	231	226	3	2
28045	457	384	56	17
28046	680	590	66	24
29001	543	484	43	16
29002	535	520	5	10
29003	437	429	2	6
29004	433	425	3	5
29005	348	335	8	5
29006	351	346	1	4
29007	423	394	24	5
29008	355	350	1	4
29009	476	419	46	11
29010	563	506	47	10
29011	241	239	2	0
29012	493	479	10	4
29013	441	421	12	8
29014	370	359	6	5
29015	472	458	8	6
29016	387	377	4	6
29017	363	349	4	10
29018	399	388	4	7
29019	412	402	5	5
29020	500	489	7	4
29021	512	499	5	8
29022	293	269	19	5
29023	474	410	52	12
29024	365	352	7	6
29025	485	476	6	3
29026	413	391	16	6
29027	370	365	2	3
29028	493	481	3	9
29029	387	299	71	17
29030	549	509	33	7
29031	426	320	98	8
29032	410	291	99	20
29033	310	297	7	6
29034	307	280	21	6
29035	300	293	3	4
29036	351	341	5	5
29037	405	390	5	10
29038	439	375	52	12
29039	399	333	52	14
29040	463	449	7	7
29041	323	318	4	1
29042	453	445	2	6
29043	517	477	27	13
29044	518	491	17	10
30001	489	414	61	14
30002	422	357	51	14
30003	361	316	29	16
30004	411	338	62	11
30005	304	271	27	6
30006	361	320	36	5
30007	458	387	56	15
30008	539	466	39	34
30009	348	284	56	8
30010	437	394	36	7
30011	388	353	25	10
30012	364	320	31	13
30013	419	362	51	6
30014	269	243	15	11
30015	425	355	46	24
30016	199	177	19	3
30017	408	352	41	15
30018	522	484	27	11
30019	377	332	30	15
30020	466	403	45	18
30021	326	275	38	13
30022	583	522	41	20
30023	470	414	41	15
30024	559	497	45	17
30025	609	541	52	16
30026	258	219	29	10
30027	289	249	37	3
30028	436	388	36	12
30029	234	208	22	4
30030	197	174	18	5
30031	282	231	39	12
30032	328	289	22	17
31001	258	235	16	7
31002	233	215	12	6
31003	240	206	27	7
31004	398	359	26	13
31005	302	264	26	12
31006	206	186	18	2
31007	440	410	12	18
31008	222	202	17	3
31009	266	231	24	11
31010	245	220	21	4
31011	226	195	25	6
31012	262	219	33	10
31013	277	258	10	9
31014	249	208	30	11
31015	254	222	25	7
31016	343	306	21	16
31017	263	223	33	7
31018	262	236	20	6
31019	251	221	21	9
