Precinct	total_votes	votes|M. Cameron ''Cam'' Davis	votes|Geoffrey Cubbage
01001	551	397	154
01002	445	333	112
01003	582	464	118
01004	569	437	132
01005	604	465	139
01006	490	360	130
01007	384	269	115
01008	430	343	87
01009	393	290	103
01010	657	515	142
01011	611	432	179
01012	594	433	161
01013	239	174	65
01014	475	384	91
01015	458	327	131
01016	621	467	154
01017	445	325	120
01018	495	354	141
01019	581	418	163
01020	408	292	116
01021	707	550	157
01022	334	261	73
01023	722	501	221
01024	438	332	106
01025	500	354	146
01026	327	256	71
01027	558	430	128
01028	113	107	6
01029	618	477	141
01030	542	396	146
01031	467	359	108
01032	492	365	127
01033	586	432	154
01034	419	302	117
01035	611	447	164
01036	530	394	136
01037	510	370	140
01038	468	345	123
01039	439	334	105
01040	488	369	119
01041	306	217	89
01042	164	117	47
01043	325	254	71
01044	469	328	141
02001	591	423	168
02002	389	306	83
02003	602	462	140
02004	460	343	117
02005	628	459	169
02006	501	358	143
02007	472	350	122
02008	617	454	163
02009	447	334	113
02010	386	306	80
02011	520	431	89
02012	467	407	60
02013	445	356	89
02014	544	387	157
02015	515	389	126
02016	463	347	116
02017	623	457	166
02018	488	377	111
02019	349	263	86
02020	557	419	138
02021	544	399	145
02022	528	413	115
02023	335	272	63
02024	454	376	78
02025	552	430	122
02026	439	352	87
02027	443	328	115
02028	541	433	108
02029	556	444	112
02030	425	299	126
02031	566	414	152
02032	391	294	97
02033	711	545	166
02034	393	319	74
02035	615	482	133
02036	544	446	98
02037	460	362	98
02038	433	344	89
02039	310	220	90
02040	679	542	137
02041	505	406	99
02042	561	456	105
02043	659	530	129
02044	300	242	58
02045	574	457	117
02046	267	201	66
03001	603	570	33
03002	561	532	29
03003	407	357	50
03004	506	468	38
03005	289	269	20
03006	645	491	154
03007	298	281	17
03008	383	358	25
03009	471	435	36
03010	211	200	11
03011	497	464	33
03012	470	434	36
03013	556	431	125
03014	553	446	107
03015	437	417	20
03016	404	384	20
03017	681	567	114
03018	692	618	74
03019	548	416	132
03020	499	465	34
03021	539	453	86
03022	665	501	164
03023	396	366	30
03024	388	363	25
03025	815	641	174
03026	553	430	123
03027	638	488	150
03028	311	296	15
03029	446	419	27
03030	401	374	27
03031	513	475	38
03032	591	473	118
03033	598	480	118
03034	629	513	116
03035	225	205	20
03036	248	236	12
03037	422	397	25
03038	385	366	19
03039	812	645	167
03040	506	443	63
03041	327	272	55
04001	751	565	186
04002	653	521	132
04003	390	364	26
04004	664	625	39
04005	494	445	49
04006	578	525	53
04007	583	531	52
04008	532	492	40
04009	569	524	45
04010	621	569	52
04011	517	484	33
04012	576	549	27
04013	630	491	139
04014	514	475	39
04015	608	565	43
04016	863	687	176
04017	656	507	149
04018	479	449	30
04019	374	357	17
04020	463	384	79
04021	722	561	161
04022	512	437	75
04023	685	532	153
04024	471	406	65
04025	574	437	137
04026	479	447	32
04027	655	515	140
04028	430	385	45
04029	427	392	35
04030	685	657	28
04031	515	469	46
04032	556	512	44
04033	509	437	72
04034	440	402	38
04035	590	556	34
04036	570	525	45
04037	929	765	164
04038	541	501	40
05001	377	357	20
05002	322	299	23
05003	545	408	137
05004	650	537	113
05005	415	393	22
05006	367	346	21
05007	502	441	61
05008	512	374	138
05009	589	502	87
05010	357	334	23
05011	508	402	106
05012	306	288	18
05013	398	373	25
05014	365	337	28
05015	439	368	71
05016	439	414	25
05017	385	364	21
05018	470	375	95
05019	458	351	107
05020	565	454	111
05021	532	407	125
05022	554	464	90
05023	832	663	169
05024	546	433	113
05025	423	396	27
05026	456	423	33
05027	563	413	150
05028	495	452	43
05029	476	429	47
05030	308	291	17
05031	347	335	12
05032	586	534	52
05033	507	484	23
05034	558	424	134
05035	585	450	135
05036	261	249	12
05037	525	425	100
05038	403	376	27
05039	385	325	60
05040	331	297	34
05041	270	237	33
06001	415	402	13
06002	402	383	19
06003	422	408	14
06004	303	292	11
06005	250	243	7
06006	408	379	29
06007	351	333	18
06008	374	356	18
06009	336	315	21
06010	215	202	13
06011	331	317	14
06012	271	258	13
06013	300	289	11
06014	351	335	16
06015	305	292	13
06016	388	359	29
06017	255	242	13
06018	264	251	13
06019	342	326	16
06020	222	213	9
06021	201	192	9
06022	222	209	13
06023	191	183	8
06024	195	186	9
06025	195	183	12
06026	275	260	15
06027	211	203	8
06028	175	166	9
06029	392	373	19
06030	301	282	19
06031	389	372	17
06032	349	333	16
06033	371	345	26
06034	379	369	10
06035	345	326	19
06036	453	435	18
06037	394	360	34
06038	392	371	21
06039	304	289	15
06040	339	319	20
06041	377	357	20
06042	381	361	20
06043	329	315	14
06044	360	341	19
06045	401	380	21
06046	255	240	15
06047	275	264	11
06048	394	381	13
07001	339	325	14
07002	343	322	21
07003	385	369	16
07004	374	351	23
07005	299	274	25
07006	465	427	38
07007	353	336	17
07008	300	277	23
07009	629	584	45
07010	407	387	20
07011	388	362	26
07012	343	329	14
07013	222	204	18
07014	384	355	29
07015	341	315	26
07016	272	249	23
07017	299	280	19
07018	321	291	30
07019	340	320	20
07020	274	263	11
07021	273	258	15
07022	310	280	30
07023	346	336	10
07024	294	279	15
07025	285	261	24
07026	287	278	9
07027	295	285	10
07028	265	248	17
07029	302	284	18
07030	255	237	18
07031	237	220	17
07032	479	458	21
07033	467	446	21
07034	427	402	25
07035	388	369	19
07036	429	408	21
07037	368	343	25
07038	307	287	20
07039	321	303	18
07040	299	289	10
07041	358	343	15
07042	305	295	10
07043	355	340	15
07044	300	286	14
07045	330	318	12
07046	152	146	6
08001	324	301	23
08002	345	326	19
08003	430	412	18
08004	425	410	15
08005	422	399	23
08006	391	374	17
08007	436	417	19
08008	372	355	17
08009	254	241	13
08010	479	453	26
08011	318	297	21
08012	335	323	12
08013	428	403	25
08014	274	265	9
08015	335	322	13
08016	116	109	7
08017	341	330	11
08018	359	338	21
08019	410	388	22
08020	433	407	26
08021	470	447	23
08022	349	336	13
08023	319	299	20
08024	230	214	16
08025	360	342	18
08026	349	325	24
08027	411	391	20
08028	388	374	14
08029	431	410	21
08030	396	370	26
08031	279	266	13
08032	310	305	5
08033	358	340	18
08034	358	344	14
08035	419	397	22
08036	400	384	16
08037	313	292	21
08038	250	243	7
08039	383	372	11
08040	290	277	13
08041	431	409	22
08042	460	434	26
08043	205	192	13
08044	256	243	13
08045	369	356	13
08046	305	295	10
08047	306	292	14
08048	346	331	15
08049	357	344	13
08050	375	346	29
08051	417	405	12
08052	466	450	16
08053	218	208	10
08054	297	290	7
08055	301	290	11
08056	375	363	12
09001	358	341	17
09002	322	311	11
09003	279	271	8
09004	273	268	5
09005	342	329	13
09006	326	316	10
09007	298	281	17
09008	353	337	16
09009	373	355	18
09010	291	283	8
09011	235	229	6
09012	405	384	21
09013	408	387	21
09014	423	412	11
09015	394	383	11
09016	317	307	10
09017	239	231	8
09018	261	255	6
09019	333	322	11
09020	350	338	12
09021	301	283	18
09022	354	336	18
09023	415	401	14
09024	367	344	23
09025	362	347	15
09026	390	381	9
09027	307	298	9
09028	220	200	20
09029	307	294	13
09030	283	275	8
09031	273	265	8
