Precinct	total_votes	votes|Yes	votes|No
01001	243	229	14
01002	183	167	16
01003	274	262	12
01004	257	249	8
01005	236	230	6
01006	225	210	15
01007	172	165	7
01008	212	192	20
01009	210	193	17
01010	251	242	9
01011	247	238	9
01012	308	294	14
01013	119	113	6
01014	238	232	6
01015	243	235	8
01016	252	238	14
01017	224	214	10
01018	261	249	12
01019	278	265	13
01020	208	199	9
01021	258	253	5
01022	173	161	12
01023	365	348	17
01024	210	199	11
01025	214	202	12
01026	153	143	10
01027	248	243	5
01028	75	58	17
01029	263	249	14
01030	283	261	22
01031	258	241	17
01032	233	215	18
01033	278	268	10
01034	226	219	7
01035	296	286	10
01036	241	229	12
01037	251	234	17
01038	220	201	19
01039	212	202	10
01040	251	232	19
01041	168	159	9
01042	73	70	3
01043	149	145	4
01044	225	213	12
02001	247	237	10
02002	228	215	13
02003	299	288	11
02004	204	193	11
02005	286	280	6
02006	187	177	10
02007	226	206	20
02008	251	243	8
02009	167	160	7
02010	255	243	12
02011	300	287	13
02012	248	235	13
02013	240	233	7
02014	299	282	17
02015	242	223	19
02016	213	203	10
02017	320	312	8
02018	256	238	18
02019	213	192	21
02020	210	196	14
02021	266	249	17
02022	257	251	6
02023	219	214	5
02024	242	233	9
02025	247	237	10
02026	197	186	11
02027	235	219	16
02028	260	251	9
02029	252	240	12
02030	223	211	12
02031	343	331	12
02032	197	189	8
02033	426	406	20
02034	280	272	8
02035	241	229	12
02036	222	213	9
02037	256	245	11
02038	237	218	19
02039	188	169	19
02040	248	236	12
02041	166	162	4
02042	217	200	17
02043	245	237	8
02044	161	153	8
02045	256	241	15
02046	142	130	12
03001	339	312	27
03002	394	369	25
03003	232	220	12
03004	314	299	15
03005	135	122	13
03006	322	315	7
03007	227	207	20
03008	187	172	15
03009	274	255	19
03010	113	102	11
03011	254	234	20
03012	326	301	25
03013	345	336	9
03014	247	233	14
03015	227	201	26
03016	230	210	20
03017	273	262	11
03018	329	311	18
03019	288	279	9
03020	275	251	24
03021	341	328	13
03022	305	285	20
03023	221	195	26
03024	230	204	26
03025	437	421	16
03026	399	382	17
03027	322	304	18
03028	186	164	22
03029	256	225	31
03030	254	237	17
03031	287	263	24
03032	301	289	12
03033	272	256	16
03034	329	301	28
03035	101	91	10
03036	134	121	13
03037	207	186	21
03038	277	249	28
03039	359	356	3
03040	298	274	24
03041	252	231	21
04001	399	385	14
04002	331	315	16
04003	242	217	25
04004	379	345	34
04005	315	294	21
04006	378	356	22
04007	412	388	24
04008	349	332	17
04009	422	400	22
04010	373	357	16
04011	265	242	23
04012	316	292	24
04013	210	198	12
04014	323	301	22
04015	354	323	31
04016	358	347	11
04017	356	342	14
04018	305	273	32
04019	194	174	20
04020	299	285	14
04021	282	265	17
04022	309	291	18
04023	435	419	16
04024	288	273	15
04025	302	294	8
04026	268	243	25
04027	376	361	15
04028	249	235	14
04029	250	233	17
04030	329	297	32
04031	391	375	16
04032	318	288	30
04033	303	290	13
04034	278	255	23
04035	359	346	13
04036	341	323	18
04037	410	394	16
04038	356	339	17
05001	217	196	21
05002	163	153	10
05003	301	287	14
05004	339	317	22
05005	230	209	21
05006	223	205	18
05007	290	279	11
05008	339	332	7
05009	353	337	16
05010	206	185	21
05011	361	341	20
05012	177	164	13
05013	212	199	13
05014	278	268	10
05015	249	230	19
05016	225	207	18
05017	204	185	19
05018	283	270	13
05019	333	319	14
05020	358	348	10
05021	287	280	7
05022	388	382	6
05023	503	480	23
05024	320	308	12
05025	296	282	14
05026	283	268	15
05027	276	267	9
05028	323	307	16
05029	284	262	22
05030	174	156	18
05031	207	193	14
05032	356	344	12
05033	299	283	16
05034	324	316	8
05035	345	329	16
05036	142	133	9
05037	352	342	10
05038	249	223	26
05039	278	264	14
05040	208	188	20
05041	205	203	2
06001	281	271	10
06002	251	241	10
06003	275	252	23
06004	149	137	12
06005	129	109	20
06006	257	247	10
06007	216	186	30
06008	232	225	7
06009	162	142	20
06010	120	112	8
06011	180	162	18
06012	135	124	11
06013	171	159	12
06014	216	196	20
06015	141	118	23
06016	260	238	22
06017	144	126	18
06018	116	99	17
06019	184	165	19
06020	110	98	12
06021	100	85	15
06022	122	110	12
06023	88	76	12
06024	118	94	24
06025	108	97	11
06026	135	128	7
06027	109	101	8
06028	96	86	10
06029	280	266	14
06030	163	147	16
06031	286	264	22
06032	215	198	17
06033	244	223	21
06034	243	224	19
06035	220	200	20
06036	296	275	21
06037	285	262	23
06038	270	257	13
06039	181	157	24
06040	206	192	14
06041	236	216	20
06042	194	179	15
06043	200	184	16
06044	196	179	17
06045	244	229	15
06046	145	130	15
06047	170	154	16
06048	214	199	15
07001	193	170	23
07002	177	159	18
07003	261	244	17
07004	231	210	21
07005	177	164	13
07006	268	252	16
07007	174	158	16
07008	164	152	12
07009	393	364	29
07010	237	230	7
07011	178	165	13
07012	179	164	15
07013	154	141	13
07014	211	198	13
07015	227	211	16
07016	166	150	16
07017	160	150	10
07018	170	157	13
07019	219	196	23
07020	139	128	11
07021	157	142	15
07022	170	156	14
07023	261	242	19
07024	181	169	12
07025	134	118	16
07026	178	166	12
07027	179	165	14
07028	133	125	8
07029	164	147	17
07030	143	124	19
07031	115	109	6
07032	360	333	27
07033	343	324	19
07034	276	259	17
07035	214	192	22
07036	280	257	23
07037	226	213	13
07038	187	170	17
07039	202	190	12
07040	182	174	8
07041	190	172	18
07042	205	195	10
07043	204	186	18
07044	158	145	13
07045	162	142	20
07046	117	105	12
08001	184	161	23
08002	202	184	18
08003	302	283	19
08004	280	263	17
08005	297	275	22
08006	246	233	13
08007	288	270	18
08008	283	269	14
08009	169	157	12
08010	359	342	17
08011	203	194	9
08012	192	182	10
08013	236	215	21
08014	138	117	21
08015	207	184	23
08016	65	60	5
08017	225	210	15
08018	166	143	23
08019	295	277	18
08020	278	258	20
08021	289	266	23
08022	219	207	12
08023	189	173	16
08024	175	161	14
08025	206	191	15
08026	202	182	20
08027	276	263	13
08028	241	226	15
08029	290	259	31
08030	238	223	15
08031	183	166	17
08032	174	162	12
08033	224	204	20
08034	229	213	16
08035	263	245	18
08036	240	233	7
08037	232	224	8
08038	136	125	11
08039	230	214	16
08040	189	177	12
08041	238	223	15
08042	276	250	26
08043	110	100	10
08044	150	142	8
08045	178	164	14
08046	166	152	14
08047	187	174	13
08048	199	185	14
08049	222	204	18
08050	250	235	15
08051	272	259	13
08052	327	309	18
08053	121	117	4
08054	141	127	14
08055	204	187	17
08056	265	248	17
09001	215	191	24
09002	190	164	26
09003	128	112	16
09004	151	142	9
09005	221	207	14
09006	189	167	22
09007	155	135	20
09008	187	166	21
09009	251	231	20
09010	158	147	11
09011	164	152	12
09012	278	251	27
09013	267	249	18
09014	278	255	23
09015	126	106	20
09016	194	175	19
09017	133	121	12
09018	145	126	19
09019	194	174	20
09020	232	210	22
09021	181	165	16
09022	244	230	14
09023	278	266	12
09024	224	210	14
09025	217	202	15
09026	148	129	19
09027	177	158	19
09028	119	103	16
09029	162	143	19
09030	157	138	19
09031	147	134	13
09032	217	197	20
09033	146	133	13
09034	154	137	17
09035	225	208	17
09036	180	162	18
09037	326	296	30
09038	196	172	24
09039	233	213	20
09040	267	243	24
09041	154	140	14
09042	244	232	12
09043	167	143	24
09044	197	189	8
09045	150	138	12
09046	221	206	15
09047	268	250	18
09048	234	221	13
09049	228	213	15
09050	350	326	24
09051	237	219	18
10001	147	132	15
10002	198	160	38
10003	172	150	22
10004	130	117	13
10005	142	120	22
10006	126	111	15
10007	104	89	15
10008	79	70	9
10009	161	144	17
10010	193	168	25
10011	180	159	21
10012	109	98	11
10013	159	139	20
10014	200	178	22
10015	429	390	39
10016	124	103	21
10017	237	197	40
10018	99	86	13
10019	169	133	36
10020	181	157	24
10021	144	119	25
10022	88	76	12
10023	130	111	19
10024	184	142	42
10025	58	51	7
10026	116	98	18
10027	153	125	28
10028	180	155	25
10029	132	121	11
10030	141	126	15
10031	107	93	14
10032	159	140	19
10033	121	109	12
10034	88	80	8
10035	204	177	27
10036	45	42	3
11001	255	233	22
11002	18	14	4
11003	213	194	19
11004	234	213	21
11005	305	281	24
11006	303	292	11
11007	202	194	8
11008	211	187	24
11009	204	178	26
11010	220	203	17
11011	267	251	16
11012	349	294	55
11013	309	267	42
11014	98	87	11
11015	109	99	10
11016	185	165	20
11017	300	278	22
11018	214	193	21
11019	308	272	36
11020	176	160	16
11021	378	340	38
11022	287	258	29
11023	176	155	21
11024	376	335	41
11025	280	261	19
11026	335	308	27
11027	89	78	11
11028	107	89	18
11029	344	300	44
11030	129	111	18
11031	266	213	53
11032	138	121	17
11033	234	221	13
11034	108	95	13
11035	54	46	8
11036	97	89	8
11037	69	65	4
11038	124	120	4
12001	243	207	36
12002	165	141	24
12003	320	288	32
12004	257	220	37
12005	218	189	29
12006	197	173	24
12007	168	145	23
12008	248	211	37
12009	189	160	29
12010	213	192	21
12011	194	171	23
12012	190	159	31
12013	210	183	27
12014	164	135	29
12015	168	146	22
12016	150	123	27
12017	200	176	24
12018	138	125	13
12019	185	164	21
12020	219	186	33
12021	207	185	22
12022	151	129	22
12023	235	211	24
13001	212	190	22
13002	225	193	32
13003	172	161	11
13004	240	199	41
13005	238	212	26
13006	251	219	32
13007	148	134	14
13008	179	151	28
13009	177	154	23
13010	223	184	39
13011	254	217	37
13012	178	158	20
13013	218	194	24
13014	183	150	33
13015	309	287	22
13016	128	120	8
13017	192	166	26
13018	177	151	26
13019	164	151	13
13020	137	113	24
13021	254	212	42
13022	248	216	32
13023	152	133	19
13024	213	183	30
13025	197	169	28
13026	194	155	39
13027	219	191	28
13028	168	145	23
13029	156	140	16
13030	175	162	13
13031	254	215	39
13032	195	173	22
13033	252	215	37
13034	307	281	26
13035	224	202	22
13036	122	97	25
13037	263	226	37
13038	223	195	28
13039	210	181	29
13040	222	197	25
13041	202	185	17
13042	245	213	32
13043	250	209	41
13044	240	221	19
13045	279	232	47
13046	234	209	25
13047	216	196	20
13048	221	185	36
14001	292	250	42
14002	263	237	26
14003	151	135	16
14004	307	254	53
14005	257	228	29
14006	94	80	14
14007	211	186	25
14008	210	183	27
14009	291	250	41
14010	146	127	19
14011	110	99	11
14012	227	204	23
14013	191	173	18
14014	215	196	19
14015	199	176	23
14016	157	131	26
14017	170	151	19
14018	101	85	16
14019	205	181	24
14020	140	123	17
14021	206	176	30
14022	278	245	33
14023	189	156	33
14024	319	278	41
14025	128	113	15
14026	150	129	21
14027	204	185	19
14028	139	123	16
14029	191	168	23
14030	113	99	14
14031	100	91	9
15001	178	156	22
15002	111	101	10
15003	127	116	11
15004	185	165	20
15005	148	136	12
15006	166	143	23
15007	130	121	9
15008	165	142	23
15009	228	200	28
15010	220	189	31
15011	192	172	20
15012	199	170	29
15013	180	161	19
15014	138	124	14
15015	121	111	10
15016	192	168	24
15017	146	135	11
15018	99	84	15
15019	174	159	15
15020	111	101	10
15021	124	104	20
15022	111	104	7
15023	137	116	21
15024	107	90	17
16001	201	183	18
16002	148	133	15
16003	114	102	12
16004	130	108	22
16005	115	97	18
16006	137	121	16
16007	137	126	11
16008	94	79	15
16009	160	138	22
16010	116	107	9
16011	116	98	18
16012	104	91	13
16013	123	109	14
16014	104	91	13
16015	168	147	21
16016	133	119	14
16017	144	127	17
16018	133	114	19
16019	116	104	12
16020	123	109	14
16021	121	112	9
16022	112	99	13
16023	135	125	10
16024	80	72	8
16025	180	155	25
16026	132	120	12
16027	133	112	21
16028	149	133	16
16029	117	105	12
16030	111	103	8
16031	170	153	17
16032	159	139	20
16033	126	104	22
16034	109	96	13
16035	188	173	15
16036	109	102	7
17001	168	150	18
17002	171	152	19
17003	177	153	24
17004	244	220	24
17005	148	128	20
17006	156	144	12
17007	119	109	10
17008	129	117	12
17009	154	138	16
17010	259	232	27
17011	124	106	18
17012	218	194	24
17013	154	135	19
17014	189	171	18
17015	195	179	16
17016	144	134	10
17017	174	151	23
17018	230	210	20
17019	108	95	13
17020	273	251	22
17021	287	260	27
17022	170	159	11
17023	130	118	12
17024	220	197	23
17025	123	111	12
17026	208	190	18
17027	192	172	20
17028	149	138	11
17029	180	162	18
17030	119	109	10
17031	101	85	16
17032	129	112	17
17033	100	91	9
17034	128	109	19
17035	127	113	14
17036	176	149	27
17037	159	147	12
17038	165	150	15
17039	189	171	18
17040	228	203	25
17041	260	241	19
18001	155	139	16
18002	166	145	21
18003	167	145	22
18004	267	252	15
18005	133	119	14
18006	179	161	18
18007	194	183	11
18008	221	195	26
18009	253	238	15
18010	318	300	18
18011	177	171	6
18012	200	185	15
18013	242	223	19
18014	221	205	16
18015	241	207	34
18016	209	192	17
18017	212	194	18
18018	215	195	20
18019	239	215	24
18020	174	162	12
18021	273	258	15
18022	282	265	17
18023	180	164	16
18024	181	160	21
18025	179	159	20
18026	287	269	18
18027	158	144	14
18028	180	160	20
18029	233	212	21
18030	205	175	30
18031	206	187	19
18032	250	229	21
18033	166	151	15
18034	291	266	25
18035	292	275	17
18036	215	202	13
18037	262	241	21
18038	206	186	20
18039	160	146	14
18040	240	222	18
18041	268	246	22
18042	152	142	10
