Precinct	total_votes	votes|Jesus ''Chuy'' Garcia	votes|Mark Wayne Lorch
30030	192	174	18
30031	281	227	54
30032	320	286	34
31001	256	236	20
31002	227	208	19
31003	233	190	43
31004	394	365	29
31005	293	254	39
31006	204	181	23
31007	438	420	18
31008	215	187	28
31009	263	223	40
31010	243	216	27
31011	224	190	34
31012	262	216	46
31013	279	266	13
31014	244	201	43
31015	247	214	33
31016	354	326	28
31017	257	223	34
31018	262	231	31
31019	252	224	28
31020	244	213	31
31021	258	231	27
31022	239	219	20
31023	286	246	40
31024	271	237	34
31025	256	228	28
31026	308	259	49
31027	308	264	44
31028	226	197	29
31029	291	250	41
31030	211	195	16
31031	231	189	42
31032	231	200	31
31033	225	187	38
31034	263	219	44
31035	312	278	34
31036	306	276	30
31037	273	244	29
31038	226	209	17
31039	319	303	16
31040	320	286	34
31041	244	220	24
32001	0	0	0
32003	632	577	55
32011	524	495	29
32012	431	400	31
32014	600	555	45
32016	29	23	6
32017	578	533	45
32020	558	526	32
32022	727	668	59
32026	644	597	47
32028	578	533	45
32043	548	493	55
33001	541	491	50
33003	722	666	56
33004	752	656	96
33006	486	436	50
33007	218	198	20
33008	287	269	18
33009	617	515	102
33010	452	388	64
33011	604	538	66
33012	543	480	63
33013	552	496	56
33014	294	255	39
33015	546	496	50
33016	724	624	100
33017	614	531	83
33019	345	299	46
33020	647	595	52
33021	588	538	50
33022	508	433	75
33023	574	517	57
33025	691	608	83
33026	456	429	27
33027	607	540	67
33028	544	511	33
35001	509	456	53
35002	555	497	58
35003	442	421	21
35004	471	395	76
35005	443	409	34
35006	451	422	29
35007	495	470	25
35008	521	487	34
35009	423	361	62
35010	635	603	32
35011	541	488	53
35012	315	294	21
35013	326	300	26
35014	334	306	28
35015	586	547	39
35016	267	251	16
35017	547	507	40
35018	307	294	13
35019	261	239	22
35020	425	378	47
35021	423	394	29
35022	578	531	47
35023	483	425	58
35024	436	385	51
35025	558	520	38
35026	417	363	54
35027	403	352	51
35028	464	423	41
35029	411	357	54
35030	455	396	59
35031	500	430	70
36001	360	312	48
36002	344	303	41
36003	338	299	39
36004	357	326	31
36006	322	288	34
36008	277	259	18
36009	341	309	32
36010	471	388	83
36011	270	243	27
36012	242	226	16
36013	266	249	17
36016	33	19	14
36019	431	371	60
36020	222	180	42
36021	212	187	25
36022	298	275	23
36023	333	299	34
36024	49	44	5
36025	376	344	32
36027	389	314	75
36029	200	147	53
37026	1	1	0
38001	396	303	93
38035	248	189	59
38041	393	321	72
39006	1	1	0
39012	170	157	13
39025	9	8	1
39028	293	249	44
39031	381	329	52
45001	393	343	50
45002	463	415	48
45008	444	367	77
45009	453	354	99
45010	480	368	112
