Precinct	total_votes	votes|Bobby L. Rush
34040	199	199
34041	4	4
34042	242	242
34043	210	210
34044	222	222
34045	194	194
34046	149	149
34047	171	171
34048	244	244
34049	212	212
34050	145	145
34051	232	232
34052	166	166
