Precinct	total_votes	votes|No Candidate
01001	0	0
01002	0	0
01003	0	0
01004	0	0
01005	0	0
01006	0	0
01007	0	0
01008	0	0
01009	0	0
01010	0	0
01011	0	0
01012	0	0
01013	0	0
01014	0	0
01015	0	0
01016	0	0
01017	0	0
01018	0	0
01019	0	0
01020	0	0
01021	0	0
01022	0	0
01023	0	0
01024	0	0
01025	0	0
01026	0	0
01027	0	0
01028	0	0
01029	0	0
01030	0	0
01031	0	0
01032	0	0
01033	0	0
01034	0	0
01035	0	0
01036	0	0
01037	0	0
01038	0	0
01039	0	0
01040	0	0
01041	0	0
01042	0	0
01043	0	0
01044	0	0
02001	0	0
02002	0	0
02003	0	0
02004	0	0
02005	0	0
02006	0	0
02007	0	0
02008	0	0
02009	0	0
02010	0	0
02011	0	0
02012	0	0
02013	0	0
02014	0	0
02015	0	0
02016	0	0
02017	0	0
02018	0	0
02019	0	0
02020	0	0
02021	0	0
02022	0	0
02023	0	0
02024	0	0
02025	0	0
02026	0	0
02027	0	0
02028	0	0
02029	0	0
02030	0	0
02031	0	0
02032	0	0
02033	0	0
02034	0	0
02035	0	0
02036	0	0
02037	0	0
02038	0	0
02039	0	0
02040	0	0
02041	0	0
02042	0	0
02043	0	0
02044	0	0
02045	0	0
02046	0	0
03001	0	0
03002	0	0
03003	0	0
03004	0	0
03005	0	0
03006	0	0
03007	0	0
03008	0	0
03009	0	0
03010	0	0
03011	0	0
03012	0	0
03013	0	0
03014	0	0
03015	0	0
03016	0	0
03017	0	0
03018	0	0
03019	0	0
03020	0	0
03021	0	0
03022	0	0
03023	0	0
03024	0	0
03025	0	0
03026	0	0
03027	0	0
03028	0	0
03029	0	0
03030	0	0
03031	0	0
03032	0	0
03033	0	0
03034	0	0
03035	0	0
03036	0	0
03037	0	0
03038	0	0
03039	0	0
03040	0	0
03041	0	0
04001	0	0
04002	0	0
04003	0	0
04004	0	0
04005	0	0
04006	0	0
04007	0	0
04008	0	0
04009	0	0
04010	0	0
04011	0	0
04012	0	0
04013	0	0
04014	0	0
04015	0	0
04016	0	0
04017	0	0
04018	0	0
04019	0	0
04020	0	0
04021	0	0
04022	0	0
04023	0	0
04024	0	0
04025	0	0
04026	0	0
04027	0	0
04028	0	0
04029	0	0
04030	0	0
04031	0	0
04032	0	0
04033	0	0
04034	0	0
04035	0	0
04036	0	0
04037	0	0
04038	0	0
05001	0	0
05002	0	0
05003	0	0
05004	0	0
05005	0	0
05006	0	0
05007	0	0
05008	0	0
05009	0	0
05010	0	0
05011	0	0
05012	0	0
05013	0	0
05014	0	0
05015	0	0
05016	0	0
05017	0	0
05018	0	0
05019	0	0
05020	0	0
05021	0	0
05022	0	0
05023	0	0
05024	0	0
05025	0	0
05026	0	0
05027	0	0
05028	0	0
05029	0	0
05030	0	0
05031	0	0
05032	0	0
05033	0	0
05034	0	0
