Precinct	total_votes	votes|Rahm Emanuel	votes|Jesus ''Chuy'' Garcia
09020	295	178	117
09021	257	154	103
09022	306	178	128
09023	333	185	148
09024	285	186	99
09025	287	154	133
09026	190	98	92
09027	253	155	98
09028	164	71	93
09029	262	143	119
09030	222	134	88
09031	210	127	83
09032	255	145	110
09033	188	126	62
09034	218	131	87
09035	279	165	114
09036	226	123	103
09037	336	193	143
09038	268	175	93
09039	287	168	119
09040	314	190	124
09041	226	141	85
09042	330	166	164
09043	216	139	77
09044	248	102	146
09045	213	131	82
09046	258	152	106
09047	341	195	146
09048	315	162	153
09049	307	183	124
09050	387	211	176
09051	302	185	117
10001	250	127	123
10002	379	196	183
10003	367	223	144
10004	257	91	166
10005	305	163	142
10006	300	124	176
10007	232	76	156
10008	165	67	98
10009	391	206	185
10010	376	162	214
10011	478	148	330
10012	249	93	156
10013	367	125	242
10014	497	163	334
10015	552	287	265
10016	278	160	118
10017	494	260	234
10018	193	74	119
10019	417	169	248
10020	412	173	239
10021	388	120	268
10022	190	40	150
10023	337	98	239
10024	408	223	185
10025	95	38	57
10026	266	76	190
10027	284	108	176
10028	423	108	315
10029	335	99	236
10030	322	84	238
10031	258	70	188
10032	360	146	214
10033	251	67	184
10034	211	66	145
10035	449	211	238
10036	87	31	56
11001	385	244	141
11002	41	17	24
11003	267	74	193
11004	355	164	191
11005	430	178	252
11006	324	206	118
11007	244	140	104
11008	364	192	172
11009	338	178	160
11010	368	235	133
11011	406	222	184
11012	615	366	249
11013	555	339	216
11014	249	182	67
11015	168	127	41
11016	300	181	119
11017	393	219	174
11018	355	253	102
11019	438	223	215
11020	303	218	85
11021	583	407	176
11022	484	273	211
11023	271	202	69
11024	503	378	125
11025	404	247	157
11026	508	327	181
11027	158	96	62
11028	205	127	78
11029	499	325	174
11030	233	180	53
11031	441	274	167
11032	237	189	48
11033	300	200	100
11034	164	130	34
11035	154	109	45
11036	178	119	59
11037	138	102	36
11038	150	36	114
12001	333	104	229
12002	255	73	182
12003	379	114	265
12004	330	101	229
12005	289	124	165
12006	327	104	223
12007	261	29	232
12008	331	128	203
12009	286	83	203
12010	302	39	263
12011	326	56	270
12012	267	74	193
12013	316	84	232
12014	241	25	216
12015	305	76	229
12016	294	37	257
12017	323	91	232
12018	269	33	236
12019	304	68	236
12020	354	79	275
12021	316	98	218
12022	242	30	212
12023	311	107	204
13001	267	166	101
13002	305	207	98
13003	218	80	138
13004	335	215	120
13005	351	153	198
13006	325	218	107
13007	242	125	117
13008	231	120	111
13009	288	153	135
13010	317	212	105
13011	366	218	148
13012	285	145	140
13013	312	139	173
13014	271	130	141
13015	438	240	198
13016	237	108	129
13017	261	149	112
13018	243	148	95
13019	322	121	201
13020	194	123	71
13021	371	247	124
13022	353	220	133
13023	233	104	129
13024	289	157	132
13025	307	156	151
13026	310	204	106
13027	307	187	120
13028	252	112	140
13029	248	112	136
13030	233	104	129
13031	325	199	126
13032	277	180	97
13033	294	189	105
13034	359	184	175
13035	281	126	155
13036	169	74	95
13037	333	186	147
13038	283	171	112
13039	310	147	163
13040	254	149	105
13041	284	128	156
13042	310	192	118
13043	328	193	135
13044	409	310	99
13045	302	208	94
13046	357	139	218
13047	313	142	171
13048	283	197	86
14001	416	246	170
14002	421	155	266
14003	295	75	220
14004	321	194	127
14005	372	88	284
14006	146	42	104
14007	326	92	234
14008	303	81	222
14009	360	202	158
14010	220	72	148
14011	171	55	116
14012	312	128	184
14013	238	88	150
14014	273	75	198
14015	302	76	226
14016	227	74	153
14017	257	77	180
14018	136	56	80
14019	274	59	215
14020	191	53	138
14021	289	52	237
14022	331	147	184
14023	263	138	125
14024	406	235	171
14025	188	34	154
14026	192	33	159
14027	267	108	159
14028	234	92	142
14029	256	73	183
14030	155	29	126
14031	175	33	142
15001	337	57	280
15002	172	105	67
15003	184	100	84
15004	340	68	272
15005	275	47	228
15006	303	73	230
15007	225	121	104
15008	333	63	270
15009	386	68	318
15010	373	86	287
15011	340	74	266
15012	390	89	301
15013	258	46	212
15014	229	30	199
15015	224	48	176
15016	310	77	233
15017	231	138	93
15018	199	105	94
15019	264	89	175
15020	180	90	90
15021	187	108	79
15022	202	107	95
15023	216	133	83
15024	189	92	97
16001	311	65	246
16002	219	131	88
16003	209	134	75
16004	226	123	103
16005	185	97	88
16006	207	111	96
16007	222	101	121
16008	132	80	52
16009	245	147	98
16010	217	129	88
16011	227	104	123
16012	178	103	75
16013	216	78	138
16014	185	107	78
16015	252	162	90
16016	256	143	113
16017	228	88	140
16018	250	111	139
16019	190	92	98
16020	206	130	76
16021	186	100	86
16022	198	106	92
16023	225	60	165
16024	151	86	65
16025	249	150	99
16026	219	123	96
16027	189	106	83
16028	277	160	117
16029	199	109	90
16030	209	122	87
16031	246	154	92
16032	234	60	174
16033	235	134	101
16034	209	129	80
16035	220	72	148
16036	188	116	72
17001	259	78	181
17002	237	128	109
17003	226	129	97
17004	300	196	104
17005	229	128	101
17006	224	114	110
17007	181	62	119
17008	231	123	108
17009	263	147	116
17010	278	158	120
17011	217	130	87
17012	268	102	166
17013	207	123	84
17014	262	124	138
17015	260	137	123
17016	226	97	129
17017	234	134	100
17018	295	181	114
17019	142	80	62
17020	343	196	147
17021	353	200	153
17022	276	147	129
17023	177	98	79
17024	300	192	108
17025	202	117	85
17026	313	191	122
17027	236	137	99
17028	211	117	94
17029	220	142	78
17030	228	87	141
17031	190	105	85
17032	175	112	63
17033	165	93	72
17034	188	105	83
17035	195	114	81
17036	295	163	132
17037	219	132	87
17038	288	170	118
17039	263	146	117
17040	256	147	109
17041	311	202	109
18001	231	108	123
18002	272	108	164
18003	321	145	176
18004	314	156	158
18005	202	141	61
18006	273	162	111
18007	297	158	139
18008	312	166	146
18009	309	176	133
18010	394	215	179
18011	255	128	127
18012	273	161	112
18013	318	156	162
18014	299	163	136
18015	320	131	189
18016	296	166	130
18017	312	153	159
18018	279	170	109
18019	305	178	127
18020	251	148	103
18021	381	194	187
18022	356	202	154
18023	270	139	131
18024	288	124	164
18025	304	122	182
18026	364	199	165
18027	226	119	107
18028	294	154	140
18029	308	154	154
18030	327	155	172
18031	300	130	170
18032	314	189	125
18033	238	126	112
18034	405	236	169
18035	368	204	164
18036	293	147	146
18037	358	178	180
18038	294	158	136
18039	210	110	100
18040	351	151	200
18041	357	204	153
18042	249	143	106
18043	241	96	145
18044	287	144	143
18045	286	108	178
18046	341	144	197
18047	198	100	98
18048	218	125	93
18049	195	101	94
18050	218	126	92
19001	320	228	92
19002	486	306	180
19003	282	168	114
19004	407	248	159
19005	395	247	148
19006	379	196	183
19007	340	212	128
19008	409	222	187
19009	253	166	87
19010	409	256	153
19011	389	246	143
19012	297	178	119
19013	402	212	190
19014	382	244	138
19015	477	258	219
19016	382	226	156
19017	301	173	128
19018	318	187	131
19019	460	279	181
19020	321	184	137
19021	330	200	130
19022	387	223	164
19023	375	235	140
19024	295	182	113
19025	339	228	111
19026	344	247	97
19027	339	176	163
19028	390	206	184
19029	343	186	157
19030	319	203	116
19031	311	186	125
19032	316	190	126
19033	356	200	156
19034	339	228	111
19035	312	199	113
19036	406	233	173
19037	350	175	175
19038	302	174	128
19039	87	48	39
19040	376	222	154
19041	334	190	144
19042	284	153	131
19043	426	236	190
19044	393	241	152
19045	348	207	141
19046	377	257	120
19047	489	258	231
19048	347	209	138
19049	435	232	203
19050	271	150	121
19051	413	292	121
19052	390	201	189
19053	332	207	125
19054	279	146	133
19055	314	191	123
19056	384	254	130
19057	303	171	132
20001	216	114	102
20002	116	75	41
20003	219	122	97
20004	121	60	61
20005	253	126	127
20006	128	78	50
20007	212	115	97
20008	280	172	108
20009	319	174	145
20010	196	108	88
20011	300	163	137
20012	133	67	66
20013	283	157	126
20014	168	95	73
20015	224	41	183
20016	298	151	147
20017	157	69	88
20018	206	126	80
20019	257	146	111
20020	173	33	140
20021	193	112	81
20022	339	182	157
20023	285	172	113
20024	245	124	121
20025	237	130	107
20026	279	131	148
20027	168	91	77
20028	190	111	79
20029	325	203	122
20030	152	99	53
20031	246	151	95
20032	258	166	92
20033	146	101	45
20034	286	112	174
20035	143	80	63
20036	90	60	30
20037	92	54	38
20038	112	64	48
20039	43	20	23
21001	327	208	119
21002	201	118	83
21003	305	184	121
21004	283	151	132
21005	335	188	147
21006	257	154	103
21007	328	198	130
21008	270	151	119
21009	334	192	142
21010	281	163	118
21011	284	190	94
21012	270	161	109
21013	260	145	115
21014	349	209	140
21015	261	151	110
21016	265	164	101
21017	250	137	113
21018	327	201	126
21019	303	199	104
21020	279	170	109
21021	233	149	84
21022	281	169	112
21023	269	146	123
21024	285	172	113
21025	279	153	126
21026	257	157	100
21027	298	150	148
21028	333	191	142
21029	293	170	123
21030	195	115	80
21031	219	135	84
21032	271	164	107
21033	289	169	120
21034	276	143	133
21035	309	202	107
21036	288	170	118
21037	237	132	105
21038	245	151	94
21039	206	121	85
21040	245	161	84
21041	314	175	139
21042	314	190	124
21043	285	177	108
21044	295	165	130
21045	289	161	128
21046	325	180	145
21047	252	146	106
21048	265	165	100
21049	330	182	148
21050	245	142	103
21051	326	202	124
21052	300	160	140
21053	225	123	102
21054	230	142	88
22001	175	102	73
22002	333	147	186
22003	436	26	410
22004	274	16	258
22005	320	32	288
22006	336	34	302
22007	240	24	216
22008	372	175	197
22009	257	12	245
22010	436	50	386
22011	264	27	237
22012	293	109	184
22013	315	41	274
22014	229	44	185
22015	234	21	213
22016	286	32	254
22017	333	30	303
22018	249	25	224
22019	124	43	81
22020	305	38	267
22021	300	123	177
22022	268	30	238
22023	343	216	127
22024	370	29	341
22025	337	32	305
23001	331	202	129
23002	309	172	137
23003	306	197	109
23004	368	215	153
23005	285	84	201
23006	321	118	203
23007	263	76	187
23008	362	182	180
23009	240	64	176
23010	337	120	217
23011	325	79	246
23012	336	183	153
23013	193	39	154
23014	297	173	124
23015	258	74	184
23016	313	187	126
23017	177	37	140
23018	279	132	147
23019	235	50	185
23020	184	45	139
23021	319	191	128
23022	303	170	133
23023	325	180	145
23024	236	54	182
23025	278	96	182
23026	306	130	176
23027	329	186	143
23028	327	167	160
23029	267	149	118
23030	332	99	233
23031	240	50	190
23032	302	93	209
23033	292	60	232
23034	257	68	189
23035	255	130	125
23036	353	226	127
23037	313	201	112
23038	276	155	121
23039	283	71	212
24001	216	113	103
24002	196	101	95
24003	223	125	98
24004	187	114	73
24005	136	66	70
24006	232	120	112
24007	149	41	108
24008	150	79	71
24009	220	124	96
24010	132	58	74
24011	227	121	106
24012	125	73	52
24013	116	72	44
24014	193	105	88
24015	139	76	63
24016	263	60	203
24017	158	86	72
24018	252	133	119
24019	247	140	107
24020	172	93	79
24021	113	61	52
24022	279	159	120
24023	201	100	101
24024	274	133	141
24025	188	110	78
24026	320	194	126
24027	231	126	105
24028	184	91	93
24029	168	99	69
24030	123	65	58
24031	249	127	122
24032	134	81	53
24033	125	72	53
24034	200	110	90
24035	309	162	147
24036	287	154	133
24037	136	73	63
24038	214	80	134
24039	296	147	149
24040	207	110	97
24041	155	99	56
25001	312	84	228
25002	319	66	253
25003	250	172	78
25004	230	142	88
25005	353	101	252
25006	143	103	40
25007	344	52	292
25008	351	55	296
25009	343	51	292
25010	318	276	42
25011	352	67	285
25012	326	70	256
25013	379	55	324
25014	249	181	68
25015	323	88	235
25016	301	256	45
25017	378	95	283
25018	333	266	67
25019	389	65	324
25020	213	138	75
25021	316	233	83
25022	326	59	267
25023	360	74	286
25024	359	55	304
25025	309	209	100
25026	318	59	259
25027	220	150	70
25028	368	62	306
25029	272	163	109
25030	309	51	258
25031	312	258	54
25032	299	83	216
26001	197	82	115
26002	211	55	156
26003	212	95	117
26004	168	60	108
26005	193	58	135
26006	230	72	158
26007	161	49	112
26008	115	26	89
26009	197	60	137
26010	196	59	137
26011	205	59	146
26012	190	74	116
26013	140	52	88
26014	154	34	120
26015	125	43	82
26016	125	39	86
26017	205	116	89
26018	201	80	121
26019	131	43	88
26020	191	84	107
26021	220	73	147
26022	146	41	105
26023	142	44	98
26024	199	67	132
26025	191	55	136
26026	131	43	88
26027	240	89	151
26028	235	127	108
26029	146	53	93
26030	158	48	110
26031	118	34	84
26032	217	115	102
26033	201	72	129
26034	228	81	147
26035	220	84	136
26036	164	57	107
26037	207	54	153
26038	126	39	87
26039	213	79	134
26040	98	32	66
26041	218	81	137
26042	170	48	122
26043	145	38	107
26044	127	41	86
26045	99	30	69
26046	135	66	69
26047	173	41	132
26048	172	59	113
26049	124	31	93
27001	249	203	46
27002	295	207	88
27003	146	75	71
27004	145	75	70
27005	178	102	76
27006	195	132	63
27007	296	149	147
27008	185	110	75
27009	108	87	21
27010	266	176	90
27011	230	173	57
27012	177	144	33
27013	371	221	150
27014	119	73	46
27015	169	117	52
27016	181	137	44
27017	226	135	91
27018	193	126	67
27019	160	89	71
27020	175	108	67
27021	245	205	40
27022	152	74	78
27023	210	126	84
27024	199	79	120
27025	194	117	77
27026	215	111	104
27027	230	150	80
27028	125	72	53
27029	180	74	106
27030	125	71	54
27031	186	106	80
27032	192	102	90
27033	233	162	71
27034	233	162	71
27035	239	172	67
27036	177	98	79
27037	295	216	79
27038	417	310	107
27039	199	115	84
27040	297	178	119
27041	251	171	80
27042	177	121	56
27043	177	93	84
27044	186	104	82
27045	264	182	82
27046	187	168	19
27047	217	139	78
27048	272	175	97
27049	149	85	64
27050	206	128	78
28001	180	99	81
28002	179	94	85
28003	151	72	79
28004	183	114	69
28005	167	101	66
28006	153	102	51
28007	220	122	98
28008	131	94	37
28009	199	126	73
28010	235	150	85
28011	361	157	204
28012	222	143	79
28013	199	109	90
28014	218	141	77
28015	81	58	23
28016	140	87	53
28017	171	108	63
28018	182	117	65
28019	212	82	130
28020	223	108	115
28021	185	116	69
28022	180	85	95
28023	245	141	104
28024	192	110	82
28025	273	134	139
28026	222	135	87
28027	243	151	92
28028	268	177	91
28029	93	55	38
28030	47	27	20
28031	318	208	110
28032	195	117	78
28033	243	146	97
28034	286	157	129
28035	233	117	116
28036	142	81	61
28037	293	186	107
28038	115	64	51
28039	167	102	65
28040	262	164	98
28041	165	85	80
28042	242	131	111
28043	255	170	85
28044	159	84	75
28045	177	118	59
28046	404	171	233
29001	397	217	180
29002	406	257	149
29003	301	200	101
29004	320	195	125
29005	253	143	110
29006	234	138	96
29007	300	189	111
29008	171	98	73
29009	375	191	184
29010	448	263	185
29011	175	89	86
29012	359	216	143
29013	298	169	129
29014	303	155	148
29015	361	217	144
29016	299	177	122
29017	272	176	96
29018	263	162	101
29019	314	165	149
29020	385	216	169
29021	288	181	107
29022	218	99	119
29023	331	161	170
29024	259	165	94
29025	342	228	114
29026	302	172	130
29027	255	146	109
29028	356	194	162
29029	297	165	132
29030	393	227	166
29031	286	164	122
29032	267	131	136
29033	250	141	109
29034	200	112	88
29035	183	101	82
29036	274	186	88
29037	281	156	125
29038	258	123	135
29039	282	142	140
29040	331	201	130
29041	249	153	96
29042	283	171	112
29043	390	195	195
29044	367	199	168
30001	283	119	164
30002	276	127	149
30003	211	93	118
30004	282	134	148
30005	200	71	129
30006	228	99	129
30007	297	101	196
30008	312	147	165
30009	224	113	111
30010	279	112	167
30011	219	66	153
30012	234	95	139
30013	252	112	140
30014	172	63	109
30015	289	178	111
30016	140	56	84
30017	271	141	130
30018	254	73	181
30019	251	60	191
30020	285	105	180
30021	240	106	134
30022	287	88	199
30023	238	82	156
30024	240	81	159
30025	271	106	165
30026	175	77	98
30027	157	74	83
30028	280	132	148
30029	148	53	95
30030	114	37	77
30031	191	86	105
30032	190	80	110
31001	208	57	151
31002	175	59	116
31003	237	99	138
31004	236	78	158
31005	224	82	142
31006	214	87	127
31007	223	78	145
31008	151	60	91
31009	248	95	153
31010	181	77	104
31011	186	86	100
31012	183	80	103
31013	231	59	172
31014	203	90	113
31015	178	68	110
31016	246	60	186
31017	221	102	119
31018	203	84	119
31019	188	85	103
31020	203	73	130
31021	187	77	110
31022	176	43	133
31023	194	80	114
31024	228	93	135
31025	187	64	123
31026	230	97	133
31027	250	104	146
31028	178	62	116
31029	248	122	126
31030	168	64	104
31031	209	78	131
31032	174	55	119
31033	200	95	105
31034	204	91	113
31035	245	84	161
31036	245	101	144
31037	188	76	112
31038	210	79	131
31039	193	48	145
31040	209	71	138
31041	195	49	146
32001	282	172	110
32002	249	188	61
32003	358	139	219
32004	299	208	91
32005	287	172	115
32006	258	203	55
32007	315	234	81
32008	322	270	52
32009	301	188	113
32010	287	206	81
32011	301	117	184
32012	267	81	186
32013	282	223	59
32014	274	107	167
32015	264	164	100
32016	289	156	133
32017	316	131	185
32018	300	250	50
32019	253	138	115
32020	324	78	246
32021	331	216	115
32022	360	146	214
32023	256	201	55
32024	196	167	29
32025	261	162	99
32026	340	158	182
32027	321	253	68
32028	301	123	178
32029	316	170	146
32030	290	248	42
32031	295	213	82
32032	299	211	88
32033	319	216	103
32034	262	154	108
32035	258	183	75
32036	287	209	78
32037	222	122	100
32038	254	165	89
32039	348	295	53
32040	338	263	75
32041	297	222	75
32042	264	169	95
32043	286	117	169
33001	325	122	203
33002	416	172	244
33003	374	142	232
33004	370	149	221
33005	285	139	146
33006	300	130	170
33007	349	173	176
33008	478	256	222
33009	351	185	166
33010	365	218	147
33011	348	145	203
33012	344	159	185
33013	310	98	212
33014	159	45	114
33015	407	149	258
33016	487	233	254
33017	395	161	234
33018	396	151	245
33019	301	130	171
33020	377	153	224
33021	351	151	200
33022	387	211	176
33023	355	175	180
33024	545	326	219
33025	407	158	249
33026	230	78	152
33027	264	115	149
33028	261	88	173
34001	318	189	129
34002	270	175	95
34003	297	182	115
34004	222	132	90
34005	253	162	91
34006	350	227	123
34007	322	206	116
34008	219	122	97
34009	226	126	100
34010	301	171	130
34011	223	138	85
34012	312	194	118
34013	298	172	126
34014	220	125	95
34015	202	124	78
34016	228	140	88
34017	350	221	129
34018	204	121	83
34019	274	169	105
34020	360	251	109
34021	375	251	124
34022	290	194	96
34023	236	146	90
34024	235	145	90
34025	339	232	107
34026	290	169	121
34027	231	136	95
34028	187	119	68
34029	220	121	99
34030	304	176	128
34031	219	149	70
34032	264	177	87
34033	223	127	96
34034	301	173	128
34035	292	169	123
34036	275	153	122
34037	165	99	66
34038	167	111	56
34039	221	122	99
34040	305	183	122
34041	200	118	82
34042	315	191	124
34043	286	170	116
34044	280	177	103
34045	311	200	111
34046	190	116	74
34047	235	173	62
34048	325	199	126
34049	355	201	154
34050	224	124	100
34051	317	184	133
34052	231	147	84
34053	180	117	63
35001	293	99	194
35002	349	131	218
35003	237	75	162
35004	311	132	179
35005	256	74	182
35006	254	81	173
35007	257	56	201
35008	242	59	183
35009	302	122	180
35010	334	107	227
35011	307	91	216
35012	194	44	150
35013	191	45	146
35014	225	62	163
35015	322	76	246
35016	197	47	150
35017	270	118	152
35018	239	77	162
35019	179	51	128
35020	220	78	142
35021	244	78	166
35022	292	123	169
35023	272	118	154
35024	251	81	170
35025	284	112	172
35026	235	94	141
35027	230	97	133
35028	272	98	174
35029	218	80	138
35030	273	124	149
35031	321	139	182
36001	278	126	152
36002	293	92	201
36003	289	102	187
36004	289	109	180
36005	293	108	185
36006	239	88	151
36007	384	227	157
36008	247	51	196
36009	249	66	183
36010	297	98	199
36011	214	82	132
36012	167	46	121
36013	194	49	145
36014	300	145	155
36015	337	180	157
36016	318	154	164
36017	343	181	162
36018	309	175	134
36019	318	135	183
36020	284	139	145
36021	230	75	155
36022	217	46	171
36023	243	73	170
36024	338	170	168
36025	242	64	178
36026	270	170	100
36027	272	117	155
36028	265	127	138
36029	361	181	180
36030	318	175	143
37001	229	154	75
37002	176	73	103
37003	168	103	65
37004	220	131	89
37005	296	188	108
37006	265	154	111
37007	192	102	90
37008	193	98	95
37009	248	150	98
37010	315	171	144
37011	173	115	58
37012	191	91	100
37013	192	115	77
37014	265	172	93
37015	287	191	96
37016	268	152	116
37017	216	150	66
37018	264	150	114
37019	189	85	104
37020	209	119	90
37021	240	133	107
37022	240	111	129
37023	271	167	104
37024	279	178	101
37025	257	159	98
37026	337	203	134
37027	270	146	124
37028	206	109	97
37029	279	151	128
37030	241	128	113
37031	292	172	120
37032	250	138	112
37033	273	165	108
37034	259	165	94
37035	279	187	92
37036	213	142	71
37037	267	169	98
37038	304	164	140
37039	229	124	105
37040	295	185	110
37041	323	183	140
38001	274	155	119
38002	390	253	137
38003	310	191	119
38004	327	203	124
38005	320	181	139
38006	304	163	141
38007	327	213	114
38008	287	171	116
38009	348	202	146
38010	255	134	121
38011	288	169	119
38012	326	221	105
38013	339	187	152
38014	320	185	135
38015	273	163	110
38016	334	201	133
38017	338	194	144
38018	329	220	109
38019	375	285	90
38020	297	186	111
38021	238	136	102
38022	294	174	120
38023	336	203	133
38024	375	239	136
38025	244	149	95
38026	342	229	113
38027	318	200	118
38028	377	239	138
