Precinct	total_votes	votes|Joseph R. Biden & Kamala D. Harris	votes|Donald J. Trump & Michael R. Pence	votes|Howie Hawkins & Angela Walker	votes|Gloria La Riva & Leonard Peltier	votes|Brian Carroll & Amar Patel	votes|Jo Jorgensen & Jeremy ''Spike'' Cohen
01001	766	667	78	8	6	1	6
01002	611	540	53	7	6	0	5
01003	848	766	69	3	0	1	9
01004	842	733	95	3	2	1	8
01005	782	696	72	3	2	0	9
01006	666	559	95	6	2	1	3
01007	498	438	49	2	2	0	7
01008	674	594	71	2	1	0	6
01009	521	442	67	5	1	0	6
01010	926	802	102	4	0	1	17
01011	844	758	69	7	0	0	10
01012	885	731	137	5	3	0	9
01013	363	317	30	5	3	0	8
01014	729	651	70	2	1	0	5
01015	648	539	91	4	4	0	10
01016	782	682	81	5	5	1	8
01017	633	559	62	4	3	1	4
01018	702	640	48	4	5	1	4
01019	828	744	61	11	2	0	10
01020	543	499	36	3	3	0	2
01021	1086	970	88	10	3	1	14
01022	491	430	46	8	3	0	4
01023	909	817	65	14	6	3	4
01024	654	575	56	7	9	2	5
01025	697	621	60	5	0	2	9
01026	482	419	56	2	0	1	4
01027	802	692	94	4	2	0	10
01028	254	208	40	2	0	2	2
01029	938	832	84	3	6	0	13
01030	804	700	85	9	3	1	6
01031	670	574	85	1	4	2	4
01032	694	578	100	2	0	2	12
01033	828	693	121	2	5	0	7
01034	567	521	34	2	2	1	7
01035	902	768	113	4	0	0	17
01036	830	716	93	7	1	0	13
01037	759	633	111	6	1	0	8
01038	708	635	59	2	1	1	10
01039	617	531	75	1	1	0	9
01040	690	563	113	3	1	1	9
01041	412	378	25	1	2	1	5
01042	224	194	24	1	1	0	4
01043	462	404	51	2	0	0	5
01044	655	588	48	4	0	0	15
02001	834	730	87	5	0	1	11
02002	512	386	118	1	2	0	5
02003	842	743	81	5	3	0	10
02004	746	660	72	3	4	1	6
02005	885	774	90	4	3	1	13
02006	781	665	102	5	0	0	9
02007	695	606	72	9	0	0	8
02008	937	814	97	4	2	3	17
02009	724	559	148	1	0	0	16
02010	540	369	163	2	1	0	5
02011	731	556	163	3	1	1	7
02012	624	541	71	3	1	2	6
02013	595	469	116	2	0	0	8
02014	751	635	103	4	1	0	8
02015	701	620	69	0	3	0	9
02016	704	620	75	2	1	0	6
02017	818	690	115	4	2	1	6
02018	664	516	136	3	0	1	8
02019	490	364	124	1	0	0	1
02020	966	775	170	3	0	1	17
02021	769	684	70	2	2	2	9
02022	788	639	131	3	0	0	15
02023	469	367	97	0	0	1	4
02024	687	575	99	2	0	0	11
02025	834	726	88	4	1	0	15
02026	669	536	121	1	1	0	10
02027	649	443	193	2	1	0	10
02028	837	666	149	2	0	0	20
02029	815	629	171	1	1	0	13
02030	608	463	132	3	1	0	9
02031	812	644	156	3	0	0	9
02032	620	464	140	4	0	2	10
02033	1007	765	225	4	1	0	12
02034	522	391	124	1	0	0	6
02035	984	767	197	5	1	1	13
02036	826	629	186	1	0	1	9
02037	612	482	123	2	0	0	5
02038	662	495	158	0	0	1	8
02039	501	331	161	4	0	0	5
02040	1030	802	211	1	0	1	15
02041	874	648	204	4	0	2	16
02042	813	624	171	6	0	0	12
02043	989	731	238	1	1	1	17
02044	423	324	90	1	0	0	8
02045	853	678	156	5	3	0	11
02046	419	329	79	1	0	0	10
03001	824	793	29	2	0	0	0
03002	646	627	17	0	0	0	2
03003	566	477	85	0	2	1	1
03004	664	641	15	4	1	2	1
03005	364	324	28	7	3	0	2
03006	955	793	146	5	0	0	11
03007	394	373	19	1	0	1	0
03008	497	468	20	2	0	4	3
03009	671	639	22	3	0	0	7
03010	315	298	14	1	2	0	0
03011	653	622	25	1	2	1	2
03012	585	554	21	5	1	0	4
03013	781	676	98	2	0	1	4
03014	771	669	88	2	4	0	8
03015	574	547	22	2	1	2	0
03016	479	456	18	1	0	2	2
03017	961	877	74	4	2	1	3
03018	887	816	55	7	5	1	3
03019	830	668	144	2	1	0	15
03020	652	619	22	4	3	2	2
