Precinct	total_votes	votes|Jacob Meister	votes|Dorothy A. Brown	votes|Michelle A. Harris
04009	536	36	294	206
04010	504	50	293	161
04011	486	23	343	120
04012	484	23	316	145
04013	270	83	105	82
04014	432	25	288	119
04015	548	38	353	157
04016	387	138	122	127
04017	376	120	132	124
04018	405	28	268	109
04019	451	15	332	104
04020	311	102	116	93
04021	402	106	179	117
04022	420	82	210	128
04023	492	107	212	173
04024	381	54	189	138
04025	331	124	114	93
04026	449	24	266	159
04027	432	80	192	160
04028	391	26	229	136
04029	428	19	272	137
04030	587	23	409	155
04031	450	57	223	170
04032	462	20	304	138
04033	453	45	261	147
04034	383	30	231	122
04035	539	24	313	202
04036	470	30	285	155
04037	344	142	98	104
04038	484	39	265	180
05001	372	21	247	104
05002	369	7	244	118
05003	341	77	119	145
05004	447	46	221	180
05005	415	17	276	122
05006	360	20	214	126
05007	379	59	185	135
05008	326	113	97	116
05009	452	67	189	196
05010	365	20	223	122
05011	379	97	162	120
05012	337	7	234	96
05013	348	15	230	103
05014	382	15	213	154
05015	374	45	208	121
05016	411	18	255	138
05017	392	18	256	118
05018	344	65	160	119
05019	340	111	123	106
05020	412	70	192	150
05021	368	84	154	130
05022	415	103	175	137
05023	578	157	220	201
05024	392	92	160	140
05025	395	32	222	141
05026	414	19	259	136
05027	277	108	75	94
05028	447	28	240	179
05029	454	32	239	183
05030	336	18	214	104
05031	352	17	214	121
05032	447	21	263	163
05033	443	20	279	144
05034	361	147	97	117
05035	369	110	124	135
05036	323	15	199	109
05037	350	91	123	136
05038	426	11	286	129
05039	282	102	94	86
05040	324	19	205	100
05041	209	49	77	83
06001	398	14	241	143
06002	389	12	241	136
06003	393	21	216	156
06004	286	10	199	77
06005	257	8	184	65
06006	372	13	221	138
06007	369	16	231	122
06008	408	19	244	145
06009	381	15	269	97
06010	270	7	185	78
06011	389	15	268	106
06012	316	14	227	75
06013	291	9	182	100
06014	341	17	228	96
06015	351	9	260	82
06016	398	15	241	142
06017	298	13	189	96
06018	254	6	164	84
06019	348	13	215	120
06020	234	7	164	63
06021	245	9	174	62
06022	258	13	180	65
06023	237	9	178	50
06024	265	12	200	53
06025	240	13	169	58
06026	300	5	203	92
06027	237	5	187	45
06028	210	5	147	58
06029	383	19	211	153
06030	332	14	209	109
06031	372	16	207	149
06032	346	14	209	123
06033	391	17	251	123
06034	380	10	231	139
06035	348	11	218	119
06036	414	6	249	159
06037	380	17	220	143
06038	396	22	227	147
06039	360	15	232	113
06040	331	9	204	118
06041	401	10	258	133
06042	391	11	243	137
06043	323	7	233	83
06044	385	14	260	111
06045	411	9	251	151
06046	251	7	157	87
06047	292	12	217	63
06048	387	15	240	132
07001	330	16	195	119
07002	348	22	200	126
07003	343	9	200	134
07004	371	9	248	114
07005	283	14	174	95
07006	426	26	255	145
07007	342	15	238	89
07008	279	20	164	95
07009	517	20	299	198
07010	377	14	213	150
07011	412	16	258	138
07012	354	14	232	108
07013	212	9	127	76
07014	366	20	228	118
07015	365	18	204	143
07016	315	9	200	106
07017	302	18	191	93
07018	271	20	167	84
07019	358	17	229	112
07020	267	16	172	79
07021	275	11	180	84
07022	261	17	162	82
07023	365	17	209	139
07024	320	10	196	114
07025	332	19	221	92
07026	314	9	158	147
07027	289	7	172	110
07028	243	11	144	88
07029	291	8	173	110
07030	260	27	156	77
07031	223	20	138	65
07032	478	24	260	194
07033	445	25	242	178
07034	401	11	244	146
07035	334	16	206	112
07036	421	13	218	190
07037	395	17	224	154
07038	301	11	201	89
07039	327	9	202	116
07040	308	12	173	123
07041	340	7	210	123
07042	331	6	201	124
07043	320	14	194	112
07044	326	16	217	93
07045	355	19	258	78
07046	160	9	103	48
08001	284	9	182	93
08002	379	18	209	152
08003	413	16	174	223
08004	410	18	169	223
08005	399	19	183	197
08006	393	20	193	180
08007	427	21	204	202
08008	366	21	167	178
08009	261	11	139	111
08010	450	31	226	193
08011	333	19	138	176
08012	333	11	150	172
08013	425	23	249	153
08014	318	17	180	121
08015	346	14	168	164
08016	150	5	100	45
08017	327	14	115	198
08018	355	16	190	149
08019	427	21	211	195
08020	409	20	196	193
08021	479	17	241	221
08022	332	14	173	145
08023	309	10	165	134
08024	220	11	97	112
08025	378	16	175	187
08026	383	16	213	154
08027	406	22	178	206
08028	382	24	186	172
08029	445	26	214	205
08030	421	19	204	198
08031	298	13	179	106
08032	294	12	133	149
08033	370	29	188	153
08034	333	19	160	154
08035	405	33	177	195
08036	393	17	180	196
08037	322	30	137	155
08038	255	10	117	128
08039	388	22	181	185
08040	304	13	141	150
08041	366	19	207	140
08042	459	19	214	226
08043	199	4	116	79
08044	254	9	110	135
08045	389	16	239	134
08046	288	7	142	139
08047	305	19	139	147
08048	365	14	204	147
08049	342	15	158	169
08050	394	13	185	196
08051	403	25	194	184
08052	475	27	210	238
08053	208	14	110	84
08054	336	15	181	140
08055	292	9	106	177
08056	380	12	172	196
09001	384	10	245	129
09002	336	12	242	82
09003	311	9	231	71
09004	308	10	209	89
09005	326	12	215	99
09006	344	8	246	90
09007	264	6	171	87
09008	364	18	259	87
09009	391	3	238	150
09010	308	12	213	83
09011	263	13	167	83
09012	375	17	236	122
09013	382	14	236	132
09014	444	13	297	134
09015	376	9	267	100
09016	332	15	218	99
09017	300	13	218	69
09018	260	13	175	72
09019	365	12	239	114
09020	392	9	252	131
09021	292	6	189	97
09022	374	9	234	131
09023	392	12	229	151
09024	374	11	232	131
09025	341	6	218	117
09026	353	14	243	96
09027	336	18	234	84
09028	223	24	141	58
09029	304	7	221	76
09030	318	4	207	107
09031	285	12	193	80
09032	321	11	203	107
09033	277	13	188	76
09034	308	9	229	70
09035	345	12	205	128
09036	325	9	224	92
09037	367	69	176	122
09038	344	11	228	105
09039	363	10	218	135
09040	389	9	274	106
09041	297	10	189	98
09042	371	16	215	140
09043	324	7	234	83
09044	317	7	206	104
09045	292	11	187	94
09046	346	31	222	93
09047	375	13	208	154
09048	380	13	234	133
09049	385	19	228	138
09050	474	17	281	176
09051	356	15	204	137
10001	303	34	184	85
10002	210	63	84	63
10003	232	74	83	75
10004	269	50	151	68
10005	184	50	84	50
10006	230	63	104	63
10007	195	39	93	63
10008	254	12	185	57
10009	223	74	81	68
10010	279	68	125	86
10011	332	74	141	117
10012	192	62	76	54
10013	339	71	165	103
10014	344	98	139	107
10015	658	21	425	212
10016	209	62	85	62
10017	292	75	103	114
10018	207	24	116	67
10019	249	62	105	82
10020	286	90	115	81
10021	308	65	144	99
10022	182	52	84	46
10023	280	83	102	95
10024	230	48	113	69
10025	101	15	56	30
10026	238	42	119	77
10027	303	26	185	92
10028	333	89	140	104
10029	269	51	120	98
10030	282	61	117	104
10031	228	56	94	78
10032	276	81	100	95
10033	201	44	104	53
10034	220	31	131	58
10035	269	89	108	72
10036	71	11	43	17
11001	292	71	106	115
11002	51	6	32	13
11003	279	89	113	77
11004	281	90	80	111
11005	395	107	148	140
11006	325	92	131	102
11007	485	91	226	168
11008	302	86	98	118
11009	263	60	98	105
11010	261	67	86	108
11011	293	80	103	110
11012	429	121	103	205
11013	366	74	98	194
11014	133	41	42	50
11015	125	35	43	47
11016	200	44	74	82
11017	370	118	128	124
11018	263	68	73	122
11019	385	105	142	138
11020	215	49	53	113
11021	430	99	105	226
11022	378	103	124	151
11023	185	57	62	66
11024	429	95	83	251
11025	334	94	95	145
11026	364	96	102	166
11027	107	22	43	42
11028	155	25	50	80
11029	336	82	90	164
11030	151	46	53	52
11031	267	71	88	108
11032	149	39	39	71
11033	271	78	107	86
11034	87	18	29	40
11035	77	10	35	32
11036	116	39	38	39
11037	85	18	38	29
11038	163	41	76	46
12001	325	102	131	92
12002	279	71	137	71
12003	372	135	149	88
12004	348	102	141	105
12005	269	87	107	75
12006	293	68	143	82
12007	296	92	136	68
12008	351	117	137	97
12009	259	92	100	67
12010	398	112	191	95
12011	326	97	143	86
12012	313	86	151	76
12013	336	76	162	98
12014	298	48	156	94
12015	262	76	120	66
12016	305	68	162	75
12017	345	102	164	79
12018	277	79	131	67
12019	318	106	112	100
12020	390	94	187	109
12021	327	82	151	94
12022	342	70	183	89
12023	314	95	139	80
13001	246	62	84	100
13002	261	62	61	138
13003	236	59	106	71
13004	268	82	85	101
13005	370	69	173	128
13006	274	77	78	119
13007	258	39	98	121
13008	217	67	59	91
13009	280	80	122	78
13010	205	74	58	73
13011	301	71	78	152
13012	276	80	98	98
13013	330	55	109	166
13014	284	66	110	108
13015	512	114	216	182
13016	237	56	101	80
13017	262	70	82	110
13018	196	53	70	73
13019	422	81	173	168
13020	158	45	56	57
13021	290	101	82	107
13022	301	99	95	107
13023	246	56	94	96
13024	287	66	104	117
13025	310	78	117	115
13026	343	64	89	190
13027	285	74	115	96
13028	260	38	105	117
13029	246	57	110	79
13030	251	43	98	110
13031	292	83	95	114
13032	241	83	68	90
13033	245	67	86	92
13034	421	68	95	258
13035	279	45	95	139
13036	186	43	69	74
13037	344	57	129	158
13038	210	63	67	80
13039	307	52	124	131
13040	258	58	79	121
13041	326	65	121	140
13042	247	93	90	64
13043	320	63	110	147
13044	433	35	102	296
13045	376	93	116	167
13046	383	73	158	152
13047	339	56	149	134
13048	259	69	77	113
14001	289	86	79	124
14002	415	97	165	153
14003	362	61	155	146
14004	223	53	79	91
14005	456	86	157	213
14006	171	19	65	87
14007	337	84	158	95
14008	327	75	164	88
14009	316	104	100	112
14010	222	58	88	76
14011	219	24	89	106
14012	290	67	125	98
14013	261	56	114	91
14014	322	61	148	113
14015	402	76	155	171
14016	240	57	95	88
14017	273	56	125	92
14018	122	37	38	47
14019	353	72	169	112
14020	211	52	85	74
14021	297	64	106	127
14022	347	93	152	102
14023	216	58	77	81
14024	286	73	78	135
14025	205	39	67	99
14026	228	54	95	79
14027	280	64	120	96
14028	210	56	96	58
14029	273	42	105	126
14030	184	39	82	63
14031	201	49	90	62
15001	287	71	148	68
15002	228	13	169	46
15003	225	10	164	51
15004	308	68	155	85
15005	313	65	166	82
15006	307	72	146	89
15007	267	22	190	55
15008	277	60	143	74
15009	377	83	189	105
15010	406	115	185	106
15011	375	83	187	105
15012	367	100	173	94
15013	287	63	169	55
15014	270	64	119	87
15015	302	58	161	83
15016	308	50	159	99
15017	226	11	170	45
15018	275	20	198	57
15019	254	49	137	68
15020	221	11	163	47
15021	261	16	202	43
15022	273	25	194	54
15023	281	10	210	61
15024	251	16	185	50
16001	329	80	158	91
16002	311	27	210	74
16003	259	8	208	43
16004	243	7	171	65
16005	277	15	213	49
16006	297	9	216	72
16007	280	22	192	66
16008	211	13	143	55
16009	324	8	244	72
16010	267	11	194	62
16011	291	21	202	68
16012	259	15	181	63
16013	288	26	181	81
16014	238	10	183	45
16015	330	13	247	70
16016	305	12	226	67
16017	289	37	170	82
16018	283	27	184	72
16019	288	12	211	65
16020	258	11	198	49
16021	244	12	178	54
16022	272	13	200	59
16023	286	33	179	74
16024	195	11	140	44
16025	298	1	233	64
16026	255	9	195	51
16027	263	12	191	60
16028	280	11	206	63
16029	274	11	219	44
16030	243	6	185	52
16031	308	5	235	68
16032	301	55	149	97
16033	267	9	207	51
16034	282	14	209	59
16035	297	36	184	77
16036	220	10	174	36
17001	285	42	169	74
17002	313	6	233	74
17003	332	10	251	71
17004	452	21	334	97
17005	283	11	189	83
17006	322	30	219	73
17007	323	41	197	85
17008	360	21	260	79
17009	329	16	233	80
17010	366	18	256	92
17011	286	8	212	66
17012	418	52	240	126
17013	286	9	213	64
17014	334	42	214	78
17015	370	14	260	96
17016	312	35	207	70
17017	323	15	233	75
17018	374	11	240	123
17019	227	5	173	49
17020	436	9	310	117
17021	437	22	311	104
17022	293	10	217	66
17023	230	19	160	51
17024	392	9	272	111
17025	286	10	198	78
17026	382	12	277	93
17027	352	8	259	85
17028	293	9	210	74
17029	329	12	234	83
17030	270	34	169	67
17031	218	7	159	52
17032	308	13	232	63
17033	228	8	157	63
17034	254	8	188	58
17035	273	6	200	67
17036	382	13	276	93
17037	312	10	224	78
17038	347	6	263	78
17039	328	8	219	101
17040	366	10	260	96
17041	387	14	263	110
18001	318	19	200	99
18002	294	36	89	169
18003	246	58	106	82
18004	368	19	210	139
18005	230	7	159	64
18006	241	45	113	83
18007	328	29	190	109
18008	355	17	197	141
18009	318	23	199	96
18010	460	22	236	202
18011	277	45	128	104
18012	322	15	210	97
18013	362	20	227	115
18014	367	18	241	108
18015	387	63	218	106
18016	344	14	214	116
18017	339	27	186	126
18018	290	13	192	85
18019	334	14	229	91
18020	288	10	204	74
18021	431	23	263	145
18022	434	19	276	139
18023	322	14	201	107
18024	280	83	95	102
18025	276	61	117	98
18026	440	13	265	162
18027	263	20	162	81
18028	261	61	86	114
18029	329	35	199	95
18030	304	76	135	93
18031	364	30	202	132
18032	367	10	237	120
18033	310	10	207	93
18034	435	15	249	171
18035	388	17	219	152
18036	336	42	173	121
18037	385	24	218	143
18038	329	10	216	103
18039	267	22	157	88
18040	370	63	162	145
18041	395	17	248	130
18042	273	23	148	102
18043	251	59	105	87
18044	246	64	72	110
18045	289	36	158	95
18046	332	75	129	128
18047	257	17	167	73
18048	284	15	189	80
18049	242	7	172	63
18050	266	12	177	77
19001	240	80	55	105
19002	457	75	209	173
19003	171	62	36	73
19004	263	88	76	99
19005	361	92	140	129
19006	227	74	63	90
19007	255	96	69	90
19008	237	94	59	84
19009	187	70	49	68
19010	371	112	126	133
19011	209	88	47	74
19012	186	74	35	77
19013	445	26	264	155
19014	337	56	144	137
19015	264	81	77	106
19016	259	83	73	103
19017	233	81	62	90
19018	287	78	87	122
19019	384	119	128	137
19020	308	38	152	118
19021	192	67	60	65
19022	286	80	102	104
19023	260	94	72	94
19024	179	75	21	83
19025	281	97	93	91
19026	256	100	67	89
19027	360	50	171	139
19028	422	28	250	144
19029	209	75	55	79
19030	218	79	52	87
19031	261	89	79	93
19032	233	88	57	88
19033	218	67	61	90
19034	257	102	81	74
19035	275	88	88	99
19036	457	48	263	146
19037	339	80	147	112
19038	327	40	178	109
19039	153	11	99	43
19040	332	73	133	126
19041	197	72	54	71
19042	257	46	113	98
19043	517	36	303	178
19044	258	100	55	103
19045	253	75	73	105
19046	259	102	58	99
19047	528	63	277	188
19048	459	23	310	126
19049	457	54	254	149
19050	229	71	86	72
19051	334	118	96	120
19052	253	102	73	78
19053	244	76	77	91
19054	151	50	40	61
19055	184	70	53	61
19056	326	77	120	129
19057	281	77	111	93
20001	332	17	233	82
20002	163	3	118	42
20003	274	10	194	70
20004	162	7	119	36
20005	354	12	245	97
20006	198	10	128	60
20007	353	12	267	74
20008	333	7	246	80
20009	399	19	256	124
20010	288	6	213	69
20011	449	13	312	124
20012	245	8	179	58
20013	392	19	270	103
20014	203	15	138	50
20015	311	52	168	91
20016	352	31	223	98
20017	184	20	122	42
20018	277	13	202	62
20019	386	13	285	88
20020	265	51	143	71
20021	286	12	208	66
20022	441	29	281	131
20023	365	16	265	84
20024	313	29	170	114
20025	283	16	201	66
20026	354	41	211	102
20027	233	9	171	53
20028	240	9	169	62
20029	386	20	276	90
20030	181	10	124	47
20031	417	16	310	91
20032	356	14	244	98
20033	215	7	155	53
20034	410	59	232	119
20035	340	13	265	62
20036	126	8	88	30
20037	138	3	101	34
20038	149	10	115	24
20039	55	4	31	20
21001	380	16	237	127
21002	273	7	190	76
21003	395	10	253	132
21004	378	17	274	87
21005	412	15	243	154
21006	322	13	207	102
21007	391	9	251	131
21008	367	14	244	109
21009	392	11	236	145
21010	332	11	225	96
21011	364	11	254	99
21012	347	11	237	99
21013	329	13	225	91
21014	427	14	279	134
21015	341	8	238	95
21016	355	11	223	121
21017	343	7	239	97
21018	427	8	292	127
21019	373	12	246	115
21020	331	12	233	86
21021	322	9	211	102
21022	335	17	225	93
21023	325	10	220	95
21024	340	13	225	102
21025	334	11	215	108
21026	345	12	235	98
21027	354	9	221	124
21028	425	18	294	113
21029	382	9	239	134
21030	300	12	213	75
21031	258	9	158	91
21032	340	16	222	102
21033	375	16	251	108
21034	352	8	253	91
21035	375	12	243	120
21036	378	21	266	91
21037	298	12	198	88
21038	362	10	240	112
21039	290	9	198	83
21040	310	7	209	94
21041	360	7	258	95
21042	379	10	246	123
21043	402	12	282	108
21044	337	12	220	105
21045	329	7	219	103
21046	380	16	247	117
21047	342	9	250	83
21048	325	10	207	108
21049	385	13	248	124
21050	314	14	219	81
21051	357	9	232	116
21052	377	17	248	112
21053	278	6	186	86
21054	320	11	218	91
22001	211	13	149	49
22002	308	116	118	74
22003	435	119	198	118
22004	268	69	137	62
22005	305	92	129	84
22006	291	91	136	64
22007	228	68	104	56
22008	350	90	166	94
22009	262	76	116	70
22010	413	129	189	95
22011	245	70	121	54
22012	256	66	117	73
22013	325	83	155	87
22014	243	57	126	60
22015	270	63	132	75
22016	295	92	133	70
22017	320	96	160	64
22018	287	71	144	72
22019	167	38	105	24
22020	310	101	135	74
22021	406	37	280	89
22022	282	99	125	58
22023	416	46	270	100
22024	385	121	184	80
22025	308	84	142	82
23001	259	89	60	110
23002	234	76	89	69
23003	206	80	63	63
23004	292	89	104	99
23005	318	65	132	121
23006	343	76	144	123
23007	292	72	135	85
23008	324	75	124	125
23009	281	82	123	76
23010	373	93	164	116
23011	368	65	178	125
23012	225	99	60	66
23013	253	66	119	68
23014	205	68	66	71
23015	279	49	133	97
23016	227	70	71	86
23017	222	31	118	73
23018	228	65	82	81
23019	263	60	121	82
23020	213	49	83	81
23021	239	97	59	83
23022	266	86	83	97
23023	248	79	91	78
23024	261	76	109	76
23025	261	68	115	78
23026	292	76	122	94
23027	224	71	65	88
23028	275	90	83	102
23029	218	66	72	80
23030	351	90	155	106
23031	207	53	97	57
23032	327	70	144	113
23033	328	64	141	123
23034	294	66	143	85
23035	160	43	68	49
23036	229	62	57	110
23037	200	68	67	65
23038	213	82	56	75
23039	288	61	124	103
24001	287	15	192	80
24002	323	15	240	68
24003	312	15	228	69
24004	312	10	224	78
24005	193	7	151	35
24006	335	25	235	75
24007	165	29	95	41
24008	163	3	127	33
24009	330	18	254	58
24010	188	7	145	36
24011	368	15	255	98
24012	213	12	159	42
24013	179	5	137	37
24014	309	7	229	73
24015	198	5	142	51
24016	329	62	176	91
24017	273	8	183	82
24018	351	15	253	83
24019	373	16	263	94
24020	245	10	181	54
24021	167	6	105	56
24022	426	23	291	112
24023	287	15	202	70
24024	407	10	312	85
24025	291	13	215	63
24026	410	21	273	116
24027	348	14	245	89
24028	252	7	194	51
24029	233	8	155	70
24030	179	5	121	53
24031	373	13	266	94
24032	178	10	118	50
24033	177	8	114	55
24034	291	12	212	67
24035	310	14	209	87
24036	393	26	247	120
24037	205	7	151	47
24038	247	9	157	81
24039	334	31	238	65
24040	325	9	250	66
24041	236	2	159	75
25001	313	85	147	81
25002	349	107	130	112
25003	266	76	106	84
25004	314	36	212	66
25005	348	104	148	96
25006	77	18	33	26
25007	333	101	140	92
25008	396	97	191	108
25009	377	102	188	87
25010	257	99	86	72
25011	390	115	165	110
25012	309	93	133	83
25013	369	108	148	113
25014	174	38	80	56
25015	322	85	163	74
25016	234	83	74	77
25017	355	88	176	91
25018	150	41	72	37
25019	354	82	163	109
25020	312	14	246	52
25021	370	124	128	118
25022	347	79	157	111
25023	409	118	181	110
25024	357	82	166	109
25025	252	84	85	83
25026	373	107	173	93
25027	245	83	89	73
25028	372	104	170	98
25029	292	28	209	55
25030	357	119	159	79
25031	263	104	80	79
25032	303	69	171	63
26001	240	78	93	69
26002	228	49	131	48
26003	248	105	71	72
26004	207	22	126	59
26005	247	54	117	76
26006	245	52	127	66
26007	216	65	89	62
26008	146	30	74	42
26009	236	61	108	67
26010	260	78	126	56
26011	248	62	117	69
26012	256	60	103	93
26013	194	32	109	53
26014	210	62	85	63
26015	146	37	76	33
26016	155	34	77	44
26017	164	64	47	53
26018	229	55	118	56
26019	180	20	109	51
26020	227	62	92	73
26021	324	47	172	105
26022	156	36	88	32
26023	184	53	87	44
26024	208	51	94	63
26025	197	42	89	66
26026	169	46	80	43
26027	267	81	115	71
26028	242	99	73	70
26029	151	39	65	47
26030	203	53	89	61
26031	129	29	71	29
26032	238	91	86	61
26033	248	74	103	71
26034	281	75	122	84
26035	208	43	116	49
26036	224	77	89	58
26037	291	66	130	95
26038	127	24	66	37
26039	225	68	84	73
26040	156	40	59	57
26041	270	54	145	71
26042	190	53	68	69
26043	146	42	72	32
26044	164	29	92	43
26045	121	22	68	31
26046	139	63	46	30
26047	162	29	86	47
26048	228	59	88	81
26049	164	30	89	45
27001	202	76	64	62
27002	296	66	158	72
27003	217	8	169	40
27004	201	21	114	66
27005	241	19	164	58
27006	231	33	138	60
27007	324	98	113	113
27008	302	12	220	70
27009	88	24	31	33
27010	375	21	265	89
27011	186	57	69	60
27012	140	63	45	32
27013	454	39	278	137
27014	209	12	134	63
27015	237	11	164	62
27016	177	63	69	45
27017	329	34	197	98
27018	291	12	230	49
27019	233	15	167	51
27020	316	12	236	68
27021	178	52	68	58
27022	215	9	149	57
27023	281	11	203	67
27024	275	21	188	66
27025	266	23	171	72
27026	278	21	176	81
27027	373	37	232	104
27028	141	25	73	43
27029	270	23	172	75
27030	203	11	141	51
27031	284	14	186	84
27032	266	27	163	76
27033	243	51	127	65
27034	336	11	237	88
27035	192	74	55	63
27036	242	22	113	107
27037	280	38	156	86
27038	377	69	163	145
27039	268	11	172	85
27040	311	69	162	80
27041	310	18	222	70
27042	160	17	93	50
27043	303	27	205	71
27044	304	7	216	81
27045	300	110	99	91
27046	116	51	29	36
27047	241	21	158	62
27048	365	34	259	72
27049	255	10	180	65
27050	311	13	236	62
28001	312	2	253	57
28002	292	16	225	51
28003	276	13	202	61
28004	173	55	75	43
28005	192	14	143	35
28006	138	42	60	36
28007	350	13	287	50
28008	139	41	55	43
28009	311	9	254	48
28010	308	68	162	78
28011	482	93	277	112
28012	346	6	283	57
28013	314	11	232	71
28014	305	8	242	55
28015	114	2	87	25
28016	224	9	175	40
28017	290	8	227	55
28018	235	7	166	62
28019	251	78	109	64
28020	297	16	228	53
28021	266	9	226	31
28022	258	18	201	39
28023	381	8	305	68
28024	291	10	224	57
28025	415	22	330	63
28026	355	12	288	55
28027	236	77	92	67
28028	276	106	91	79
28029	149	11	114	24
28030	54	0	42	12
28031	398	11	302	85
28032	311	16	242	53
28033	361	12	294	55
28034	579	31	449	99
28035	382	14	321	47
28036	199	5	161	33
28037	450	13	355	82
28038	173	9	143	21
28039	260	8	211	41
28040	434	14	337	83
28041	243	3	185	55
28042	363	5	286	72
28043	440	11	338	91
28044	228	4	186	38
28045	179	54	75	50
28046	410	89	217	104
29001	361	76	169	116
29002	557	22	417	118
29003	428	16	304	108
29004	434	19	330	85
29005	337	13	242	82
29006	347	11	222	114
29007	307	38	192	77
29008	336	9	257	70
29009	324	74	146	104
29010	388	99	173	116
29011	226	11	154	61
29012	438	38	292	108
29013	419	21	326	72
29014	375	16	272	87
29015	438	23	289	126
29016	411	12	329	70
29017	396	30	287	79
29018	399	18	300	81
29019	391	17	266	108
29020	465	24	328	113
29021	501	18	365	118
29022	316	25	201	90
29023	300	67	139	94
29024	353	12	253	88
29025	414	17	299	98
29026	374	20	256	98
29027	316	19	220	77
29028	469	9	364	96
29029	224	67	99	58
29030	376	81	175	120
29031	199	80	64	55
29032	211	71	72	68
29033	293	16	214	63
29034	210	24	130	56
29035	296	9	229	58
29036	323	17	221	85
29037	361	8	273	80
29038	253	73	113	67
29039	251	70	105	76
29040	435	13	302	120
29041	313	11	235	67
29042	431	7	320	104
29043	394	79	193	122
29044	488	20	322	146
30001	324	102	130	92
30002	273	94	105	74
30003	218	83	75	60
30004	270	84	119	67
30005	213	54	112	47
30006	262	78	117	67
30007	301	130	100	71
30008	325	111	128	86
30009	246	83	110	53
30010	332	96	145	91
30011	286	66	131	89
30012	240	61	107	72
30013	239	80	99	60
30014	220	52	105	63
30015	256	110	70	76
30016	150	38	67	45
30017	271	73	129	69
30018	316	91	130	95
30019	324	87	159	78
30020	270	93	106	71
30021	184	54	82	48
30022	378	106	168	104
30023	319	87	141	91
30024	298	92	122	84
30025	329	88	132	109
30026	157	41	83	33
30027	177	58	83	36
30028	299	93	120	86
30029	181	37	91	53
30030	132	35	66	31
30031	178	55	77	46
30032	215	68	80	67
31001	187	36	94	57
31002	176	37	91	48
31003	191	59	68	64
31004	282	71	127	84
31005	209	54	94	61
31006	170	30	91	49
31007	306	87	126	93
31008	147	25	75	47
31009	245	60	121	64
31010	186	42	82	62
31011	168	48	76	44
31012	176	50	75	51
31013	224	53	120	51
31014	171	37	81	53
31015	155	38	75	42
31016	259	91	108	60
31017	171	44	81	46
31018	186	46	93	47
