Precinct	total_votes	votes|Christopher E.K. Pfannkuche	votes|Kim Foxx
01001	579	82	497
01002	549	46	503
01003	675	138	537
01004	647	140	507
01005	635	133	502
01006	571	121	450
01007	409	61	348
01008	521	84	437
01009	459	60	399
01010	727	175	552
01011	656	151	505
01012	669	144	525
01013	250	38	212
01014	610	106	504
01015	527	92	435
01016	539	83	456
01017	496	48	448
01018	608	63	545
01019	721	78	643
01020	463	35	428
01021	697	149	548
01022	370	43	327
01023	784	102	682
01024	513	53	460
01025	547	90	457
01026	386	47	339
01027	596	120	476
01028	167	10	157
01029	579	106	473
01030	648	72	576
01031	581	93	488
01032	558	125	433
01033	646	145	501
01034	514	75	439
01035	717	186	531
01036	637	166	471
01037	587	148	439
01038	568	88	480
01039	495	117	378
01040	555	122	433
01041	306	39	267
01042	179	34	145
01043	384	65	319
01044	492	64	428
02001	655	142	513
02002	481	153	328
02003	713	154	559
02004	532	87	445
02005	709	164	545
02006	605	127	478
02007	587	136	451
02008	717	163	554
02009	550	223	327
02010	521	212	309
02011	622	264	358
02012	562	121	441
02013	559	191	368
02014	629	135	494
02015	565	119	446
02016	541	99	442
02017	689	140	549
02018	603	197	406
02019	427	168	259
02020	708	239	469
02021	609	126	483
02022	659	266	393
02023	429	180	249
02024	574	181	393
02025	685	152	533
02026	536	151	385
02027	585	240	345
02028	699	278	421
02029	673	262	411
02030	517	211	306
02031	762	293	469
02032	560	202	358
02033	888	323	565
02034	500	193	307
02035	807	295	512
02036	492	169	323
02037	539	192	347
02038	579	245	334
02039	424	205	219
02040	722	243	479
02041	657	251	406
02042	675	235	440
02043	852	332	520
02044	403	153	250
02045	577	163	414
02046	378	146	232
03001	692	13	679
03002	652	17	635
03003	487	49	438
03004	622	15	607
03005	424	9	415
03006	716	230	486
03007	403	10	393
03008	587	9	578
03009	580	18	562
03010	340	15	325
03011	602	9	593
03012	537	10	527
03013	685	192	493
03014	647	129	518
03015	620	19	601
03016	572	11	561
03017	725	103	622
03018	844	46	798
03019	691	249	442
03020	613	9	604
03021	650	171	479
03022	815	186	629
03023	536	18	518
03024	525	15	510
03025	971	308	663
03026	687	191	496
03027	752	224	528
03028	358	8	350
03029	672	21	651
03030	549	14	535
03031	730	20	710
03032	696	140	556
03033	733	175	558
03034	748	167	581
03035	304	10	294
03036	367	7	360
03037	531	12	519
03038	471	12	459
03039	809	216	593
03040	667	75	592
03041	466	57	409
04001	742	60	682
04002	745	189	556
04003	562	8	554
04004	796	19	777
04005	578	21	557
04006	671	32	639
04007	696	11	685
04008	664	10	654
04009	630	15	615
04010	658	25	633
04011	651	17	634
04012	656	19	637
04013	676	127	549
04014	610	21	589
04015	721	25	696
04016	876	191	685
04017	797	137	660
04018	523	18	505
04019	595	11	584
04020	521	121	400
04021	820	137	683
04022	606	41	565
04023	761	52	709
04024	556	37	519
04025	685	168	517
04026	589	19	570
04027	689	40	649
04028	555	30	525
04029	602	11	591
04030	828	22	806
04031	584	27	557
04032	644	10	634
04033	641	30	611
04034	557	12	545
04035	706	21	685
04036	652	20	632
04037	958	215	743
04038	608	17	591
05001	550	14	536
05002	494	7	487
05003	586	42	544
05004	700	35	665
05005	548	12	536
05006	485	11	474
05007	535	34	501
05008	591	59	532
05009	650	34	616
05010	522	8	514
05011	589	50	539
05012	462	8	454
05013	490	11	479
05014	454	7	447
05015	547	36	511
05016	588	12	576
05017	516	15	501
05018	541	22	519
05019	541	50	491
05020	626	35	591
05021	602	46	556
05022	620	70	550
05023	985	85	900
05024	625	45	580
05025	516	13	503
05026	611	13	598
05027	769	95	674
05028	580	21	559
05029	629	20	609
05030	470	19	451
05031	483	9	474
05032	593	13	580
05033	578	4	574
05034	707	90	617
05035	577	52	525
05036	378	10	368
05037	580	43	537
05038	562	6	556
05039	452	41	411
05040	446	10	436
05041	283	15	268
06001	499	9	490
06002	494	7	487
06003	495	10	485
06004	422	9	413
06005	386	7	379
06006	466	13	453
06007	490	12	478
06008	480	8	472
06009	549	13	536
06010	364	9	355
06011	461	7	454
06012	432	5	427
06013	365	8	357
06014	497	9	488
06015	487	12	475
06016	474	8	466
06017	413	5	408
06018	405	10	395
06019	463	7	456
06020	357	6	351
06021	342	5	337
06022	383	6	377
06023	325	9	316
06024	301	4	297
06025	327	4	323
06026	426	11	415
06027	343	12	331
06028	312	5	307
06029	495	10	485
06030	465	13	452
06031	477	10	467
06032	468	8	460
06033	490	14	476
06034	514	8	506
06035	438	7	431
06036	505	6	499
06037	469	17	452
06038	497	9	488
06039	462	10	452
06040	420	4	416
06041	498	11	487
06042	535	13	522
06043	444	6	438
06044	534	8	526
06045	542	9	533
06046	353	5	348
06047	397	7	390
06048	496	6	490
07001	476	15	461
07002	518	9	509
07003	445	11	434
07004	435	7	428
07005	415	12	403
07006	609	18	591
07007	513	14	499
07008	386	10	376
07009	758	23	735
07010	498	9	489
07011	570	9	561
07012	474	10	464
07013	290	6	284
07014	529	16	513
07015	469	7	462
07016	435	10	425
07017	419	13	406
07018	461	17	444
07019	450	15	435
07020	370	7	363
07021	405	15	390
07022	418	27	391
07023	433	4	429
07024	397	8	389
07025	463	30	433
07026	373	7	366
07027	386	8	378
07028	370	15	355
07029	397	8	389
07030	385	15	370
07031	311	13	298
07032	590	14	576
07033	533	15	518
07034	511	10	501
07035	475	15	460
07036	540	13	527
07037	479	17	462
07038	430	9	421
07039	420	12	408
07040	413	7	406
07041	442	14	428
07042	424	15	409
07043	441	8	433
07044	431	4	427
07045	503	15	488
07046	176	5	171
08001	399	9	390
08002	483	14	469
08003	481	11	470
08004	492	8	484
08005	482	3	479
08006	473	9	464
08007	532	13	519
08008	434	6	428
08009	323	5	318
08010	544	12	532
08011	431	14	417
08012	427	12	415
08013	539	11	528
08014	466	10	456
08015	484	10	474
08016	178	6	172
08017	384	7	377
08018	537	11	526
08019	491	16	475
08020	506	9	497
08021	636	5	631
08022	441	7	434
08023	437	10	427
08024	295	6	289
08025	498	15	483
08026	491	15	476
08027	502	12	490
08028	495	12	483
08029	558	16	542
08030	522	13	509
08031	381	10	371
08032	389	4	385
08033	453	10	443
08034	421	14	407
08035	479	11	468
08036	502	3	499
08037	372	8	364
08038	313	7	306
08039	490	13	477
08040	379	6	373
08041	519	8	511
08042	640	14	626
08043	270	9	261
08044	327	6	321
08045	517	11	506
08046	412	11	401
08047	402	4	398
08048	472	15	457
08049	433	5	428
08050	479	9	470
08051	508	10	498
08052	598	9	589
08053	269	7	262
08054	478	11	467
08055	364	5	359
08056	492	5	487
09001	481	7	474
09002	440	5	435
09003	454	8	446
09004	380	1	379
09005	401	3	398
09006	449	7	442
09007	369	10	359
09008	529	8	521
09009	519	8	511
09010	391	4	387
09011	372	9	363
09012	522	12	510
09013	474	9	465
09014	556	7	549
09015	559	10	549
09016	403	17	386
09017	428	8	420
09018	350	5	345
09019	431	9	422
09020	462	5	457
09021	431	10	421
09022	483	12	471
09023	489	7	482
09024	453	9	444
09025	466	8	458
09026	657	14	643
09027	436	7	429
09028	347	18	329
09029	466	11	455
09030	396	9	387
09031	392	9	383
09032	447	15	432
09033	386	8	378
09034	425	9	416
09035	438	5	433
09036	426	5	421
09037	571	98	473
09038	473	13	460
09039	502	5	497
09040	474	7	467
09041	386	6	380
09042	454	4	450
09043	475	7	468
09044	385	5	380
09045	428	11	417
09046	497	20	477
09047	482	12	470
09048	487	10	477
09049	482	4	478
09050	571	7	564
09051	450	11	439
10001	402	18	384
10002	416	180	236
10003	416	153	263
10004	412	36	376
10005	362	129	233
10006	369	69	300
10007	335	52	283
10008	384	7	377
10009	421	170	251
10010	450	141	309
10011	537	100	437
10012	310	88	222
10013	501	57	444
10014	568	156	412
10015	867	11	856
10016	361	92	269
10017	565	239	326
10018	321	23	298
10019	477	153	324
10020	449	114	335
10021	454	92	362
10022	288	44	244
10023	416	68	348
10024	463	216	247
10025	147	11	136
10026	365	48	317
10027	496	38	458
10028	502	93	409
10029	424	75	349
10030	419	52	367
10031	348	45	303
10032	426	97	329
10033	330	41	289
10034	346	29	317
10035	459	179	280
10036	105	6	99
11001	503	164	339
11002	79	16	63
11003	472	62	410
11004	448	110	338
11005	653	126	527
11006	740	199	541
11007	872	149	723
11008	459	115	344
11009	431	119	312
11010	417	121	296
11011	549	191	358
11012	649	269	380
11013	600	258	342
11014	260	100	160
11015	173	39	134
11016	356	128	228
11017	570	145	425
11018	410	137	273
11019	643	155	488
11020	342	118	224
11021	607	230	377
11022	616	190	426
11023	281	102	179
11024	551	189	362
11025	582	185	397
11026	577	188	389
11027	189	57	132
11028	246	89	157
11029	551	229	322
11030	250	98	152
11031	487	196	291
11032	247	106	141
11033	601	162	439
11034	159	64	95
11035	106	35	71
11036	220	70	150
11037	145	27	118
11038	247	35	212
12001	481	95	386
12002	387	62	325
12003	572	124	448
12004	468	105	363
12005	390	98	292
12006	445	87	358
12007	477	51	426
12008	480	100	380
12009	385	81	304
12010	522	43	479
12011	471	64	407
12012	470	76	394
12013	476	83	393
12014	420	32	388
12015	405	42	363
12016	432	48	384
12017	516	88	428
12018	406	41	365
12019	449	81	368
12020	572	74	498
12021	493	83	410
12022	437	38	399
12023	464	105	359
13001	340	110	230
13002	321	136	185
13003	317	59	258
13004	417	167	250
13005	466	83	383
13006	366	175	191
13007	327	65	262
13008	326	139	187
13009	421	98	323
13010	347	203	144
13011	410	140	270
13012	362	96	266
13013	384	60	324
13014	406	86	320
13015	604	104	500
13016	302	48	254
13017	379	136	243
13018	332	157	175
13019	491	44	447
13020	264	141	123
13021	447	216	231
13022	427	200	227
13023	349	74	275
13024	376	91	285
13025	401	104	297
13026	417	113	304
13027	375	115	260
13028	301	52	249
13029	346	91	255
13030	318	34	284
13031	414	195	219
13032	331	174	157
13033	360	164	196
13034	454	59	395
13035	358	68	290
13036	258	47	211
13037	451	72	379
13038	351	168	183
13039	406	75	331
13040	329	80	249
13041	460	65	395
13042	379	208	171
13043	403	98	305
13044	442	50	392
13045	430	142	288
13046	499	97	402
13047	464	69	395
13048	348	159	189
14001	479	264	215
14002	576	125	451
14003	495	55	440
14004	420	206	214
14005	627	60	567
14006	225	32	193
14007	554	103	451
14008	519	109	410
14009	503	205	298
14010	308	72	236
14011	282	24	258
14012	457	104	353
14013	363	50	313
14014	455	52	403
14015	518	48	470
14016	317	69	248
14017	370	56	314
14018	172	55	117
14019	452	64	388
14020	317	55	262
14021	410	59	351
14022	563	170	393
14023	348	100	248
14024	505	230	275
14025	283	42	241
14026	328	47	281
14027	448	95	353
14028	347	64	283
14029	394	43	351
14030	269	21	248
14031	261	33	228
15001	420	59	361
15002	332	4	328
15003	336	11	325
15004	425	57	368
15005	424	46	378
15006	481	87	394
15007	349	8	341
15008	403	46	357
15009	554	73	481
15010	603	99	504
15011	554	74	480
15012	538	79	459
15013	436	43	393
15014	413	48	365
15015	398	47	351
15016	461	40	421
15017	347	14	333
15018	359	5	354
15019	392	40	352
15020	304	6	298
15021	303	6	297
15022	384	7	377
15023	390	10	380
15024	374	4	370
16001	490	85	405
16002	426	13	413
16003	369	13	356
16004	399	15	384
16005	352	9	343
16006	398	5	393
16007	382	14	368
16008	294	10	284
16009	439	14	425
16010	386	11	375
16011	412	23	389
16012	365	9	356
16013	457	35	422
16014	382	14	368
16015	432	7	425
16016	384	3	381
16017	478	33	445
16018	393	26	367
16019	377	16	361
16020	357	7	350
16021	356	5	351
16022	392	7	385
16023	430	31	399
16024	241	9	232
