Precinct	total_votes	votes|Marcus Lewis	votes|Robin Kelly	votes|Dorian C.L. Myrickes	votes|Charles Rayburn
Bremen 44	300	69	207	9	15
Bremen 45	119	23	76	6	14
Bremen 47	345	32	298	6	9
Bremen 48	318	43	257	7	11
Bremen 49	363	45	301	9	8
Bremen 51	512	57	432	11	12
Bremen 56	421	62	326	14	19
Bremen 63	474	49	397	10	18
Bremen 66	341	31	297	6	7
Bremen 70	259	31	217	5	6
Bremen 71	294	30	251	6	7
Bremen 75	411	40	348	12	11
Bremen 78	380	43	322	5	10
Bremen 80	384	42	329	6	7
Calumet 4	369	93	225	21	30
Rich 1	1430	176	1167	36	51
Rich 2	451	33	399	7	12
Rich 3	536	60	440	19	17
Rich 4	400	50	328	7	15
Rich 5	540	57	464	4	15
Rich 6	608	59	515	15	19
Rich 8	658	92	512	20	34
Rich 9	570	55	491	9	15
Rich 10	316	41	244	18	13
Rich 11	363	48	289	9	17
Rich 12	468	70	375	7	16
Rich 13	230	29	176	11	14
Rich 14	307	41	242	9	15
Rich 15	763	62	669	14	18
Rich 16	291	41	233	6	11
Rich 17	339	46	264	16	13
Rich 18	459	61	374	10	14
Rich 19	195	12	168	7	8
Rich 21	545	77	442	11	15
Rich 22	374	40	293	16	25
Rich 23	596	71	484	9	32
Rich 24	425	45	349	12	19
Rich 25	640	76	538	8	18
Rich 26	481	68	384	12	17
Rich 27	507	68	405	8	26
Rich 28	388	48	322	9	9
Rich 29	311	27	259	13	12
Rich 30	663	84	548	7	24
Rich 31	262	17	224	11	10
Rich 32	532	50	451	8	23
Rich 33	243	18	212	3	10
Rich 34	407	38	343	11	15
Rich 35	319	24	284	3	8
Rich 36	911	92	761	15	43
Rich 37	367	54	289	8	16
Rich 38	402	46	334	7	15
Rich 39	449	33	391	7	18
Rich 40	422	51	349	10	12
Rich 41	301	46	235	9	11
Rich 42	423	44	354	7	18
Rich 43	497	67	403	11	16
Rich 44	386	53	321	5	7
Rich 45	553	53	467	12	21
Rich 46	677	76	569	17	15
Rich 47	711	74	589	16	32
Rich 48	491	52	417	7	15
Rich 49	334	52	263	9	10
Rich 50	140	17	92	16	15
Rich 51	412	40	347	11	14
Thornton 1	215	26	167	3	19
Thornton 2	170	35	99	10	26
Thornton 3	326	70	213	13	30
Thornton 4	504	73	393	11	27
Thornton 5	296	61	187	15	33
Thornton 6	485	80	347	14	44
Thornton 7	398	63	301	7	27
Thornton 8	402	81	272	10	39
Thornton 9	224	42	153	10	19
Thornton 10	339	75	218	20	26
Thornton 11	210	47	137	9	17
Thornton 12	272	56	177	8	31
Thornton 13	251	58	162	9	22
Thornton 14	316	69	213	14	20
Thornton 15	368	66	270	13	19
Thornton 16	274	49	177	20	28
Thornton 17	322	69	210	20	23
Thornton 18	342	67	221	15	39
Thornton 19	348	78	234	13	23
Thornton 20	123	11	95	1	16
Thornton 21	494	81	373	14	26
Thornton 22	389	56	316	7	10
Thornton 23	311	43	239	11	18
Thornton 24	307	28	241	16	22
Thornton 25	269	17	222	12	18
Thornton 26	304	47	232	12	13
Thornton 27	558	81	445	10	22
Thornton 28	346	70	240	13	23
Thornton 29	246	38	197	3	8
Thornton 30	248	42	178	12	16
Thornton 32	272	62	194	5	11
Thornton 33	390	63	281	18	28
Thornton 34	552	85	426	18	23
Thornton 35	498	75	285	12	126
Thornton 36	205	48	137	3	17
Thornton 37	315	53	235	9	18
Thornton 38	491	60	377	15	39
Thornton 39	285	44	213	10	18
Thornton 40	300	55	225	6	14
Thornton 41	245	43	173	10	19
Thornton 42	268	46	206	3	13
Thornton 43	180	28	124	14	14
Thornton 44	280	50	201	13	16
Thornton 45	339	38	274	8	19
Thornton 46	459	81	336	16	26
Thornton 47	193	39	130	8	16
Thornton 48	336	57	244	12	23
Thornton 49	201	43	137	9	12
Thornton 50	214	44	144	11	15
Thornton 51	177	49	98	13	17
Thornton 52	398	67	311	8	12
Thornton 53	246	39	177	9	21
Thornton 54	521	76	397	13	35
Thornton 55	283	44	212	4	23
Thornton 56	312	78	199	13	22
Thornton 57	144	30	100	6	8
Thornton 58	370	71	251	13	35
Thornton 59	289	54	210	15	10
Thornton 60	249	35	192	7	15
Thornton 61	226	44	158	6	18
Thornton 62	93	25	52	6	10
Thornton 63	185	40	112	12	21
Thornton 64	374	53	294	7	20
Thornton 65	300	53	198	16	33
Thornton 66	556	81	426	16	33
Thornton 67	333	45	246	12	30
Thornton 68	273	51	179	13	30
Thornton 69	317	38	260	4	15
Thornton 70	237	41	177	8	11
Thornton 71	241	37	184	9	11
Thornton 72	376	52	300	7	17
Thornton 73	530	83	393	12	42
Thornton 74	389	69	280	3	37
Thornton 75	396	67	308	5	16
Thornton 76	417	58	320	15	24
Thornton 77	591	94	430	25	42
Thornton 78	430	87	280	21	42
Thornton 79	433	61	319	16	37
Thornton 80	339	47	259	10	23
Thornton 81	335	54	251	11	19
Thornton 82	187	27	134	7	19
Thornton 83	540	88	403	13	36
Thornton 84	500	83	368	15	34
Thornton 85	352	65	240	19	28
Thornton 86	319	46	253	3	17
Thornton 87	544	103	381	24	36
Thornton 88	396	53	318	8	17
Thornton 89	527	72	415	8	32
Thornton 90	409	63	311	14	21
Thornton 91	352	46	280	10	16
Thornton 92	395	55	307	7	26
Thornton 93	278	33	218	12	15
Thornton 94	437	82	301	12	42
Thornton 95	310	56	229	11	14
Thornton 96	328	63	240	11	14
Thornton 98	127	17	93	8	9
Thornton 99	314	53	214	20	27
Thornton 100	226	39	165	9	13
Thornton 101	388	72	262	15	39
Thornton 102	251	64	155	11	21
Thornton 103	253	38	193	8	14
Thornton 104	187	30	135	6	16
Thornton 105	379	53	292	8	26
Thornton 106	323	55	237	12	19
Thornton 107	541	51	463	8	19
Thornton 108	229	39	166	11	13
Thornton 109	311	44	241	17	9
Thornton 110	300	68	205	9	18
Thornton 111	316	56	226	10	24
Thornton 112	196	47	123	12	14
Thornton 113	206	40	150	6	10
Thornton 114	263	56	170	11	26
Thornton 115	372	54	289	5	24
Thornton 116	427	76	301	21	29
Thornton 117	337	50	246	15	26
Thornton 118	322	44	252	9	17
Thornton 119	401	82	276	15	28
Thornton 120	584	110	406	17	51
Thornton 121	359	58	261	18	22
Thornton 122	487	63	387	8	29
Thornton 123	267	46	199	7	15
