Precinct	total_votes	votes|Debbie Meyers-Martin (Biden)	votes|Vernard Alsberry (Biden)	votes|Michael W. Smith (Biden)	votes|Sheila Chalmers-Currin (Biden)	votes|Lamar C. Brown (Biden)	votes|Marrice Coverson (Biden)	votes|Cory Thames (Biden)	votes|André J. Washington (Warren)	votes|Hope Zawaski (Warren)	votes|Al Riley (Warren)	votes|Cleopatra Watson (Warren)	votes|Jaylin McClinton (Warren)	votes|Amanda Jo Greep (Warren)	votes|David Bonner (Warren)	votes|Aisha El-Amin (Sanders)	votes|Maureen Forte (Sanders)	votes|Sukari Campbell (Sanders)	votes|Abdul Malik Mujahid (Sanders)	votes|John Willard (Sanders)	votes|Kenneth Franklin (Sanders)	votes|Lyle C. Evans, Jr. (Sanders)	votes|Kenneth Henderson (Yang)	votes|Sanovia Reynolds-Parks (Yang)	votes|Juan Juarez (Yang)	votes|Paula Wilson (Yang)	votes|Reggie Greenwood (Yang)	votes|Monique Williams (Yang)	votes|Kyle Summers (Yang)	votes|Emily Higgs (Buttigieg)	votes|Randall Krause-Vinson (Buttigieg)	votes|Sherry Newquist (Buttigieg)	votes|Alfred Saucedo (Buttigieg)	votes|Micaela G. Smith (Klobuchar)	votes|Kristal Hudson-Davis (Klobuchar)
Bloom 2	1791	161	141	145	151	138	130	136	22	36	21	23	13	18	9	81	85	80	91	85	88	80	6	3	7	2	4	6	5	6	2	5	5	2	4
Bloom 3	1020	106	91	100	96	98	96	92	10	8	9	15	8	3	2	27	24	25	38	40	42	35	5	5	6	5	2	6	7	2	1	5	2	4	5
Bloom 4	1090	118	109	114	113	108	101	103	8	6	7	6	5	2	5	31	32	29	31	33	41	34	5	3	6	9	2	10	3	2	1	5	1	3	4
Bloom 5	916	92	83	90	87	84	80	82	7	8	4	9	6	2	2	33	32	34	37	35	36	36	3	3	4	3	2	4	2	4	2	3	3	2	2
Bloom 6	538	61	45	58	51	56	47	53	9	7	6	7	4	3	6	8	8	8	15	16	17	15	5	3	2	3	4	6	4	3	0	3	0	0	5
Bloom 7	1429	158	138	146	145	144	136	135	13	13	8	13	8	9	9	36	37	32	49	50	51	46	2	2	7	3	2	5	2	4	6	6	2	6	6
Bloom 8	1080	98	92	94	99	92	93	91	6	7	5	10	5	8	2	41	43	44	54	52	54	51	3	3	5	3	0	1	5	5	2	4	3	1	4
Bloom 9	1060	92	87	90	92	86	92	85	5	6	4	4	6	4	4	42	48	42	53	52	56	52	4	2	10	4	1	3	2	10	2	6	7	3	4
Bloom 10	517	58	50	57	54	54	50	46	8	3	6	4	2	1	1	16	15	8	11	16	22	12	0	3	2	4	4	3	3	0	0	1	0	2	1
Bloom 11	789	86	76	75	72	81	73	71	6	7	5	5	7	4	3	25	30	25	28	29	29	27	1	1	6	2	1	0	1	4	0	4	0	2	3
Bloom 12	1511	165	155	157	154	152	149	147	12	11	11	12	11	8	12	42	42	45	45	48	51	46	2	3	0	3	2	8	2	3	2	4	2	1	4
Bloom 13	2929	339	317	311	331	312	303	304	20	17	24	24	11	11	15	72	67	65	78	72	84	75	4	10	5	7	5	9	6	3	4	5	6	6	7
Bloom 14	2071	217	200	201	199	207	197	190	10	13	13	17	8	6	2	64	71	71	89	78	81	73	6	6	11	7	3	7	4	5	4	1	1	3	6
Bloom 15	922	90	76	81	80	78	71	70	3	12	3	5	4	11	1	41	44	34	37	32	43	36	5	3	7	7	1	5	6	10	2	5	6	6	7
Bloom 16	1645	206	178	191	183	184	175	180	9	9	9	10	5	5	9	32	35	35	39	37	40	35	3	3	4	1	2	4	1	4	4	4	5	3	1
Bloom 17	1345	163	141	148	156	143	136	139	10	6	12	12	9	2	4	31	30	28	36	28	38	33	4	2	5	7	3	6	3	0	0	3	0	3	4
Bloom 18	1400	150	136	138	142	133	136	135	5	9	5	9	8	5	9	39	51	39	44	48	44	43	6	4	11	6	8	5	4	9	3	5	6	2	3
Bloom 19	1932	208	190	197	193	190	181	187	13	8	13	12	6	8	4	63	66	56	71	72	71	62	6	2	6	4	8	7	3	8	2	5	4	5	1
Bloom 20	1612	130	121	120	125	112	110	112	10	18	12	14	13	16	13	98	99	92	94	92	93	85	1	1	3	3	3	4	2	4	3	4	4	0	1
Bloom 21	287	30	28	28	29	31	26	26	4	0	4	1	4	1	1	6	9	4	9	9	14	8	1	0	3	2	1	3	1	1	1	2	0	0	0
Bloom 22	993	105	92	96	99	97	90	93	4	6	5	6	3	4	8	38	38	35	36	32	37	34	2	2	3	2	2	4	2	4	3	2	2	4	3
Bloom 23	1208	132	119	126	126	123	120	122	9	3	6	5	4	4	3	34	35	36	38	37	40	39	5	4	3	6	8	8	3	2	1	2	1	2	2
Bloom 24	2452	260	240	251	257	245	240	249	24	12	13	16	13	6	11	70	70	73	84	86	87	79	10	6	8	5	3	9	7	2	2	4	3	4	3
Bloom 25	839	91	81	85	85	84	81	76	10	5	6	10	6	4	9	30	24	22	23	28	24	23	1	2	6	2	2	3	2	3	2	0	3	4	2
Bloom 26	719	80	73	76	73	76	68	60	7	1	3	4	5	3	2	17	20	18	25	26	28	25	2	5	4	1	1	1	1	4	3	4	2	1	0
Bloom 27	1162	122	102	115	110	104	100	106	6	6	5	9	8	4	1	44	54	47	42	42	45	45	7	4	5	3	5	5	2	3	1	2	1	4	3
Bloom 28	1280	130	111	113	114	109	109	112	11	6	15	14	5	5	4	59	58	54	50	48	54	49	3	5	4	3	3	9	2	6	2	4	1	5	3
Bloom 29	604	72	61	60	62	65	58	58	7	5	7	4	5	3	2	16	15	12	17	14	17	19	0	3	4	3	0	5	2	3	1	2	0	0	2
Bloom 30	2642	256	235	241	242	232	228	227	30	28	29	23	15	17	10	93	104	98	112	115	121	111	4	5	7	7	5	9	1	12	2	7	2	7	7
Bloom 31	1209	101	101	102	96	101	92	92	7	11	14	8	7	6	6	53	52	49	58	61	63	58	6	5	7	5	5	9	4	6	4	7	4	4	5
Bloom 32	1035	113	109	113	107	111	105	109	7	5	5	10	4	5	2	28	24	27	31	33	32	30	3	0	4	2	2	2	1	4	1	4	2	0	0
Bloom 33	1859	194	179	187	186	186	175	177	14	11	13	15	12	7	7	61	60	58	69	66	69	67	4	3	9	7	6	9	2	1	1	0	1	3	0
Bloom 34	1133	122	115	113	117	105	102	102	6	5	8	11	4	4	3	38	36	32	43	38	48	46	2	4	3	1	3	5	1	3	0	1	1	5	6
Bloom 35	585	45	33	38	34	37	29	31	6	7	7	4	3	2	2	33	36	35	44	42	46	47	4	3	4	0	1	2	2	3	0	2	1	1	1
Bloom 36	2643	307	286	293	292	290	290	283	23	11	20	25	20	11	5	55	53	46	61	64	66	60	4	12	7	9	6	16	5	4	3	3	4	4	5
Bloom 37	1354	160	150	154	152	152	151	146	9	2	9	12	5	2	2	31	29	28	35	35	37	31	1	3	3	2	2	2	1	1	0	2	2	2	1
Bloom 38	4679	572	535	561	550	547	511	535	35	21	20	28	16	9	14	72	78	70	98	100	106	97	11	3	11	12	12	17	6	5	1	9	5	7	5
Bloom 39	944	95	83	85	86	81	77	78	13	10	11	11	7	3	1	30	31	28	42	44	45	42	5	7	4	7	2	5	3	2	1	1	3	0	1
Bloom 40	1389	149	134	136	141	132	123	120	16	13	7	11	5	5	6	46	48	45	54	53	58	50	4	2	6	5	2	3	1	4	0	3	2	2	3
Bloom 41	2632	300	275	286	289	281	276	275	16	7	10	17	10	5	4	73	66	60	82	69	80	75	10	4	10	11	8	8	6	7	1	3	1	3	4
Bloom 42	1822	214	209	209	212	199	198	197	12	13	14	18	10	7	3	34	30	31	44	39	38	37	4	2	4	7	4	4	1	6	3	4	3	5	7
Bloom 43	1987	235	219	227	228	223	212	230	12	4	9	8	5	4	3	40	36	35	55	50	59	46	7	2	5	8	3	9	2	4	3	1	1	2	0
Bloom 44	1759	196	171	185	180	170	178	171	16	12	15	19	7	6	9	45	47	43	59	58	57	52	8	3	7	10	3	6	6	7	2	2	1	3	5
Bloom 45	2778	303	277	287	290	297	269	270	21	14	14	22	16	7	12	81	80	73	92	83	88	77	9	8	13	15	7	15	8	4	4	3	4	7	8
Bloom 46	588	42	34	37	35	35	33	34	8	7	5	4	4	3	3	31	31	33	46	42	45	40	4	3	8	1	1	2	4	1	2	1	4	1	4
Bloom 47	2218	192	170	172	182	173	166	169	22	27	16	26	13	20	12	109	107	101	119	116	116	112	2	9	6	7	5	7	3	8	6	7	3	8	7
Bloom 48	1519	163	150	152	165	163	154	153	16	9	10	9	7	5	3	40	42	38	53	40	47	41	5	5	6	6	3	7	3	9	3	2	2	3	5
Bloom 49	2219	281	252	264	260	259	253	262	20	7	20	23	11	4	6	33	36	28	40	41	42	39	3	1	3	4	6	5	2	5	0	4	2	1	2
Bloom 50	1747	193	178	185	186	183	178	183	6	2	14	7	6	6	4	55	50	50	56	58	58	57	3	2	4	4	1	7	1	3	1	1	2	0	3
Bloom 51	673	78	57	65	64	62	61	61	8	3	5	7	3	2	3	21	19	20	24	20	22	19	5	5	6	5	6	7	5	3	2	1	2	1	1
Bloom 52	1109	131	115	123	118	120	113	111	15	3	9	12	10	2	4	23	26	24	29	28	33	29	5	2	5	3	3	5	4	1	0	0	1	1	1
Bloom 53	643	62	59	62	60	62	58	62	4	4	7	6	3	3	3	20	20	18	28	31	28	28	1	1	1	3	0	3	3	1	0	0	1	0	1
Bloom 54	1129	111	103	105	107	103	99	100	7	9	9	6	9	6	10	36	33	35	39	42	40	38	4	2	10	7	6	10	6	8	3	8	6	3	9
Bloom 55	1152	124	109	113	121	113	108	106	9	3	5	9	6	2	3	35	37	36	45	44	42	42	3	2	1	4	2	3	5	5	3	4	2	3	3
Bloom 56	1034	100	86	88	92	83	82	80	9	12	9	9	7	3	1	45	44	38	53	52	54	49	6	7	3	3	3	4	1	1	0	2	4	3	1
Bloom 57	1304	132	120	127	121	121	122	122	13	6	8	5	10	6	4	41	48	40	48	53	51	51	3	2	5	5	4	7	2	6	3	7	2	3	6
Bloom 58	1320	156	145	148	146	144	142	137	7	6	10	12	12	5	5	31	29	28	37	29	36	29	4	1	3	3	1	1	1	4	1	3	1	1	2
Bloom 59	1182	114	100	110	106	104	99	98	10	6	17	8	4	5	3	44	48	43	52	53	59	57	5	5	3	5	3	6	4	2	1	3	2	0	3
Bloom 60	1640	198	186	189	192	194	183	184	12	3	9	15	8	2	2	32	27	24	37	34	33	31	3	6	4	3	5	6	3	5	2	0	4	0	4
Bloom 61	964	94	81	85	87	84	78	82	8	10	12	10	7	7	3	37	36	32	39	37	38	35	4	6	10	7	5	5	4	6	2	5	4	2	2
Bremen 3	7	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bremen 7	982	112	103	111	107	100	100	98	5	8	7	6	5	2	1	19	26	22	25	29	30	25	3	1	4	4	2	5	1	4	1	3	4	5	4
Bremen 8	1049	125	113	116	114	115	108	120	7	6	10	7	8	3	4	23	22	17	28	24	27	25	1	1	4	2	4	7	1	1	2	0	1	3	0
Bremen 26	1835	215	198	198	203	193	191	192	14	12	20	13	7	5	8	45	46	42	47	48	54	46	4	1	5	4	1	6	1	2	1	4	2	3	4
Bremen 29	2628	314	285	297	291	286	275	279	21	16	25	12	14	4	7	56	52	54	71	59	68	57	11	8	9	15	7	12	7	4	1	2	0	5	4
Bremen 31	1457	168	172	165	164	162	154	159	14	8	18	13	3	1	2	26	29	25	36	36	40	31	1	1	6	3	4	2	1	3	2	3	2	1	2
Bremen 32	1602	177	174	166	173	161	159	163	13	8	21	14	6	4	7	41	37	38	50	47	48	47	5	3	3	6	5	9	2	4	1	1	1	5	3
Bremen 35	969	108	101	98	100	98	94	92	4	6	10	1	0	1	2	30	30	32	32	32	35	33	3	3	1	2	4	4	3	3	0	1	1	2	3
Bremen 38	1042	125	120	120	121	122	115	113	9	1	9	8	5	0	1	19	19	15	21	23	29	24	2	2	2	3	0	3	1	2	1	1	2	2	2
Bremen 39	827	101	90	92	89	88	84	84	6	5	10	11	6	2	1	16	13	13	22	23	20	21	4	1	4	6	5	4	1	2	1	0	1	1	0
Bremen 40	2099	251	230	238	236	233	216	226	10	11	17	12	9	1	6	48	45	47	55	50	55	55	4	5	6	2	3	7	3	8	2	3	0	3	2
Bremen 44	1386	163	143	148	150	151	141	136	12	9	17	10	7	4	4	29	28	24	35	35	41	37	6	3	8	3	5	11	4	4	4	2	6	1	5
Bremen 45	298	25	21	25	23	24	23	23	3	3	5	4	3	1	4	14	14	14	16	15	19	14	1	0	1	0	1	2	0	0	0	0	0	0	0
Bremen 47	1450	171	158	156	158	155	148	151	10	11	19	17	11	1	4	32	31	30	44	37	41	39	2	1	3	4	4	6	1	1	1	0	0	1	2
Bremen 48	1413	160	142	146	147	146	136	141	10	1	15	13	6	0	4	36	37	36	46	45	46	45	1	3	8	8	4	9	3	5	3	2	3	0	6
Bremen 49	1798	220	221	205	202	205	191	187	12	7	18	10	7	3	3	37	37	28	40	39	47	40	5	5	2	5	6	6	1	2	2	2	0	1	2
Bremen 51	2115	238	249	212	229	219	204	205	15	12	23	18	8	5	9	50	47	43	60	65	64	61	7	7	9	7	6	12	6	5	2	5	3	3	7
Bremen 56	1845	217	198	209	204	207	193	193	15	5	15	12	8	1	5	44	39	40	47	49	49	48	6	4	6	6	3	9	4	3	0	2	0	1	3
Bremen 63	1837	216	206	197	191	195	190	190	12	12	26	16	14	4	5	44	43	37	48	44	46	43	6	6	4	8	6	9	6	3	2	1	1	2	4
Bremen 66	1762	219	220	206	209	208	197	203	13	8	20	12	9	4	9	18	19	19	30	31	35	29	5	4	3	8	2	10	3	5	0	0	1	1	2
Bremen 70	1143	136	124	123	130	129	120	116	7	7	6	8	3	4	5	25	24	25	33	22	25	27	3	3	4	5	7	2	4	3	1	4	2	2	4
Bremen 71	1291	150	156	141	131	132	129	126	14	5	17	7	9	6	4	37	28	27	29	30	38	30	4	5	6	3	2	8	1	1	4	0	2	5	4
Bremen 75	2006	213	206	202	205	201	191	192	12	10	14	11	7	6	11	70	72	61	68	65	72	66	8	5	2	1	7	7	0	4	3	3	3	4	4
Bremen 78	1470	180	187	165	164	161	155	154	10	6	10	11	4	6	5	28	30	27	29	33	34	32	4	3	5	4	2	9	2	3	1	1	1	2	2
Bremen 80	1778	221	208	211	210	202	200	198	9	5	11	8	5	3	3	36	35	34	39	38	42	38	4	4	2	3	1	3	3	1	0	0	0	1	0
Calumet 4	1143	131	118	127	119	120	114	111	7	5	8	9	7	4	5	32	37	27	30	33	37	29	0	3	1	3	2	10	1	3	0	5	0	1	4
Rich 1	7915	985	921	939	986	917	898	906	41	20	87	43	32	6	12	136	128	120	151	149	163	141	13	15	10	19	12	24	6	9	5	4	5	6	6
Rich 2	2531	306	287	288	297	287	278	274	17	12	37	19	18	8	9	42	50	42	56	49	56	51	5	6	7	2	4	6	1	3	1	2	3	3	5
Rich 3	3603	415	393	388	401	389	377	367	26	23	41	24	14	7	9	89	92	88	103	93	91	91	8	3	7	8	8	13	7	9	2	2	2	5	8
Rich 4	1512	183	164	168	165	167	164	163	8	5	16	10	6	4	5	29	31	30	38	38	41	37	5	3	6	2	5	3	4	2	1	5	1	2	1
Rich 5	3268	396	347	355	364	366	337	348	23	13	54	31	17	9	12	76	72	64	75	75	81	75	6	5	8	6	10	15	7	6	0	2	2	5	6
Rich 6	3249	378	351	357	359	357	337	337	15	11	22	21	11	7	11	78	84	75	96	88	95	90	6	3	10	7	7	11	5	5	4	1	2	4	4
Rich 8	2192	250	228	230	232	236	222	224	12	10	23	14	15	4	6	56	57	51	63	70	66	65	4	2	7	9	6	14	5	6	2	0	1	1	1
Rich 9	2922	337	309	317	315	309	299	301	22	9	35	22	15	4	11	78	71	61	81	75	99	80	5	2	5	5	7	14	9	5	4	6	3	4	3
Rich 10	1597	186	172	173	174	171	163	167	15	9	19	7	6	6	4	46	42	35	42	39	42	37	7	4	5	4	3	4	1	3	0	2	2	2	5
Rich 11	1721	171	159	162	161	156	147	149	13	13	12	13	10	12	5	72	71	61	64	69	74	70	4	3	9	4	6	5	4	7	3	5	1	2	4
Rich 12	2279	259	236	236	250	235	223	240	20	10	36	20	13	5	5	57	63	51	67	60	64	62	7	6	6	5	9	11	5	6	1	2	0	2	7
Rich 13	813	88	80	80	91	82	76	77	9	8	10	6	2	2	4	18	23	21	31	32	30	26	0	0	2	3	3	2	1	0	1	2	0	1	2
Rich 14	1433	158	138	147	149	139	137	141	8	12	12	11	5	6	5	43	49	45	49	51	51	45	3	3	3	1	2	4	2	1	1	1	2	4	5
Rich 15	4181	497	498	482	477	479	463	461	29	19	50	30	16	6	11	84	82	73	92	82	90	85	7	6	6	9	8	14	2	4	2	4	2	5	6
Rich 16	1138	118	104	119	109	109	104	103	14	11	13	8	8	2	5	40	39	36	42	41	41	40	2	3	4	2	3	1	3	3	2	3	2	1	3
Rich 17	1420	140	123	128	126	123	118	116	9	8	14	20	8	8	11	67	59	58	61	61	62	56	5	1	6	6	2	4	0	3	3	4	3	3	4
Rich 18	2274	276	247	254	258	253	244	240	14	7	25	13	5	4	6	49	50	48	61	60	63	57	4	5	5	4	1	9	1	3	2	2	1	3	0
Rich 19	968	117	111	109	112	108	104	103	5	9	9	3	2	1	4	18	19	18	17	20	18	19	2	3	3	5	3	6	3	7	1	1	1	6	1
Rich 21	2359	274	262	265	265	257	251	251	11	14	22	14	11	3	4	46	46	45	59	65	69	61	7	6	14	8	4	5	2	6	3	2	2	2	3
Rich 22	1718	182	166	162	173	158	151	155	12	7	12	11	10	3	3	66	66	61	69	66	68	64	5	4	2	7	7	7	4	3	2	3	2	3	4
Rich 23	3064	352	329	338	332	323	305	313	22	16	36	17	13	7	4	80	79	76	97	94	96	84	5	2	2	6	3	9	4	7	1	3	3	2	4
Rich 24	2253	249	227	228	236	226	216	225	15	17	23	9	8	6	9	70	72	68	75	73	76	69	6	6	4	4	4	15	4	6	0	3	1	2	1
Rich 25	3059	340	310	316	332	304	289	298	29	12	48	19	15	7	11	91	83	86	94	99	103	93	8	6	5	11	4	12	5	6	7	2	6	2	6
Rich 26	2476	290	262	271	282	265	259	252	15	12	21	18	8	6	10	57	64	55	68	63	75	61	5	7	7	7	3	8	3	6	3	3	3	3	4
Rich 27	2470	287	271	274	279	262	256	257	19	8	18	18	12	5	6	61	61	52	69	61	69	66	5	8	2	7	3	9	3	6	1	4	1	3	7
Rich 28	2015	246	225	225	238	229	222	228	9	3	26	9	8	2	10	40	37	37	43	41	48	43	3	4	4	8	4	6	1	4	2	3	3	1	3
Rich 29	2199	215	202	205	210	201	196	191	14	31	21	20	21	14	14	76	75	73	77	77	76	71	6	9	13	16	10	13	7	11	7	7	5	7	8
Rich 30	3081	378	334	347	361	336	323	322	27	17	40	24	17	13	17	67	61	51	67	62	63	54	10	10	7	16	7	16	6	8	2	2	2	6	8
Rich 31	1719	171	167	165	168	165	159	156	14	16	14	17	9	12	6	61	55	60	64	62	58	60	4	5	8	8	4	8	1	4	2	1	1	6	8
Rich 32	2681	307	280	288	298	283	270	277	17	8	27	17	8	2	6	74	80	71	76	73	80	74	5	4	12	2	6	13	3	5	2	2	6	1	4
Rich 33	1638	184	173	172	180	173	161	169	11	11	19	11	10	7	3	45	45	39	44	41	44	39	5	4	6	5	6	4	5	3	3	3	2	3	8
Rich 34	2264	255	243	249	250	237	238	235	12	7	18	19	7	1	9	58	54	56	70	67	67	68	5	4	5	7	3	2	1	3	0	2	2	4	6
Rich 35	2151	256	238	237	248	236	226	233	19	13	34	14	8	7	10	41	38	41	41	42	47	45	4	4	7	5	3	10	4	7	7	7	5	6	8
Rich 36	5811	707	652	665	683	645	623	631	46	19	66	35	34	8	16	118	114	102	145	137	141	125	7	6	14	11	6	19	5	12	1	2	5	5	6
Rich 37	1957	240	226	229	234	228	222	221	10	10	16	13	10	6	5	33	30	34	37	39	43	35	4	3	4	5	3	6	2	3	0	1	0	4	1
Rich 38	1834	226	199	207	209	201	195	195	7	9	16	15	3	1	7	44	41	36	41	42	52	43	8	6	4	3	4	3	5	4	1	2	1	1	3
Rich 39	2397	309	283	284	283	273	267	272	25	19	46	17	20	13	17	31	31	31	30	32	33	31	3	3	2	10	4	6	4	4	1	3	2	3	5
Rich 40	2114	247	227	236	223	226	216	220	12	5	27	14	10	6	7	45	47	44	61	54	61	57	6	9	8	12	5	8	5	6	2	1	1	2	4
Rich 41	1677	178	169	169	169	172	166	159	23	12	19	11	8	4	5	53	46	46	60	51	60	55	5	4	5	1	2	7	0	6	3	2	3	2	2
Rich 42	2111	259	240	246	245	240	240	243	11	9	19	11	7	4	6	42	38	35	46	43	50	38	2	3	4	4	2	10	5	2	0	2	0	3	2
Rich 43	1612	189	171	176	176	177	172	173	11	10	16	17	7	4	10	34	30	35	38	38	39	43	7	3	4	6	3	5	7	1	1	1	2	4	2
Rich 44	1827	214	205	207	212	208	200	209	11	2	18	11	9	5	5	37	38	33	43	43	43	38	4	3	6	3	3	5	3	1	0	1	1	2	4
Rich 45	3278	370	352	358	361	357	344	338	22	18	29	18	14	12	7	84	80	78	87	84	87	84	12	8	7	9	9	15	4	7	2	4	4	7	6
Rich 46	3180	392	364	366	370	366	355	353	15	9	22	23	10	6	9	59	61	55	69	66	71	64	8	9	9	10	9	10	8	3	0	3	1	2	3
Rich 47	3585	463	434	433	427	417	408	404	17	9	43	19	13	5	9	53	55	55	66	65	67	60	10	6	8	4	4	9	3	6	1	2	3	2	5
Rich 48	2417	288	262	270	281	261	253	263	19	5	36	13	9	5	6	58	58	47	57	55	60	53	6	5	9	5	3	8	3	5	2	1	4	3	4
Rich 49	1691	174	167	165	174	161	155	156	14	3	12	13	6	2	7	48	54	49	73	68	65	60	4	7	8	6	7	7	3	6	2	3	3	4	5
Rich 50	642	53	48	50	50	48	44	46	9	6	5	2	2	4	6	29	34	28	33	35	40	34	2	2	4	3	2	6	3	4	2	3	3	1	1
Rich 51	1806	203	178	186	180	184	175	172	11	9	22	10	10	5	7	54	53	50	58	62	60	56	5	8	4	9	7	11	4	2	0	2	0	4	5
Thornton 1	1022	111	100	101	105	100	96	97	12	5	5	13	13	6	4	26	28	24	41	38	39	32	1	3	3	5	1	5	0	4	0	1	0	1	2
Thornton 2	675	72	67	68	66	71	62	63	6	5	3	5	0	1	3	16	20	16	26	30	30	26	1	3	2	2	1	2	1	2	0	0	1	3	1
Thornton 3	1446	161	147	153	150	142	142	140	12	10	8	11	8	4	5	37	37	33	43	48	50	44	3	4	11	4	2	11	3	4	2	4	6	3	4
Thornton 4	1918	226	197	206	210	207	193	201	16	6	17	15	8	1	4	47	45	47	56	50	54	48	5	4	4	6	6	9	8	5	3	2	2	4	6
Thornton 5	1021	95	93	94	93	92	89	82	6	5	8	11	5	4	3	32	32	35	52	50	53	46	2	2	7	1	2	4	4	2	2	4	6	4	1
Thornton 6	2253	278	242	258	246	252	238	246	15	9	12	16	7	5	2	47	44	47	57	62	58	54	4	6	10	7	3	10	3	3	1	3	3	3	2
Thornton 7	1937	244	230	232	232	225	221	215	20	6	14	10	6	6	4	23	26	19	37	35	39	35	6	3	8	6	8	7	4	3	0	5	3	1	4
Thornton 8	1434	175	147	154	151	148	144	139	12	10	8	19	9	7	5	35	31	34	42	36	39	39	3	4	7	5	7	9	5	1	0	4	0	3	2
Thornton 9	967	113	106	106	101	103	100	105	12	4	6	7	1	2	1	18	20	19	25	23	26	25	4	5	8	6	7	3	2	4	0	1	1	2	1
Thornton 10	1335	143	128	134	131	132	125	124	6	10	10	10	9	5	5	49	44	42	42	46	46	41	4	5	10	3	6	3	5	4	1	0	4	5	3
Thornton 11	802	81	70	77	76	75	69	68	8	4	6	7	6	3	3	31	29	25	36	32	33	31	4	1	5	5	3	3	3	3	0	0	0	1	4
Thornton 12	1162	132	119	125	118	112	114	116	15	13	10	9	10	5	9	26	24	25	33	33	36	34	3	0	9	3	5	5	3	3	1	3	4	1	4
Thornton 13	1515	160	147	147	154	140	138	146	14	15	9	13	8	5	5	37	41	40	63	57	62	59	4	3	6	5	4	6	2	5	2	2	2	6	8
Thornton 14	1593	166	148	162	158	155	151	158	16	14	16	15	10	6	5	43	45	44	59	52	57	54	6	5	7	3	7	7	0	5	2	3	3	8	3
Thornton 15	1318	158	144	141	140	137	131	131	14	8	7	8	8	4	7	26	33	29	40	40	41	34	3	4	4	1	10	3	3	6	0	1	1	0	1
Thornton 16	1289	129	117	123	122	124	118	120	11	7	6	10	3	3	5	42	40	43	51	51	56	50	8	5	11	7	3	10	3	3	2	1	2	1	2
Thornton 17	1739	173	163	168	172	164	155	158	13	13	8	13	7	4	4	62	61	58	67	70	68	68	4	9	7	8	2	7	1	8	4	5	5	5	5
Thornton 18	1638	168	152	163	157	156	153	154	5	10	7	6	1	4	3	56	61	58	64	65	64	64	7	8	13	7	5	5	5	7	1	2	2	3	2
Thornton 19	1683	195	184	188	185	185	174	180	9	8	4	8	2	2	2	39	46	44	49	49	52	49	1	3	5	2	1	3	2	3	1	1	2	3	2
Thornton 20	859	89	82	84	86	80	79	73	5	5	4	5	6	5	1	28	31	28	39	34	38	38	0	0	3	2	1	2	1	1	1	1	2	2	3
Thornton 21	2608	301	276	288	282	281	270	272	30	14	20	18	16	6	5	50	51	48	68	67	74	68	10	5	6	11	11	14	7	10	5	3	2	9	10
Thornton 22	1386	169	160	160	159	155	152	152	13	10	8	11	5	3	5	24	24	22	30	29	33	31	3	1	4	2	2	8	2	1	4	1	0	1	2
Thornton 23	1589	169	149	157	160	151	144	148	12	11	8	11	4	7	3	55	52	50	68	59	62	61	5	5	4	7	7	5	1	7	1	3	2	1	0
Thornton 24	2003	166	150	152	153	147	147	143	22	40	18	27	18	32	17	99	94	93	102	103	103	96	6	7	9	5	4	5	5	5	5	6	7	8	9
Thornton 25	1566	136	126	128	128	124	124	119	10	14	13	9	7	9	6	73	69	72	87	81	77	76	4	7	7	4	4	3	5	8	7	5	7	10	7
Thornton 26	1306	148	142	139	143	138	137	132	3	4	7	6	4	6	3	33	39	31	44	38	40	34	4	3	3	7	3	2	4	2	0	1	1	3	2
Thornton 27	2681	317	296	305	299	299	283	292	25	12	14	19	8	5	10	61	58	49	60	59	73	63	7	6	5	9	8	13	6	3	2	4	4	2	5
Thornton 28	1088	118	112	109	106	110	105	106	10	10	8	6	7	5	7	36	31	26	38	37	32	37	4	2	4	0	2	3	2	3	0	0	4	3	5
Thornton 29	809	92	89	91	93	90	84	86	8	5	11	9	5	2	3	15	12	15	22	18	19	20	0	1	3	1	4	6	2	0	1	1	0	0	1
Thornton 30	817	105	93	99	95	97	92	90	6	2	5	3	1	1	0	13	15	15	15	13	15	17	3	0	2	3	3	7	1	2	1	0	0	1	2
Thornton 32	1071	117	111	117	111	117	107	99	8	6	8	10	6	5	5	24	27	21	35	31	34	34	5	3	4	5	4	5	1	3	1	4	1	1	1
Thornton 33	1471	178	156	163	164	160	155	150	15	11	8	13	10	3	2	24	24	22	41	34	33	38	8	4	7	4	6	11	9	3	1	3	0	6	5
Thornton 34	1165	141	135	137	133	134	131	134	8	8	7	11	5	3	2	18	15	13	24	19	23	20	5	4	4	6	4	4	5	2	1	2	2	1	4
Thornton 35	2545	290	267	276	274	272	267	255	16	11	17	18	17	5	6	55	55	49	70	72	80	66	11	8	17	11	6	16	5	11	3	4	3	6	6
Thornton 36	735	80	76	82	74	75	74	75	3	2	2	2	3	0	1	19	20	16	24	26	25	24	12	2	3	2	4	5	2	0	0	1	0	0	1
Thornton 37	1561	175	163	167	164	163	152	161	5	4	7	5	2	4	3	44	44	40	56	51	57	52	5	3	6	2	4	7	2	3	2	3	2	2	1
Thornton 38	2009	231	195	215	208	215	196	201	15	14	10	17	8	7	3	56	53	46	64	63	71	67	6	3	9	4	5	7	3	3	1	2	1	5	5
