Precinct	total_votes	votes|Karen A. Yarbrough
01001	480	480
01002	468	468
01003	555	555
01004	523	523
01005	511	511
01006	448	448
01007	346	346
01008	419	419
01009	391	391
01010	593	593
01011	526	526
01012	527	527
01013	216	216
01014	498	498
01015	441	441
01016	471	471
01017	428	428
01018	522	522
01019	616	616
01020	409	409
01021	563	563
01022	313	313
01023	658	658
01024	438	438
01025	455	455
01026	339	339
01027	490	490
01028	145	145
01029	482	482
01030	539	539
01031	486	486
01032	448	448
01033	512	512
01034	439	439
01035	576	576
01036	513	513
01037	466	466
01038	473	473
01039	393	393
01040	466	466
01041	263	263
01042	150	150
01043	318	318
01044	433	433
02001	540	540
02002	340	340
02003	563	563
02004	425	425
02005	586	586
02006	510	510
02007	471	471
02008	560	560
02009	391	391
02010	344	344
02011	426	426
02012	450	450
02013	405	405
02014	506	506
02015	451	451
02016	460	460
02017	575	575
02018	454	454
02019	286	286
02020	555	555
02021	488	488
02022	488	488
02023	280	280
02024	469	469
02025	548	548
02026	423	423
02027	411	411
02028	555	555
02029	505	505
02030	415	415
02031	565	565
02032	425	425
02033	688	688
02034	351	351
02035	639	639
02036	384	384
02037	440	440
02038	407	407
02039	307	307
02040	567	567
02041	509	509
02042	523	523
02043	655	655
02044	307	307
02045	470	470
02046	267	267
03001	641	641
03002	600	600
03003	425	425
03004	578	578
03005	379	379
03006	572	572
03007	367	367
03008	540	540
03009	539	539
03010	319	319
03011	553	553
03012	495	495
03013	571	571
03014	555	555
03015	556	556
03016	533	533
03017	638	638
03018	779	779
03019	526	526
03020	572	572
03021	533	533
03022	695	695
03023	493	493
03024	484	484
03025	773	773
03026	544	544
03027	602	602
03028	324	324
03029	597	597
03030	492	492
03031	662	662
03032	594	594
03033	602	602
03034	633	633
03035	271	271
03036	342	342
03037	490	490
03038	435	435
03039	665	665
03040	591	591
03041	412	412
04001	651	651
04002	626	626
04003	504	504
04004	730	730
04005	524	524
04006	613	613
04007	635	635
04008	602	602
04009	582	582
04010	604	604
04011	595	595
04012	611	611
04013	603	603
04014	563	563
04015	650	650
04016	734	734
04017	673	673
04018	469	469
04019	531	531
04020	422	422
04021	712	712
04022	523	523
04023	671	671
04024	492	492
04025	564	564
04026	534	534
04027	622	622
04028	512	512
04029	564	564
04030	750	750
04031	524	524
04032	601	601
04033	580	580
04034	500	500
04035	653	653
04036	613	613
04037	795	795
04038	567	567
05001	502	502
05002	465	465
05003	503	503
05004	624	624
05005	483	483
05006	439	439
05007	482	482
05008	494	494
05009	595	595
05010	451	451
05011	528	528
05012	413	413
05013	446	446
05014	417	417
05015	474	474
05016	528	528
05017	465	465
05018	481	481
05019	465	465
05020	565	565
05021	535	535
05022	542	542
05023	838	838
05024	552	552
05025	474	474
05026	563	563
05027	653	653
05028	527	527
05029	569	569
05030	430	430
05031	441	441
05032	560	560
05033	523	523
05034	590	590
05035	507	507
05036	334	334
05037	496	496
05038	507	507
05039	383	383
05040	400	400
05041	261	261
06001	467	467
06002	457	457
06003	459	459
06004	381	381
06005	342	342
06006	418	418
06007	450	450
06008	448	448
06009	478	478
06010	323	323
06011	412	412
06012	392	392
06013	336	336
06014	453	453
06015	426	426
06016	428	428
06017	366	366
06018	348	348
06019	422	422
06020	322	322
06021	299	299
06022	352	352
06023	278	278
06024	267	267
06025	294	294
06026	383	383
06027	306	306
06028	279	279
06029	463	463
06030	420	420
06031	452	452
06032	440	440
06033	451	451
06034	478	478
06035	412	412
06036	468	468
06037	439	439
06038	466	466
06039	412	412
06040	395	395
06041	460	460
06042	481	481
06043	400	400
06044	487	487
06045	501	501
06046	321	321
06047	355	355
06048	454	454
07001	420	420
07002	470	470
07003	421	421
07004	406	406
07005	372	372
07006	559	559
07007	472	472
07008	344	344
07009	710	710
07010	471	471
07011	528	528
07012	415	415
07013	256	256
07014	486	486
07015	432	432
07016	402	402
07017	379	379
07018	420	420
07019	411	411
07020	335	335
07021	370	370
07022	374	374
07023	412	412
07024	360	360
07025	424	424
07026	350	350
07027	361	361
07028	343	343
07029	370	370
07030	358	358
07031	280	280
07032	561	561
07033	500	500
07034	476	476
07035	442	442
07036	500	500
07037	449	449
07038	392	392
07039	391	391
07040	374	374
07041	411	411
07042	392	392
07043	415	415
07044	394	394
07045	464	464
07046	149	149
08001	361	361
08002	444	444
08003	450	450
08004	459	459
08005	465	465
08006	457	457
08007	501	501
08008	404	404
08009	301	301
08010	507	507
